"hospital_id","hospital_setting","training_hours","bed_count","safety_score"
123,"Rural",40.7,241,84.2
124,"Rural",32.7,157,69.4
125,"Rural",25.5,133,68.9
126,"Urban",59.6,159,73.3
127,"Rural",48.5,197,88.5
128,"Urban",57.8,51,66
129,"Urban",20.5,78,65.6
130,"Urban",23.3,209,70.5
131,"Rural",17.8,238,73.3
132,"Rural",24.5,304,76.3
133,"Urban",37.2,86,69.1
134,"Rural",13.9,271,68.9
135,"Urban",46.1,153,70.5
136,"Urban",17,20,65.9
137,"Urban",37,100,61.1
138,"Urban",11.2,118,64.8
139,"Urban",31.7,138,52.8
140,"Rural",47,192,93.4
141,"Urban",49.6,113,61.6
142,"Urban",18.4,123,55.4
143,"Rural",15,160,58.2
144,"Urban",32.5,308,71.7
145,"Rural",56.3,126,85.6
146,"Rural",58.1,61,100
147,"Rural",32.4,125,74.5
148,"Urban",47.2,326,71.2
149,"Rural",39.6,53,79.2
150,"Urban",14.9,95,63.6
151,"Rural",36.1,174,82.3
152,"Rural",20,169,69.4
153,"Rural",49.1,199,78.1
154,"Rural",11.6,186,61.8
155,"Urban",40.1,144,76.2
156,"Rural",15.6,312,64.6
157,"Rural",13.4,85,69.1
158,"Urban",56.6,190,79.2
159,"Rural",31.7,20,69.2
160,"Rural",43.8,176,83.5
161,"Urban",35.8,20,59.8
162,"Urban",14.2,20,67.7
163,"Urban",18.9,75,63.2
164,"Urban",46.4,104,71.8
165,"Rural",51.8,223,87.3
166,"Urban",48.5,221,72.7
167,"Urban",16.3,79,71.1
168,"Urban",16.8,45,47.9
169,"Urban",18,171,65
170,"Urban",32.1,30,67.6
171,"Urban",46.1,20,57
172,"Urban",37.2,93,69
173,"Rural",49.6,157,80.6
174,"Urban",41.6,372,68.9
175,"Urban",51.5,268,82.9
176,"Urban",49.4,212,66.9
177,"Rural",56.6,150,94.3
178,"Rural",45.2,20,76.4
179,"Urban",36.2,114,62
180,"Urban",35.9,155,67.8
181,"Rural",10.9,240,54.2
182,"Urban",59.8,79,80.7
183,"Rural",15,225,66.5
184,"Urban",33.6,102,76.1
185,"Urban",48.9,243,72.1
186,"Urban",12.1,293,64.9
187,"Urban",18.5,45,56
188,"Rural",18.7,203,68.1
189,"Rural",22.3,133,62.5
190,"Urban",27.6,208,71.9
191,"Rural",38.2,314,82.7
192,"Rural",50.3,261,95.4
193,"Urban",57.3,159,69.9
194,"Urban",13.8,305,63.6
195,"Urban",10,74,62.5
196,"Urban",14.3,205,53.2
197,"Rural",38.4,138,86.2
198,"Urban",29.4,193,73.3
199,"Rural",19.4,87,70.1
200,"Urban",46.5,322,79.5
