"respondent_id","choice_set","distance_5min_A","wait_sameweek_A","provider_md_A","copay_A","distance_5min_B","wait_sameweek_B","provider_md_B","copay_B","choice_A"
6,7,1,1,1,25,0,0,1,25,1
6,8,0,0,1,50,1,0,0,50,0
7,1,1,0,1,50,0,0,1,25,1
7,2,1,1,0,25,1,0,1,25,1
7,3,0,0,0,25,1,0,0,25,0
7,4,0,0,1,50,0,0,0,50,1
7,5,1,1,1,25,0,0,1,50,1
7,6,1,0,1,50,1,1,1,25,0
7,7,0,1,1,25,0,0,0,50,1
7,8,0,0,1,50,1,0,0,25,0
8,1,0,1,1,25,0,1,0,25,1
8,2,1,0,0,50,1,0,1,50,0
8,3,1,0,1,50,0,0,1,50,1
8,4,1,0,0,50,0,1,0,50,1
8,5,1,0,1,25,0,1,0,25,0
8,6,0,1,0,25,1,1,1,50,0
8,7,0,1,1,25,1,1,1,25,0
8,8,1,1,1,50,1,0,1,50,1
9,1,0,1,1,50,1,0,0,25,1
9,2,0,1,1,25,0,1,0,50,1
9,3,1,1,1,25,0,1,1,25,1
9,4,1,1,1,50,0,1,0,50,1
9,5,0,1,0,50,1,1,1,25,0
9,6,1,1,1,25,0,0,0,25,1
9,7,1,1,1,50,0,1,0,50,1
9,8,0,1,0,25,1,1,0,50,0
10,1,1,1,1,25,1,1,0,50,1
10,2,1,0,1,50,1,1,1,50,0
10,3,0,1,0,25,0,1,1,25,0
10,4,0,1,0,50,1,0,0,25,0
10,5,1,1,0,50,0,0,0,25,1
10,6,1,0,0,25,0,1,0,50,1
10,7,1,0,1,50,0,0,0,50,1
10,8,1,0,0,25,1,1,1,25,0
11,1,1,1,0,25,1,1,1,25,0
11,2,0,0,0,25,0,1,1,50,0
11,3,1,0,1,50,0,0,1,50,1
11,4,1,1,1,25,1,1,0,25,1
11,5,1,0,0,50,0,0,1,25,1
11,6,0,1,0,25,1,0,0,50,1
11,7,1,0,0,25,1,1,0,25,0
11,8,1,0,0,50,0,1,1,25,0
12,1,0,1,1,50,0,0,0,25,1
12,2,0,0,1,50,0,1,1,25,0
12,3,0,1,1,50,0,0,0,25,1
12,4,0,1,1,25,1,1,1,50,0
12,5,0,0,1,25,0,1,1,50,0
12,6,0,1,1,25,0,1,0,50,1
12,7,0,1,0,25,0,0,1,50,1
12,8,0,1,1,50,1,0,1,50,0
13,1,1,0,0,50,1,1,1,25,0
13,2,0,1,1,25,1,1,1,50,0
13,3,1,0,0,25,0,1,1,25,0
13,4,0,1,1,50,1,1,1,25,0
13,5,1,0,0,25,1,1,1,25,0
13,6,0,0,1,50,1,1,1,25,0
13,7,0,0,1,50,1,1,1,50,0
13,8,1,0,0,50,1,0,1,50,0
14,1,1,1,1,25,1,0,0,25,1
14,2,0,0,1,50,0,1,0,25,0
14,3,1,0,0,50,1,1,1,25,0
14,4,1,0,1,50,0,0,1,25,0
14,5,1,0,1,25,1,0,1,50,1
14,6,1,0,0,50,0,1,0,50,0
14,7,0,1,0,50,1,0,0,25,1
14,8,0,0,0,25,1,1,1,25,0
15,1,1,0,1,25,0,1,1,25,0
15,2,1,1,0,25,0,1,0,25,1
15,3,0,0,0,25,0,1,0,25,0
15,4,1,0,0,25,1,0,0,50,1
15,5,0,0,1,50,0,1,0,50,0
15,6,1,1,1,25,1,0,1,25,1
15,7,0,0,1,25,0,0,0,50,1
15,8,0,0,1,50,1,0,1,25,0
16,1,0,0,1,25,1,0,0,25,0
16,2,0,0,1,25,1,0,0,50,1
16,3,1,0,1,50,0,1,1,25,0
16,4,0,1,1,25,0,0,1,25,1
16,5,1,0,1,25,0,0,0,50,1
16,6,0,0,0,25,0,0,1,50,1
16,7,1,0,0,25,1,1,1,50,0
16,8,1,1,1,25,0,1,0,25,1
17,1,1,1,1,25,0,1,1,25,1
17,2,1,1,1,25,0,0,0,25,1
17,3,1,0,0,50,0,1,0,50,1
17,4,0,1,0,25,1,0,1,25,1
17,5,0,1,1,25,0,0,0,25,1
17,6,0,1,1,50,1,0,1,25,0
17,7,0,1,0,50,0,0,0,25,1
17,8,1,0,0,25,0,1,1,50,1
18,1,0,1,1,50,1,0,0,50,1
18,2,0,1,0,50,0,1,1,25,0
18,3,0,1,0,25,1,0,0,25,1
18,4,0,0,0,25,1,0,1,25,0
18,5,1,0,1,25,1,1,0,50,0
18,6,1,1,0,25,1,1,1,50,1
18,7,0,1,1,25,1,0,1,50,1
18,8,0,0,1,25,0,0,0,50,1
19,1,1,1,1,25,1,0,1,50,1
19,2,1,1,1,25,0,1,0,25,1
19,3,0,0,0,50,0,1,1,25,0
19,4,0,1,0,50,0,1,1,25,0
19,5,0,1,0,50,0,0,1,25,0
19,6,0,0,1,50,1,0,1,50,0
19,7,0,0,1,25,1,0,1,50,0
19,8,1,1,1,25,1,1,1,50,1
20,1,1,0,0,50,1,1,0,25,0
20,2,1,1,1,50,1,0,1,25,1
20,3,0,1,1,25,0,1,0,25,0
20,4,0,0,1,50,1,0,1,50,0
20,5,1,0,0,50,1,1,1,50,0
20,6,0,1,1,50,0,1,0,50,1
20,7,1,1,0,50,1,1,1,25,0
20,8,0,0,0,50,1,1,0,50,0
21,1,0,1,1,25,1,1,1,50,0
21,2,0,0,0,50,0,0,1,25,0
21,3,1,0,0,25,1,0,0,50,1
21,4,1,1,0,50,0,0,1,25,1
21,5,1,0,1,50,1,1,1,25,0
21,6,0,0,0,25,0,1,1,50,0
21,7,1,0,0,25,0,1,1,25,0
21,8,1,1,1,50,1,1,0,25,0
22,1,0,0,1,25,1,1,1,50,0
22,2,0,0,1,50,0,1,0,50,0
22,3,0,1,1,25,1,1,1,50,0
22,4,1,1,1,50,0,0,0,50,1
22,5,0,1,1,50,0,1,0,25,0
22,6,1,0,1,25,1,1,1,25,0
22,7,1,0,1,25,0,0,0,50,1
22,8,1,1,1,25,1,0,1,50,1
23,1,1,0,0,50,1,0,1,25,0
23,2,0,0,1,25,0,0,0,25,1
23,3,0,0,0,25,1,0,0,25,0
23,4,1,0,0,25,0,1,1,25,0
23,5,0,0,1,50,0,1,1,50,0
23,6,1,0,1,25,0,0,1,25,1
23,7,0,0,1,50,0,0,0,25,1
23,8,0,1,1,25,0,1,1,50,1
24,1,1,1,1,50,0,0,0,25,1
24,2,1,1,1,25,1,0,1,50,1
24,3,0,0,0,25,0,0,1,50,1
24,4,1,1,1,50,1,1,0,50,1
24,5,1,0,1,50,1,0,0,25,0
24,6,1,1,1,25,0,0,0,25,1
24,7,0,0,1,25,0,1,0,25,0
24,8,0,1,0,50,0,1,1,25,0
25,1,1,1,1,25,0,1,1,50,1
25,2,0,1,0,50,0,0,0,50,1
25,3,1,1,1,25,0,1,1,25,1
25,4,1,1,1,50,1,1,0,25,0
25,5,1,1,1,25,1,0,0,50,1
25,6,1,1,0,50,0,1,1,25,1
25,7,1,1,1,25,0,1,1,25,1
25,8,1,0,0,25,1,1,0,50,0
26,1,0,1,1,50,0,0,0,25,1
26,2,0,1,0,50,1,1,0,50,0
26,3,0,1,0,50,1,1,0,50,0
26,4,0,0,1,25,0,0,1,50,1
26,5,0,1,0,25,0,0,0,50,1
26,6,1,0,0,50,0,1,1,50,0
26,7,0,0,0,25,1,0,1,50,0
26,8,0,1,1,25,1,1,0,25,0
27,1,0,0,1,50,1,1,1,50,0
27,2,1,0,0,25,1,1,1,50,0
27,3,1,0,0,25,0,0,1,50,1
27,4,1,0,0,25,0,0,1,25,1
27,5,1,0,1,50,1,0,0,25,0
27,6,0,0,1,25,1,0,1,25,0
27,7,1,1,1,25,0,1,1,25,1
27,8,1,0,0,50,1,1,0,25,0
28,1,1,0,1,50,1,0,0,25,0
28,2,1,0,1,50,0,1,0,50,1
28,3,1,1,0,25,0,0,1,50,1
28,4,0,1,1,25,1,0,1,25,0
28,5,0,0,0,25,1,0,0,50,1
28,6,0,1,1,25,1,0,0,25,1
28,7,0,1,1,25,1,0,1,25,1
28,8,1,1,1,25,0,0,0,25,1
29,1,0,1,0,50,1,0,1,50,1
29,2,0,1,0,25,1,0,1,25,0
29,3,1,1,0,50,0,0,0,50,1
29,4,0,1,0,50,1,1,0,25,0
29,5,0,0,1,50,1,1,1,25,0
29,6,1,1,1,50,0,1,1,50,1
29,7,1,0,0,25,1,0,1,50,0
29,8,0,1,1,25,1,0,0,50,1
30,1,1,0,0,50,0,1,0,50,1
30,2,0,0,0,25,0,1,0,25,0
30,3,0,0,0,50,0,0,1,25,0
30,4,1,1,1,50,0,1,1,50,1
30,5,1,1,1,50,0,1,0,25,1
30,6,1,0,0,25,0,1,1,50,1
30,7,0,0,1,25,1,0,0,25,0
30,8,1,1,1,25,0,0,1,25,1
31,1,0,0,0,25,0,1,0,50,0
31,2,0,0,1,50,1,0,1,25,0
31,3,1,0,1,50,0,0,1,25,1
31,4,1,0,0,25,0,0,0,25,1
31,5,0,0,0,25,1,1,0,50,0
31,6,1,1,0,25,1,0,0,25,1
31,7,0,0,0,50,0,0,1,25,0
31,8,0,1,1,25,0,1,0,25,1
32,1,0,1,1,50,1,1,1,25,0
32,2,1,1,1,25,0,0,0,25,1
32,3,1,0,1,50,1,1,0,25,0
32,4,1,0,1,25,1,0,0,50,1
32,5,0,1,0,25,1,0,1,50,1
32,6,1,0,0,25,0,0,0,50,1
32,7,0,1,1,25,0,1,0,25,1
32,8,0,0,0,25,1,1,0,25,0
33,1,0,1,0,25,0,1,0,50,1
33,2,0,1,0,25,1,1,1,50,0
33,3,1,0,1,25,1,0,0,50,1
33,4,0,0,0,25,0,0,0,50,1
33,5,0,1,1,25,1,1,0,50,1
33,6,0,1,1,25,1,1,1,50,0
33,7,0,1,0,25,1,0,1,25,1
33,8,1,0,0,50,1,0,1,50,0
34,1,0,1,1,25,1,1,0,25,0
34,2,0,1,1,25,1,1,0,25,0
34,3,0,1,0,50,1,0,0,50,1
34,4,1,1,1,50,0,0,0,50,1
34,5,1,0,1,25,0,1,0,50,1
34,6,1,0,0,25,0,1,0,50,1
34,7,0,0,1,50,1,0,0,50,0
34,8,0,1,0,25,1,0,1,25,1
35,1,1,1,1,50,0,0,0,50,1
35,2,1,1,1,50,0,1,0,25,1
35,3,1,1,0,50,1,1,1,25,0
35,4,1,1,0,25,0,0,1,50,1
35,5,0,1,0,25,1,0,1,50,1
35,6,1,1,0,25,1,0,1,50,1
35,7,1,0,1,50,0,0,1,50,1
35,8,0,0,0,50,1,1,1,50,0
36,1,1,1,0,25,0,1,1,50,1
36,2,0,0,0,25,1,0,1,50,0
36,3,0,1,0,50,1,1,1,25,0
36,4,1,0,0,50,1,0,1,50,0
36,5,1,1,1,50,0,1,1,25,1
36,6,1,0,0,25,0,1,0,25,0
36,7,0,1,1,25,0,1,1,50,1
36,8,1,1,0,50,1,1,1,25,0
37,1,1,1,0,25,1,1,0,50,1
37,2,0,0,0,50,0,0,0,25,0
37,3,1,1,1,50,1,0,1,25,1
37,4,0,1,0,25,0,1,1,25,0
37,5,1,0,1,50,0,1,0,50,1
37,6,0,0,0,50,1,1,1,25,0
37,7,1,1,1,50,1,0,1,50,1
37,8,1,1,1,50,1,0,0,25,1
38,1,0,0,1,50,1,1,0,25,0
38,2,0,1,1,25,0,0,1,25,1
38,3,1,1,1,50,0,1,0,50,1
38,4,1,0,1,25,0,0,1,50,1
38,5,0,0,0,50,0,1,1,50,0
38,6,0,0,0,25,0,1,0,50,0
38,7,1,1,1,25,0,1,0,25,1
38,8,0,1,1,25,1,0,1,25,1
39,1,0,1,0,50,0,1,1,50,0
39,2,0,1,1,25,1,1,0,50,1
39,3,1,1,1,25,0,1,1,50,1
39,4,0,0,0,50,0,1,0,50,0
39,5,0,0,0,25,0,1,1,25,0
39,6,1,0,1,50,1,1,0,25,0
39,7,1,1,0,25,0,0,0,25,1
39,8,0,0,0,25,1,0,0,50,0
40,1,1,0,1,50,0,0,0,50,1
40,2,0,0,1,25,1,0,1,50,0
40,3,1,1,0,50,1,1,0,25,0
40,4,1,0,1,25,1,1,1,50,0
40,5,0,0,1,50,0,1,1,50,0
40,6,0,0,0,50,0,0,1,25,0
40,7,1,1,0,50,0,1,0,50,1
40,8,0,1,0,25,1,1,1,25,0
41,1,1,1,1,25,0,0,0,50,1
41,2,1,1,1,50,1,0,0,50,1
41,3,1,1,0,50,1,1,0,25,0
41,4,0,0,0,50,0,1,0,25,0
41,5,1,0,0,25,1,1,1,25,0
41,6,0,0,0,25,1,0,1,50,0
41,7,0,0,1,50,1,1,1,50,0
41,8,0,0,1,25,0,1,1,50,0
42,1,1,1,1,50,0,1,0,25,1
42,2,1,0,1,25,1,0,1,50,1
42,3,1,1,1,25,1,0,1,50,1
42,4,1,0,0,50,1,1,0,25,0
42,5,0,1,1,25,0,1,1,50,1
42,6,0,1,1,50,1,0,1,50,0
42,7,0,1,1,50,1,1,1,25,0
42,8,0,1,1,50,1,0,0,50,1
43,1,0,0,0,50,0,1,1,50,0
43,2,1,1,1,50,1,0,1,25,1
43,3,1,1,0,50,0,0,0,25,1
43,4,0,0,1,50,0,1,1,25,0
43,5,0,0,0,50,0,0,1,50,0
43,6,0,1,0,25,1,0,0,25,1
43,7,0,1,1,25,0,0,0,25,1
43,8,0,0,0,25,1,1,0,25,0
44,1,1,0,0,50,1,0,0,25,0
44,2,0,1,1,25,0,0,1,25,1
44,3,0,1,0,25,0,1,1,25,0
44,4,1,0,1,50,1,0,0,25,0
44,5,1,0,1,50,0,0,0,25,1
44,6,0,0,1,50,0,0,0,25,0
44,7,0,0,1,50,1,1,0,25,0
44,8,0,1,1,50,1,0,0,50,1
45,1,1,1,0,25,1,1,1,25,0
45,2,1,1,1,50,1,0,0,25,1
45,3,1,1,0,25,0,0,1,25,1
45,4,0,0,1,50,0,1,1,25,0
45,5,1,1,1,25,1,0,1,25,1
45,6,1,1,0,50,1,0,1,50,1
45,7,0,0,1,50,0,1,0,25,0
45,8,0,1,1,25,1,0,0,25,1
46,1,1,0,0,50,0,1,0,25,0
46,2,0,0,0,25,0,1,0,50,0
46,3,1,1,1,50,0,0,0,25,1
46,4,0,0,1,50,1,0,1,25,0
46,5,1,0,0,50,1,0,1,50,0
46,6,0,1,1,25,0,1,0,50,1
46,7,1,0,1,50,0,0,1,25,0
46,8,0,0,0,50,1,1,0,25,0
47,1,0,1,0,50,0,0,1,50,1
47,2,0,0,1,50,0,1,1,25,0
47,3,0,1,0,50,1,1,1,50,0
47,4,1,0,0,50,1,1,1,25,0
47,5,0,0,1,25,1,1,0,25,0
47,6,0,1,1,50,0,0,0,25,1
47,7,0,1,0,50,1,0,0,50,1
47,8,0,0,1,25,1,0,0,50,1
48,1,1,1,0,50,1,1,1,25,0
48,2,1,1,0,25,0,0,0,25,1
48,3,1,0,0,25,1,1,0,50,0
48,4,0,1,1,25,0,1,1,50,1
48,5,0,0,1,50,1,1,0,25,0
48,6,0,1,1,25,1,1,0,25,0
48,7,1,0,0,25,1,1,1,25,0
48,8,0,0,0,50,1,0,0,50,0
49,1,1,0,1,25,1,1,1,25,0
49,2,0,1,1,25,0,0,0,25,1
49,3,0,1,0,50,1,1,0,25,0
49,4,1,0,1,25,0,0,1,25,1
49,5,0,0,0,50,0,1,0,25,0
49,6,1,0,1,25,0,0,0,50,1
49,7,1,0,0,50,0,1,0,25,0
49,8,0,1,0,25,1,1,1,25,0
50,1,1,1,0,50,0,0,0,50,1
50,2,1,1,1,25,1,0,0,25,1
50,3,0,1,1,25,0,1,1,50,1
50,4,0,0,1,50,0,1,0,50,0
50,5,0,0,0,50,0,1,1,50,0
50,6,1,0,0,25,1,0,0,50,1
50,7,0,0,0,25,0,1,1,50,0
50,8,1,0,0,50,0,0,0,50,1
51,1,0,0,0,50,0,1,0,25,0
51,2,1,0,1,50,1,0,0,25,0
51,3,1,0,1,25,0,1,0,25,1
51,4,0,1,1,25,1,0,0,50,1
51,5,0,0,1,50,0,1,0,50,0
51,6,1,0,0,50,0,1,0,25,0
51,7,1,0,0,25,0,0,0,25,1
51,8,1,0,1,25,0,0,1,50,1
52,1,0,0,0,50,1,1,0,25,0
52,2,1,0,1,25,1,0,0,50,1
52,3,1,0,0,25,1,1,0,25,0
52,4,0,1,1,50,0,0,1,50,1
52,5,0,1,1,25,1,1,1,50,0
52,6,1,1,0,25,0,1,0,50,1
52,7,0,1,0,50,1,1,1,50,0
52,8,1,1,0,25,0,0,1,50,1
53,1,1,0,0,25,0,1,1,50,1
53,2,1,1,1,25,0,0,1,50,1
53,3,1,1,0,50,0,0,0,50,1
53,4,1,1,0,25,0,0,1,25,1
53,5,0,1,0,25,1,1,1,25,0
53,6,0,1,1,50,1,1,1,25,0
53,7,0,0,0,25,0,0,1,25,0
53,8,1,0,0,25,1,0,1,50,1
54,1,1,0,1,25,1,0,0,25,1
54,2,0,0,1,50,1,0,1,25,0
54,3,0,1,1,50,1,1,1,25,0
54,4,0,1,0,25,0,1,1,50,1
54,5,0,0,1,25,0,1,0,50,1
54,6,1,0,0,25,1,0,0,50,1
54,7,0,0,1,25,0,1,1,25,0
54,8,0,1,0,25,1,1,1,25,0
55,1,1,0,1,25,0,1,1,50,1
55,2,1,1,1,25,0,1,0,25,1
55,3,0,1,0,50,0,0,0,50,1
55,4,0,1,0,25,0,1,0,50,1
55,5,1,0,1,25,0,1,1,25,0
55,6,0,0,1,25,1,0,1,25,0
55,7,0,1,1,50,1,1,1,25,0
55,8,0,1,1,50,0,1,1,25,0
56,1,1,1,0,25,0,1,0,25,1
56,2,1,1,1,50,1,0,1,50,1
56,3,1,0,0,25,0,0,1,50,1
56,4,1,0,1,50,1,0,0,25,0
56,5,0,0,1,25,1,0,1,50,1
56,6,0,1,0,25,1,1,1,25,0
56,7,0,1,0,25,0,0,1,25,1
56,8,0,0,0,50,1,0,0,50,0
57,1,0,1,0,50,1,0,1,25,0
57,2,1,0,0,25,0,1,1,50,1
57,3,1,0,0,50,1,1,1,50,0
57,4,0,0,0,50,0,1,0,50,0
57,5,1,1,1,25,0,0,0,50,1
57,6,0,1,1,25,1,1,0,25,0
57,7,1,1,0,25,1,1,0,50,1
57,8,0,0,1,50,1,0,0,25,0
58,1,1,1,0,25,1,0,1,25,1
58,2,1,1,1,50,0,0,0,50,1
58,3,0,0,0,25,1,0,0,50,0
58,4,0,0,1,50,0,1,1,50,0
58,5,1,0,0,50,0,0,1,50,1
58,6,0,0,1,50,0,0,1,25,0
58,7,0,1,0,25,1,1,1,25,0
58,8,1,0,1,25,1,1,1,50,0
59,1,0,1,1,25,1,0,1,25,0
59,2,0,0,0,25,0,1,1,50,0
59,3,1,1,0,50,1,1,1,50,0
59,4,0,1,1,50,1,1,1,50,0
59,5,1,1,1,25,1,0,0,25,1
59,6,0,1,0,50,1,0,0,25,0
59,7,0,0,0,50,1,0,1,50,0
59,8,0,0,1,50,0,1,0,50,0
60,1,0,0,1,50,0,1,1,50,0
60,2,1,1,0,25,0,0,0,25,1
60,3,1,1,1,25,1,1,0,25,1
60,4,1,1,0,50,0,0,1,50,1
60,5,1,0,1,50,0,0,0,25,1
60,6,1,0,1,25,1,1,1,25,0
60,7,0,1,0,25,1,0,0,50,1
60,8,1,1,0,50,1,0,1,25,0
61,1,1,1,0,25,0,0,0,50,1
61,2,1,1,1,25,1,1,1,50,1
61,3,1,1,1,25,1,0,0,50,1
61,4,0,0,0,25,0,0,1,50,1
61,5,1,0,1,25,1,0,0,25,1
61,6,1,0,0,50,0,1,0,50,0
61,7,1,1,1,50,0,0,1,25,1
61,8,1,1,1,50,0,0,1,25,1
62,1,1,0,0,50,0,1,0,25,0
62,2,0,0,0,25,1,0,1,25,0
62,3,0,1,0,25,0,0,0,50,1
62,4,1,0,0,50,0,0,1,50,1
62,5,1,1,0,25,0,1,0,50,1
62,6,1,1,0,25,0,1,1,25,1
62,7,1,1,0,50,0,1,0,50,1
62,8,1,1,1,50,0,0,1,25,1
63,1,1,0,0,50,0,0,0,50,1
63,2,1,1,0,50,0,1,0,25,0
63,3,0,0,1,50,0,1,1,50,0
63,4,1,0,1,25,1,1,1,25,0
63,5,0,0,0,25,1,1,0,25,0
63,6,1,0,0,50,0,0,1,25,0
63,7,0,0,0,50,0,0,1,25,0
63,8,1,1,0,50,1,0,1,50,1
64,1,0,1,0,50,1,0,1,25,0
64,2,0,0,1,25,0,0,0,50,1
64,3,0,0,0,50,1,1,0,50,0
64,4,0,1,0,50,1,0,1,25,0
64,5,0,0,1,25,1,1,1,50,0
64,6,1,1,0,25,0,0,0,25,1
64,7,0,1,0,50,0,0,0,25,1
64,8,1,1,0,50,1,1,1,25,0
65,1,0,0,1,25,1,0,0,50,1
65,2,1,1,0,50,1,0,0,25,1
65,3,1,0,0,25,1,1,0,50,0
65,4,1,0,1,50,0,1,1,50,0
65,5,1,1,1,25,1,0,0,25,1
65,6,0,0,0,50,0,1,0,50,0
65,7,1,0,0,50,1,0,1,50,0
65,8,0,1,0,50,0,0,0,25,1
66,1,1,0,1,50,1,1,0,25,0
66,2,1,1,0,25,0,1,0,25,1
66,3,1,0,0,25,1,0,1,25,0
66,4,1,0,0,50,0,1,1,50,0
66,5,0,0,0,50,0,0,1,25,0
66,6,0,1,1,25,1,1,0,50,0
66,7,1,1,1,25,0,1,0,50,1
66,8,1,1,0,25,1,0,1,50,1
67,1,0,0,1,25,1,1,0,50,0
67,2,0,0,1,25,1,0,0,25,0
67,3,0,0,0,25,1,0,1,25,0
67,4,1,1,1,50,0,1,0,50,1
67,5,0,0,1,50,1,0,1,50,0
67,6,1,0,0,25,0,1,0,25,0
67,7,1,1,1,25,1,0,1,25,1
67,8,1,0,1,25,1,1,1,50,0
68,1,1,0,0,50,0,1,1,25,0
68,2,0,0,0,25,1,1,0,50,0
68,3,0,0,1,50,0,1,1,50,0
68,4,0,0,1,50,1,1,0,25,0
68,5,1,0,1,50,0,1,0,50,1
68,6,0,1,0,25,0,0,1,50,1
68,7,1,0,0,25,0,0,1,25,1
68,8,0,1,1,50,0,1,1,25,0
69,1,0,0,0,25,1,0,1,50,0
69,2,1,1,0,25,0,1,1,50,1
69,3,0,0,0,50,1,1,1,50,0
69,4,1,1,1,25,0,0,0,50,1
69,5,1,1,0,50,0,1,0,25,1
69,6,1,0,0,50,1,1,1,25,0
69,7,1,1,0,50,1,1,0,25,0
69,8,1,0,1,50,1,1,0,50,0
70,1,1,0,0,50,1,0,0,25,0
70,2,1,0,0,25,1,1,1,50,0
70,3,0,0,1,25,0,1,0,25,0
70,4,1,1,0,25,1,0,0,25,1
70,5,1,1,1,50,0,0,1,50,1
70,6,0,0,1,50,0,0,1,25,0
70,7,0,1,0,25,1,1,0,50,0
70,8,1,0,1,50,1,0,0,50,1
71,1,1,0,1,25,0,0,0,25,1
71,2,1,1,0,50,0,1,0,50,1
71,3,0,0,1,25,1,0,1,25,0
71,4,1,0,1,25,1,0,0,25,1
71,5,0,1,1,50,0,0,0,25,1
71,6,0,1,1,50,0,0,1,50,1
71,7,0,0,0,25,1,1,0,50,0
71,8,1,1,1,25,1,0,0,25,1
72,1,0,1,0,50,0,1,1,50,0
72,2,1,1,0,25,0,1,1,50,1
72,3,1,1,0,25,1,1,1,50,1
72,4,0,1,1,50,0,0,0,50,1
72,5,1,1,0,50,0,0,0,50,1
72,6,1,1,0,25,0,0,1,50,1
72,7,0,0,0,50,0,0,0,25,1
72,8,1,1,0,50,1,0,1,50,1
73,1,1,0,0,50,1,0,1,50,0
73,2,1,1,1,50,1,0,1,25,1
73,3,1,0,1,25,0,0,0,25,1
73,4,0,0,1,25,0,1,0,25,0
73,5,0,0,1,25,1,0,1,50,0
73,6,1,1,1,25,0,1,1,50,1
73,7,0,1,0,50,0,0,1,25,1
73,8,0,1,1,50,0,1,0,25,0
74,1,0,1,0,50,0,0,1,50,1
74,2,0,1,0,50,0,1,1,25,0
74,3,1,0,0,50,1,0,0,25,0
74,4,0,1,1,25,1,0,1,25,1
74,5,0,0,0,25,1,0,1,25,0
74,6,0,1,0,50,1,0,1,50,1
74,7,0,1,1,25,1,0,1,50,1
74,8,0,1,0,50,1,1,1,50,0
75,1,0,0,1,50,0,1,0,50,0
75,2,0,1,1,50,1,1,0,50,0
75,3,1,1,1,50,1,1,1,25,0
75,4,1,1,1,50,0,1,1,25,1
75,5,1,0,0,50,1,0,1,50,0
75,6,1,0,0,25,1,1,0,25,0
75,7,0,0,0,25,1,1,0,25,0
75,8,1,1,1,50,0,1,0,25,1
76,1,0,1,1,25,0,0,1,50,1
76,2,0,1,1,50,1,1,0,50,0
76,3,1,0,0,25,0,0,0,50,1
76,4,0,1,1,25,0,0,1,50,1
76,5,1,1,0,50,1,0,0,50,1
76,6,1,0,0,25,0,0,1,25,1
76,7,1,0,0,50,0,0,1,50,1
76,8,0,1,0,25,0,1,0,50,1
77,1,1,1,0,25,1,1,1,25,0
77,2,0,0,1,50,0,0,0,25,0
77,3,0,0,1,50,1,0,1,50,0
77,4,0,0,1,50,0,1,1,25,0
77,5,0,0,1,50,1,1,1,25,0
77,6,0,1,0,50,1,0,1,25,0
77,7,0,1,0,50,0,1,0,25,0
77,8,0,0,1,25,0,1,0,50,1
78,1,1,1,0,50,0,1,1,50,1
78,2,1,1,1,50,1,1,1,25,0
78,3,0,1,0,25,0,0,0,50,1
78,4,0,1,0,25,1,1,0,50,0
78,5,1,1,0,25,1,0,0,25,1
78,6,0,0,1,50,0,1,0,50,0
78,7,1,0,1,50,1,1,0,50,0
78,8,0,1,1,50,1,1,0,50,0
79,1,1,0,0,25,0,0,0,25,1
79,2,1,0,1,50,0,0,0,50,1
79,3,1,0,1,25,0,1,1,50,1
79,4,1,1,0,50,1,0,0,50,1
79,5,1,0,0,25,1,0,1,25,0
