"","respondent_id","choice_set","premium_A","deductible_A","network_A","premium_B","deductible_B","network_B","choice_A"
"82",11,2,200,1500,"Small",300,1500,"Small",1
"83",11,3,200,1500,"Small",200,500,"Large",1
"84",11,4,300,1500,"Large",200,500,"Small",0
"85",11,5,200,1500,"Large",300,500,"Large",1
"86",11,6,200,1500,"Small",300,500,"Small",0
"87",11,7,200,500,"Small",300,500,"Large",0
"88",11,8,300,1500,"Large",200,1500,"Small",0
"89",12,1,200,500,"Small",300,500,"Large",1
"90",12,2,300,500,"Large",300,1500,"Large",0
"91",12,3,200,1500,"Small",300,1500,"Large",1
"92",12,4,200,500,"Large",200,500,"Small",0
"93",12,5,200,1500,"Large",300,1500,"Small",1
"94",12,6,300,500,"Large",300,1500,"Large",1
"95",12,7,300,500,"Large",200,500,"Large",0
"96",12,8,300,1500,"Small",300,500,"Small",0
"97",13,1,300,500,"Large",200,1500,"Large",0
"98",13,2,200,500,"Large",300,1500,"Large",1
"99",13,3,200,500,"Large",200,1500,"Small",1
"100",13,4,300,1500,"Small",300,1500,"Large",0
"101",13,5,200,1500,"Large",200,500,"Large",1
"102",13,6,300,1500,"Small",200,1500,"Large",0
"103",13,7,300,1500,"Small",300,500,"Small",0
"104",13,8,200,1500,"Small",200,500,"Large",0
"105",14,1,200,1500,"Small",300,500,"Large",1
"106",14,2,300,500,"Small",200,500,"Large",0
"107",14,3,300,500,"Small",300,1500,"Small",1
"108",14,4,200,1500,"Small",300,1500,"Large",1
"109",14,5,300,500,"Large",200,500,"Large",1
"110",14,6,200,500,"Small",200,1500,"Large",1
"111",14,7,300,1500,"Small",200,1500,"Large",0
"112",14,8,300,1500,"Large",300,500,"Small",0
"113",15,1,200,1500,"Small",200,1500,"Large",1
"114",15,2,300,500,"Large",200,1500,"Small",1
"115",15,3,200,1500,"Small",300,1500,"Large",1
"116",15,4,300,1500,"Large",200,1500,"Large",1
"117",15,5,200,500,"Small",200,500,"Large",0
"118",15,6,300,1500,"Large",300,500,"Large",0
"119",15,7,200,500,"Large",300,500,"Large",1
"120",15,8,300,1500,"Large",200,1500,"Small",0
"121",16,1,300,500,"Small",300,1500,"Large",0
"122",16,2,200,1500,"Large",200,500,"Large",0
"123",16,3,300,500,"Large",300,1500,"Large",1
"124",16,4,300,500,"Small",200,1500,"Large",0
"125",16,5,200,1500,"Small",300,500,"Large",0
"126",16,6,200,1500,"Large",300,500,"Large",0
"127",16,7,300,1500,"Large",300,500,"Small",1
"128",16,8,300,500,"Small",200,500,"Large",1
"129",17,1,300,1500,"Large",200,500,"Large",0
"130",17,2,200,500,"Small",300,500,"Small",1
"131",17,3,300,500,"Large",300,1500,"Large",0
"132",17,4,200,500,"Large",300,1500,"Small",1
"133",17,5,300,1500,"Large",200,500,"Large",1
"134",17,6,200,1500,"Small",200,500,"Large",1
"135",17,7,300,1500,"Large",200,500,"Small",1
"136",17,8,300,1500,"Large",200,500,"Large",0
"137",18,1,300,1500,"Large",300,500,"Small",1
"138",18,2,300,1500,"Small",200,1500,"Small",0
"139",18,3,300,500,"Large",200,500,"Small",0
"140",18,4,200,500,"Large",200,1500,"Small",1
"141",18,5,200,1500,"Large",300,500,"Large",1
"142",18,6,300,1500,"Large",200,500,"Large",0
"143",18,7,200,500,"Large",200,500,"Small",0
"144",18,8,200,500,"Large",300,500,"Large",1
"145",19,1,300,1500,"Small",300,500,"Small",0
"146",19,2,300,500,"Small",300,1500,"Small",1
"147",19,3,300,1500,"Small",200,500,"Small",0
"148",19,4,200,1500,"Large",300,1500,"Small",1
"149",19,5,200,1500,"Small",200,500,"Small",0
"150",19,6,300,500,"Small",300,1500,"Small",1
"151",19,7,300,1500,"Small",300,500,"Small",0
"152",19,8,300,1500,"Small",300,1500,"Large",0
"153",20,1,200,500,"Small",300,500,"Large",1
"154",20,2,200,500,"Small",300,500,"Small",1
"155",20,3,200,1500,"Large",300,1500,"Small",1
"156",20,4,200,500,"Large",200,1500,"Small",1
"157",20,5,300,500,"Small",200,500,"Large",0
"158",20,6,200,1500,"Small",200,500,"Small",0
"159",20,7,300,1500,"Large",300,1500,"Small",0
"160",20,8,200,500,"Large",200,500,"Small",1
"161",21,1,300,500,"Small",200,1500,"Large",0
"162",21,2,200,500,"Large",200,500,"Small",1
"163",21,3,200,500,"Large",300,500,"Large",1
"164",21,4,300,1500,"Large",300,500,"Small",0
"165",21,5,200,1500,"Small",300,1500,"Small",1
"166",21,6,300,1500,"Small",300,1500,"Large",0
"167",21,7,300,1500,"Small",200,500,"Large",0
"168",21,8,300,1500,"Small",300,1500,"Large",0
"169",22,1,200,500,"Small",200,500,"Large",1
"170",22,2,200,1500,"Large",200,1500,"Small",1
"171",22,3,300,1500,"Small",300,500,"Small",0
"172",22,4,300,1500,"Large",300,500,"Small",1
"173",22,5,200,500,"Small",200,1500,"Large",0
"174",22,6,200,1500,"Large",200,500,"Large",1
"175",22,7,200,500,"Large",200,500,"Small",1
"176",22,8,300,1500,"Large",200,1500,"Large",1
"177",23,1,300,1500,"Small",300,1500,"Large",0
"178",23,2,300,1500,"Large",300,500,"Large",0
"179",23,3,300,500,"Small",200,1500,"Small",0
"180",23,4,200,500,"Large",200,500,"Small",1
"181",23,5,300,500,"Small",200,500,"Small",0
"182",23,6,200,1500,"Small",200,500,"Small",0
"183",23,7,200,1500,"Small",300,500,"Large",1
"184",23,8,300,500,"Large",200,500,"Small",1
"185",24,1,200,1500,"Large",200,1500,"Small",0
"186",24,2,200,500,"Small",300,500,"Small",1
"187",24,3,200,1500,"Small",300,1500,"Large",1
"188",24,4,200,500,"Large",300,1500,"Large",1
"189",24,5,300,1500,"Large",200,1500,"Small",1
"190",24,6,300,1500,"Small",200,1500,"Large",0
"191",24,7,300,500,"Small",300,1500,"Small",1
"192",24,8,200,1500,"Small",200,500,"Large",0
"193",25,1,200,500,"Large",200,1500,"Large",0
"194",25,2,300,500,"Large",200,1500,"Small",0
"195",25,3,200,1500,"Small",200,500,"Small",1
"196",25,4,200,1500,"Large",300,500,"Large",1
"197",25,5,200,1500,"Small",200,500,"Small",0
"198",25,6,300,500,"Small",300,1500,"Large",0
"199",25,7,300,500,"Small",200,1500,"Large",1
"200",25,8,300,1500,"Small",300,500,"Small",1
"201",26,1,300,500,"Small",200,500,"Small",0
"202",26,2,200,500,"Large",300,1500,"Small",1
"203",26,3,200,500,"Small",300,500,"Small",1
"204",26,4,300,500,"Large",200,1500,"Small",1
"205",26,5,300,500,"Small",200,500,"Large",1
"206",26,6,200,1500,"Large",300,1500,"Large",1
"207",26,7,300,1500,"Large",300,500,"Large",1
"208",26,8,300,500,"Large",200,500,"Large",0
"209",27,1,300,500,"Small",300,500,"Large",1
"210",27,2,200,500,"Large",300,1500,"Large",1
"211",27,3,300,500,"Small",300,500,"Large",0
"212",27,4,200,500,"Large",200,500,"Small",1
"213",27,5,300,500,"Large",300,500,"Small",1
"214",27,6,300,1500,"Small",200,500,"Large",1
"215",27,7,200,500,"Small",300,1500,"Small",1
"216",27,8,200,1500,"Small",200,500,"Small",0
"217",28,1,200,1500,"Large",200,500,"Small",0
"218",28,2,300,500,"Small",200,1500,"Small",0
"219",28,3,300,1500,"Large",300,500,"Large",0
"220",28,4,300,1500,"Large",200,500,"Large",0
"221",28,5,200,1500,"Large",300,500,"Large",0
"222",28,6,300,1500,"Small",300,500,"Small",1
"223",28,7,300,1500,"Large",200,500,"Small",0
"224",28,8,300,1500,"Large",300,500,"Small",1
"225",29,1,200,1500,"Small",300,1500,"Large",1
"226",29,2,200,1500,"Small",300,1500,"Small",0
"227",29,3,200,500,"Large",200,500,"Small",1
"228",29,4,200,500,"Large",300,1500,"Small",1
"229",29,5,300,1500,"Large",300,500,"Large",0
"230",29,6,300,1500,"Small",300,500,"Small",1
"231",29,7,300,1500,"Large",300,500,"Small",1
"232",29,8,300,1500,"Large",200,1500,"Large",0
"233",30,1,200,1500,"Large",300,500,"Large",1
"234",30,2,300,500,"Large",200,500,"Large",1
"235",30,3,300,500,"Large",200,1500,"Large",1
"236",30,4,200,1500,"Large",300,500,"Large",0
"237",30,5,300,500,"Large",200,1500,"Small",1
"238",30,6,200,500,"Small",200,1500,"Large",1
"239",30,7,300,500,"Small",300,1500,"Small",0
"240",30,8,300,1500,"Small",300,500,"Small",1
"241",31,1,300,500,"Large",200,500,"Small",0
"242",31,2,200,500,"Small",200,500,"Large",1
"243",31,3,200,1500,"Large",200,1500,"Small",1
"244",31,4,200,1500,"Large",200,500,"Large",0
"245",31,5,300,1500,"Large",200,1500,"Small",0
"246",31,6,300,1500,"Large",200,1500,"Large",1
"247",31,7,200,500,"Large",300,1500,"Large",1
"248",31,8,200,500,"Small",300,500,"Small",1
"249",32,1,300,1500,"Small",200,500,"Small",0
"250",32,2,300,500,"Large",200,1500,"Small",1
"251",32,3,200,500,"Large",300,500,"Small",1
"252",32,4,200,500,"Large",300,1500,"Small",1
"253",32,5,300,1500,"Small",200,500,"Large",1
"254",32,6,200,500,"Small",200,1500,"Large",1
"255",32,7,300,500,"Small",300,500,"Large",0
"256",32,8,300,1500,"Large",300,500,"Large",0
"257",33,1,200,1500,"Large",300,1500,"Small",1
"258",33,2,200,500,"Large",200,500,"Small",1
"259",33,3,200,1500,"Large",300,500,"Small",0
"260",33,4,200,500,"Large",300,1500,"Large",1
"261",33,5,200,500,"Large",300,500,"Small",1
"262",33,6,300,1500,"Small",300,500,"Small",0
"263",33,7,200,500,"Small",300,500,"Small",1
"264",33,8,200,500,"Large",300,500,"Small",1
"265",34,1,300,500,"Large",300,500,"Small",0
"266",34,2,200,1500,"Small",200,500,"Small",0
"267",34,3,300,1500,"Large",200,500,"Small",0
"268",34,4,200,1500,"Large",300,1500,"Large",1
"269",34,5,300,1500,"Large",200,1500,"Large",0
"270",34,6,200,500,"Small",300,1500,"Small",1
"271",34,7,200,500,"Small",200,500,"Large",0
"272",34,8,300,1500,"Large",300,500,"Large",0
"273",35,1,300,1500,"Large",200,1500,"Small",0
"274",35,2,300,1500,"Small",300,1500,"Large",1
"275",35,3,200,500,"Large",300,500,"Small",1
"276",35,4,200,1500,"Large",200,1500,"Small",0
"277",35,5,200,1500,"Large",300,1500,"Small",1
"278",35,6,300,500,"Small",200,500,"Large",1
"279",35,7,200,500,"Large",300,1500,"Small",1
"280",35,8,300,500,"Small",300,500,"Large",1
"281",36,1,200,1500,"Small",300,500,"Large",1
"282",36,2,200,500,"Small",300,1500,"Small",1
"283",36,3,200,1500,"Small",300,500,"Small",0
"284",36,4,200,500,"Small",200,1500,"Small",1
"285",36,5,200,500,"Large",300,1500,"Small",1
"286",36,6,200,1500,"Small",200,500,"Small",1
"287",36,7,200,500,"Small",300,1500,"Large",1
"288",36,8,300,500,"Large",200,1500,"Large",1
"289",37,1,200,1500,"Large",300,1500,"Large",1
"290",37,2,300,1500,"Small",300,1500,"Large",0
"291",37,3,200,1500,"Small",300,1500,"Small",1
"292",37,4,200,1500,"Small",200,1500,"Large",0
"293",37,5,200,1500,"Large",300,1500,"Small",1
"294",37,6,300,500,"Large",300,1500,"Small",1
"295",37,7,200,1500,"Small",300,500,"Large",0
"296",37,8,200,1500,"Small",200,500,"Large",0
"297",38,1,200,1500,"Small",300,1500,"Large",0
"298",38,2,300,500,"Large",300,500,"Small",0
"299",38,3,300,500,"Small",300,1500,"Small",1
"300",38,4,300,1500,"Large",200,500,"Large",0
"301",38,5,200,1500,"Small",200,1500,"Large",0
"302",38,6,300,1500,"Large",300,500,"Large",0
"303",38,7,300,500,"Large",200,500,"Large",0
"304",38,8,300,500,"Large",200,1500,"Small",1
"305",39,1,300,500,"Small",200,1500,"Large",0
"306",39,2,200,500,"Small",300,500,"Small",1
"307",39,3,300,500,"Small",200,1500,"Large",0
"308",39,4,300,1500,"Large",300,1500,"Small",1
"309",39,5,200,500,"Large",300,1500,"Small",1
"310",39,6,200,1500,"Large",300,1500,"Small",1
"311",39,7,200,1500,"Small",200,500,"Large",0
"312",39,8,200,500,"Large",200,1500,"Large",1
"313",40,1,300,500,"Small",200,1500,"Large",0
"314",40,2,200,500,"Large",200,1500,"Large",1
"315",40,3,200,1500,"Small",200,1500,"Large",1
"316",40,4,200,1500,"Large",300,1500,"Small",1
"317",40,5,200,1500,"Large",200,1500,"Small",1
"318",40,6,300,500,"Small",200,500,"Small",1
"319",40,7,200,500,"Small",300,500,"Small",1
"320",40,8,200,1500,"Large",300,500,"Small",1
"321",41,1,300,1500,"Small",300,500,"Small",0
"322",41,2,200,500,"Large",300,500,"Large",0
"323",41,3,200,1500,"Small",200,1500,"Large",1
"324",41,4,300,1500,"Small",200,1500,"Large",0
"325",41,5,300,1500,"Small",200,500,"Large",0
"326",41,6,200,500,"Large",200,1500,"Large",0
"327",41,7,200,1500,"Small",300,500,"Small",1
"328",41,8,300,1500,"Large",200,500,"Small",0
"329",42,1,300,1500,"Small",300,1500,"Large",0
"330",42,2,200,1500,"Small",300,1500,"Small",0
"331",42,3,300,1500,"Large",200,500,"Small",0
"332",42,4,300,500,"Small",200,500,"Small",0
"333",42,5,300,500,"Small",200,1500,"Large",0
"334",42,6,300,500,"Small",200,500,"Large",0
"335",42,7,300,500,"Small",300,500,"Large",1
"336",42,8,200,1500,"Small",200,500,"Small",0
"337",43,1,300,1500,"Small",200,500,"Small",0
"338",43,2,200,500,"Small",200,500,"Large",0
"339",43,3,300,500,"Large",300,1500,"Large",1
"340",43,4,200,500,"Small",200,1500,"Small",1
"341",43,5,300,500,"Large",200,500,"Small",0
"342",43,6,300,1500,"Small",300,1500,"Large",0
"343",43,7,300,1500,"Small",300,500,"Small",1
"344",43,8,200,500,"Small",200,1500,"Small",0
"345",44,1,200,500,"Small",300,500,"Small",1
"346",44,2,300,1500,"Large",300,1500,"Small",0
"347",44,3,300,500,"Small",300,1500,"Large",1
"348",44,4,300,1500,"Small",200,500,"Small",0
"349",44,5,300,1500,"Small",300,500,"Large",0
"350",44,6,300,500,"Small",300,1500,"Large",0
"351",44,7,200,500,"Large",300,500,"Large",1
"352",44,8,300,500,"Small",200,500,"Large",0
"353",45,1,300,1500,"Small",200,1500,"Large",0
"354",45,2,200,500,"Small",300,1500,"Large",1
"355",45,3,200,1500,"Small",300,1500,"Small",1
"356",45,4,200,1500,"Small",300,1500,"Large",1
"357",45,5,200,500,"Small",300,500,"Large",1
"358",45,6,200,500,"Small",300,1500,"Large",1
"359",45,7,200,500,"Large",300,1500,"Large",1
"360",45,8,300,1500,"Large",200,1500,"Large",0
"361",46,1,300,500,"Large",200,500,"Small",0
"362",46,2,200,500,"Small",300,1500,"Large",1
"363",46,3,200,500,"Small",200,1500,"Large",0
"364",46,4,200,500,"Small",300,500,"Small",1
"365",46,5,300,500,"Small",200,500,"Large",0
"366",46,6,300,1500,"Large",200,500,"Small",0
"367",46,7,200,1500,"Small",200,1500,"Large",0
"368",46,8,200,500,"Large",200,1500,"Large",0
"369",47,1,200,500,"Large",300,500,"Large",1
"370",47,2,200,1500,"Small",200,500,"Large",0
"371",47,3,300,1500,"Large",200,1500,"Large",0
"372",47,4,300,500,"Large",300,500,"Small",1
"373",47,5,300,1500,"Small",200,1500,"Small",0
"374",47,6,300,1500,"Large",300,1500,"Small",1
"375",47,7,200,1500,"Small",300,500,"Large",0
"376",47,8,200,500,"Large",300,500,"Small",1
"377",48,1,300,500,"Large",300,500,"Small",1
"378",48,2,300,500,"Large",300,500,"Small",0
"379",48,3,200,500,"Small",200,500,"Large",0
"380",48,4,300,1500,"Large",300,500,"Large",1
"381",48,5,300,500,"Large",300,500,"Small",1
"382",48,6,200,500,"Large",300,500,"Small",1
"383",48,7,200,1500,"Small",200,1500,"Large",0
"384",48,8,200,500,"Small",300,500,"Small",0
"385",49,1,200,500,"Small",200,1500,"Small",0
"386",49,2,200,500,"Small",300,1500,"Large",1
"387",49,3,300,1500,"Small",200,1500,"Small",1
"388",49,4,200,500,"Large",300,500,"Small",1
"389",49,5,200,500,"Large",300,500,"Small",1
"390",49,6,200,500,"Large",200,1500,"Small",1
"391",49,7,200,1500,"Small",200,1500,"Large",0
"392",49,8,300,1500,"Small",300,1500,"Large",1
"393",50,1,300,500,"Large",200,500,"Large",0
"394",50,2,200,1500,"Large",300,1500,"Small",1
"395",50,3,300,1500,"Small",300,1500,"Large",0
"396",50,4,200,500,"Large",200,500,"Small",1
"397",50,5,300,1500,"Large",200,500,"Large",0
"398",50,6,300,1500,"Large",300,500,"Large",0
"399",50,7,300,500,"Large",200,500,"Small",1
"400",50,8,300,500,"Small",200,1500,"Large",1
"401",51,1,300,500,"Small",200,500,"Small",0
"402",51,2,200,1500,"Large",200,1500,"Small",1
"403",51,3,300,500,"Large",300,1500,"Small",1
"404",51,4,200,500,"Large",300,500,"Large",1
"405",51,5,200,500,"Large",300,1500,"Large",1
"406",51,6,200,500,"Small",300,1500,"Small",0
"407",51,7,300,1500,"Small",200,1500,"Small",0
"408",51,8,300,1500,"Small",200,1500,"Large",0
"409",52,1,300,1500,"Large",200,1500,"Large",0
"410",52,2,200,500,"Large",300,1500,"Small",1
"411",52,3,200,1500,"Large",200,500,"Large",1
"412",52,4,200,500,"Large",200,1500,"Large",1
"413",52,5,200,1500,"Small",200,1500,"Large",0
"414",52,6,300,500,"Small",200,500,"Large",0
"415",52,7,200,1500,"Small",300,1500,"Large",1
"416",52,8,200,1500,"Large",300,1500,"Small",1
"417",53,1,200,500,"Small",300,500,"Small",1
"418",53,2,300,500,"Large",200,1500,"Large",0
"419",53,3,300,1500,"Small",300,500,"Small",1
"420",53,4,300,500,"Large",300,1500,"Small",0
"421",53,5,300,1500,"Small",200,1500,"Small",1
"422",53,6,200,1500,"Large",300,500,"Small",1
"423",53,7,300,500,"Large",200,500,"Large",0
"424",53,8,300,1500,"Large",200,1500,"Small",0
"425",54,1,300,1500,"Small",300,500,"Small",0
"426",54,2,300,500,"Small",200,1500,"Large",0
"427",54,3,300,500,"Large",200,500,"Large",1
"428",54,4,200,1500,"Large",300,1500,"Large",1
"429",54,5,300,500,"Large",300,1500,"Large",1
"430",54,6,300,1500,"Small",200,1500,"Large",0
"431",54,7,200,500,"Small",300,1500,"Small",1
"432",54,8,300,1500,"Small",300,500,"Small",0
"433",55,1,200,500,"Small",300,1500,"Small",1
"434",55,2,300,500,"Large",200,500,"Small",1
"435",55,3,200,500,"Small",300,500,"Small",1
"436",55,4,300,500,"Large",200,500,"Small",0
"437",55,5,300,1500,"Small",300,1500,"Large",0
"438",55,6,200,1500,"Small",200,1500,"Large",1
"439",55,7,300,1500,"Small",200,500,"Small",0
"440",55,8,300,500,"Small",300,1500,"Small",1
"441",56,1,300,500,"Small",200,1500,"Large",0
"442",56,2,300,1500,"Small",300,500,"Large",0
"443",56,3,300,1500,"Large",200,1500,"Small",0
"444",56,4,300,500,"Large",200,1500,"Large",1
"445",56,5,300,500,"Small",200,500,"Small",0
"446",56,6,200,1500,"Large",300,500,"Small",0
"447",56,7,300,1500,"Large",300,1500,"Small",0
"448",56,8,300,500,"Large",200,500,"Large",0
"449",57,1,300,1500,"Small",200,1500,"Small",0
"450",57,2,300,500,"Large",200,1500,"Large",0
"451",57,3,300,1500,"Small",200,500,"Small",0
"452",57,4,200,500,"Small",200,500,"Large",0
"453",57,5,300,500,"Large",200,1500,"Small",0
"454",57,6,300,1500,"Large",300,1500,"Small",0
"455",57,7,300,500,"Large",300,500,"Small",1
"456",57,8,200,500,"Large",300,1500,"Small",1
"457",58,1,200,1500,"Small",300,500,"Small",1
"458",58,2,200,500,"Large",200,1500,"Large",1
"459",58,3,300,500,"Small",200,1500,"Large",1
"460",58,4,200,500,"Large",300,1500,"Large",1
"461",58,5,200,500,"Large",300,1500,"Small",1
"462",58,6,300,500,"Large",300,500,"Small",0
"463",58,7,200,1500,"Large",300,1500,"Small",1
"464",58,8,300,500,"Large",200,1500,"Small",1
"465",59,1,300,500,"Large",300,1500,"Small",1
"466",59,2,300,1500,"Small",200,1500,"Large",0
"467",59,3,300,500,"Large",200,1500,"Large",1
"468",59,4,200,500,"Large",300,500,"Large",1
"469",59,5,300,500,"Large",300,1500,"Small",0
"470",59,6,300,500,"Small",300,1500,"Large",0
"471",59,7,200,500,"Small",300,1500,"Large",1
"472",59,8,300,500,"Large",300,1500,"Small",1
"473",60,1,300,1500,"Large",200,1500,"Large",0
"474",60,2,300,1500,"Small",300,1500,"Large",1
"475",60,3,300,500,"Small",200,500,"Small",0
"476",60,4,200,500,"Large",300,1500,"Large",1
"477",60,5,200,500,"Small",300,1500,"Large",1
"478",60,6,300,500,"Large",200,500,"Small",0
"479",60,7,300,500,"Small",200,1500,"Small",1
"480",60,8,200,500,"Small",300,1500,"Large",0
"481",61,1,200,1500,"Large",200,1500,"Small",0
"482",61,2,200,1500,"Large",200,500,"Large",0
"483",61,3,300,500,"Small",300,1500,"Large",1
"484",61,4,300,1500,"Large",300,500,"Small",0
"485",61,5,300,1500,"Small",300,500,"Small",0
"486",61,6,300,1500,"Small",200,500,"Small",1
"487",61,7,300,1500,"Small",200,1500,"Large",0
"488",61,8,300,500,"Large",200,1500,"Large",0
"489",62,1,200,500,"Small",200,500,"Large",1
"490",62,2,300,500,"Large",300,500,"Small",1
"491",62,3,300,500,"Small",200,1500,"Small",0
"492",62,4,200,500,"Small",200,1500,"Large",0
"493",62,5,200,500,"Small",200,1500,"Small",1
"494",62,6,300,1500,"Large",200,1500,"Small",0
"495",62,7,300,500,"Small",300,1500,"Small",1
"496",62,8,300,500,"Small",200,1500,"Large",0
"497",63,1,300,500,"Large",200,500,"Large",1
"498",63,2,200,1500,"Large",200,500,"Small",1
"499",63,3,200,500,"Large",200,1500,"Large",1
"500",63,4,200,1500,"Small",200,500,"Small",0
"501",63,5,200,1500,"Small",300,500,"Small",1
"502",63,6,300,1500,"Large",300,500,"Small",1
"503",63,7,300,500,"Small",200,500,"Large",0
"504",63,8,300,1500,"Large",200,1500,"Small",0
"505",64,1,300,1500,"Small",200,1500,"Large",0
"506",64,2,200,500,"Small",200,1500,"Large",0
"507",64,3,200,500,"Large",300,500,"Small",1
"508",64,4,300,1500,"Large",200,500,"Small",0
"509",64,5,200,500,"Small",300,1500,"Small",1
"510",64,6,200,500,"Small",300,1500,"Large",0
"511",64,7,300,500,"Small",300,500,"Large",0
"512",64,8,200,1500,"Large",200,500,"Large",1
"513",65,1,300,500,"Small",300,1500,"Small",1
"514",65,2,300,1500,"Small",200,500,"Large",0
"515",65,3,200,1500,"Small",300,1500,"Small",1
"516",65,4,200,500,"Large",300,1500,"Small",1
"517",65,5,300,1500,"Small",300,500,"Large",1
"518",65,6,200,1500,"Large",200,500,"Large",1
"519",65,7,200,500,"Large",300,500,"Small",0
"520",65,8,300,1500,"Large",200,1500,"Small",0
"521",66,1,300,500,"Large",300,500,"Small",1
"522",66,2,200,500,"Large",300,1500,"Large",1
"523",66,3,300,1500,"Large",200,500,"Large",0
"524",66,4,300,500,"Small",200,500,"Small",0
"525",66,5,200,1500,"Large",200,500,"Large",0
"526",66,6,200,500,"Large",300,500,"Small",1
"527",66,7,200,500,"Large",300,500,"Small",1
"528",66,8,200,1500,"Small",300,500,"Small",1
"529",67,1,300,500,"Small",200,500,"Large",0
"530",67,2,300,1500,"Small",200,1500,"Large",0
"531",67,3,300,500,"Large",200,1500,"Large",0
"532",67,4,200,1500,"Large",200,500,"Large",1
"533",67,5,300,500,"Large",200,1500,"Small",1
"534",67,6,200,1500,"Small",200,1500,"Large",0
