"choice_set","alternative","distance_5min","wait_sameweek","provider_md","copay","choice"
"13_5","A",1,0,0,25,0
"13_5","B",1,1,1,25,1
"13_6","A",0,0,1,50,0
"13_6","B",1,1,1,25,1
"13_7","A",0,0,1,50,0
"13_7","B",1,1,1,50,1
"13_8","A",1,0,0,50,0
"13_8","B",1,0,1,50,1
"14_1","A",1,1,1,25,1
"14_1","B",1,0,0,25,0
"14_2","A",0,0,1,50,0
"14_2","B",0,1,0,25,1
"14_3","A",1,0,0,50,0
"14_3","B",1,1,1,25,1
"14_4","A",1,0,1,50,0
"14_4","B",0,0,1,25,1
"14_5","A",1,0,1,25,1
"14_5","B",1,0,1,50,0
"14_6","A",1,0,0,50,0
"14_6","B",0,1,0,50,1
"14_7","A",0,1,0,50,1
"14_7","B",1,0,0,25,0
"14_8","A",0,0,0,25,0
"14_8","B",1,1,1,25,1
"15_1","A",1,0,1,25,0
"15_1","B",0,1,1,25,1
"15_2","A",1,1,0,25,1
"15_2","B",0,1,0,25,0
"15_3","A",0,0,0,25,0
"15_3","B",0,1,0,25,1
"15_4","A",1,0,0,25,1
"15_4","B",1,0,0,50,0
"15_5","A",0,0,1,50,0
"15_5","B",0,1,0,50,1
"15_6","A",1,1,1,25,1
"15_6","B",1,0,1,25,0
"15_7","A",0,0,1,25,1
"15_7","B",0,0,0,50,0
"15_8","A",0,0,1,50,0
"15_8","B",1,0,1,25,1
"16_1","A",0,0,1,25,0
"16_1","B",1,0,0,25,1
"16_2","A",0,0,1,25,1
"16_2","B",1,0,0,50,0
"16_3","A",1,0,1,50,0
"16_3","B",0,1,1,25,1
"16_4","A",0,1,1,25,1
"16_4","B",0,0,1,25,0
"16_5","A",1,0,1,25,1
"16_5","B",0,0,0,50,0
"16_6","A",0,0,0,25,1
"16_6","B",0,0,1,50,0
"16_7","A",1,0,0,25,0
"16_7","B",1,1,1,50,1
"16_8","A",1,1,1,25,1
"16_8","B",0,1,0,25,0
"17_1","A",1,1,1,25,1
"17_1","B",0,1,1,25,0
"17_2","A",1,1,1,25,1
"17_2","B",0,0,0,25,0
"17_3","A",1,0,0,50,1
"17_3","B",0,1,0,50,0
"17_4","A",0,1,0,25,1
"17_4","B",1,0,1,25,0
"17_5","A",0,1,1,25,1
"17_5","B",0,0,0,25,0
"17_6","A",0,1,1,50,0
"17_6","B",1,0,1,25,1
"17_7","A",0,1,0,50,1
"17_7","B",0,0,0,25,0
"17_8","A",1,0,0,25,1
"17_8","B",0,1,1,50,0
"18_1","A",0,1,1,50,1
"18_1","B",1,0,0,50,0
"18_2","A",0,1,0,50,0
"18_2","B",0,1,1,25,1
"18_3","A",0,1,0,25,1
"18_3","B",1,0,0,25,0
"18_4","A",0,0,0,25,0
"18_4","B",1,0,1,25,1
"18_5","A",1,0,1,25,0
"18_5","B",1,1,0,50,1
"18_6","A",1,1,0,25,1
"18_6","B",1,1,1,50,0
"18_7","A",0,1,1,25,1
"18_7","B",1,0,1,50,0
"18_8","A",0,0,1,25,1
"18_8","B",0,0,0,50,0
"19_1","A",1,1,1,25,1
"19_1","B",1,0,1,50,0
"19_2","A",1,1,1,25,1
"19_2","B",0,1,0,25,0
"19_3","A",0,0,0,50,0
"19_3","B",0,1,1,25,1
"19_4","A",0,1,0,50,0
"19_4","B",0,1,1,25,1
"19_5","A",0,1,0,50,0
"19_5","B",0,0,1,25,1
"19_6","A",0,0,1,50,0
"19_6","B",1,0,1,50,1
"19_7","A",0,0,1,25,0
"19_7","B",1,0,1,50,1
"19_8","A",1,1,1,25,1
"19_8","B",1,1,1,50,0
"1_1","A",1,1,1,50,1
"1_1","B",1,0,1,50,0
"1_2","A",0,1,1,25,1
"1_2","B",1,1,0,50,0
"1_3","A",1,0,1,50,0
"1_3","B",1,1,1,25,1
"1_4","A",1,0,0,25,1
"1_4","B",0,1,0,50,0
"1_5","A",0,1,1,25,0
"1_5","B",1,1,0,25,1
"1_6","A",1,0,0,25,1
"1_6","B",0,1,1,50,0
"1_7","A",1,1,1,50,1
"1_7","B",1,1,0,50,0
"1_8","A",1,0,1,25,1
"1_8","B",0,0,1,50,0
"20_1","A",1,0,0,50,0
"20_1","B",1,1,0,25,1
"20_2","A",1,1,1,50,1
"20_2","B",1,0,1,25,0
"20_3","A",0,1,1,25,0
"20_3","B",0,1,0,25,1
"20_4","A",0,0,1,50,0
"20_4","B",1,0,1,50,1
"20_5","A",1,0,0,50,0
"20_5","B",1,1,1,50,1
"20_6","A",0,1,1,50,1
"20_6","B",0,1,0,50,0
"20_7","A",1,1,0,50,0
"20_7","B",1,1,1,25,1
"20_8","A",0,0,0,50,0
"20_8","B",1,1,0,50,1
"21_1","A",0,1,1,25,0
"21_1","B",1,1,1,50,1
"21_2","A",0,0,0,50,0
"21_2","B",0,0,1,25,1
"21_3","A",1,0,0,25,1
"21_3","B",1,0,0,50,0
"21_4","A",1,1,0,50,1
"21_4","B",0,0,1,25,0
"21_5","A",1,0,1,50,0
"21_5","B",1,1,1,25,1
"21_6","A",0,0,0,25,0
"21_6","B",0,1,1,50,1
"21_7","A",1,0,0,25,0
"21_7","B",0,1,1,25,1
"21_8","A",1,1,1,50,0
"21_8","B",1,1,0,25,1
"22_1","A",0,0,1,25,0
"22_1","B",1,1,1,50,1
"22_2","A",0,0,1,50,0
"22_2","B",0,1,0,50,1
"22_3","A",0,1,1,25,0
"22_3","B",1,1,1,50,1
"22_4","A",1,1,1,50,1
"22_4","B",0,0,0,50,0
"22_5","A",0,1,1,50,0
"22_5","B",0,1,0,25,1
"22_6","A",1,0,1,25,0
"22_6","B",1,1,1,25,1
"22_7","A",1,0,1,25,1
"22_7","B",0,0,0,50,0
"22_8","A",1,1,1,25,1
"22_8","B",1,0,1,50,0
"23_1","A",1,0,0,50,0
"23_1","B",1,0,1,25,1
"23_2","A",0,0,1,25,1
"23_2","B",0,0,0,25,0
"23_3","A",0,0,0,25,0
"23_3","B",1,0,0,25,1
"23_4","A",1,0,0,25,0
"23_4","B",0,1,1,25,1
"23_5","A",0,0,1,50,0
"23_5","B",0,1,1,50,1
"23_6","A",1,0,1,25,1
"23_6","B",0,0,1,25,0
"23_7","A",0,0,1,50,1
"23_7","B",0,0,0,25,0
"23_8","A",0,1,1,25,1
"23_8","B",0,1,1,50,0
"24_1","A",1,1,1,50,1
"24_1","B",0,0,0,25,0
"24_2","A",1,1,1,25,1
"24_2","B",1,0,1,50,0
"24_3","A",0,0,0,25,1
"24_3","B",0,0,1,50,0
"24_4","A",1,1,1,50,1
"24_4","B",1,1,0,50,0
"24_5","A",1,0,1,50,0
"24_5","B",1,0,0,25,1
"24_6","A",1,1,1,25,1
"24_6","B",0,0,0,25,0
"24_7","A",0,0,1,25,0
"24_7","B",0,1,0,25,1
"24_8","A",0,1,0,50,0
"24_8","B",0,1,1,25,1
"25_1","A",1,1,1,25,1
"25_1","B",0,1,1,50,0
"25_2","A",0,1,0,50,1
"25_2","B",0,0,0,50,0
"25_3","A",1,1,1,25,1
"25_3","B",0,1,1,25,0
"25_4","A",1,1,1,50,0
"25_4","B",1,1,0,25,1
"25_5","A",1,1,1,25,1
"25_5","B",1,0,0,50,0
"25_6","A",1,1,0,50,1
"25_6","B",0,1,1,25,0
"25_7","A",1,1,1,25,1
"25_7","B",0,1,1,25,0
"25_8","A",1,0,0,25,0
"25_8","B",1,1,0,50,1
"26_1","A",0,1,1,50,1
"26_1","B",0,0,0,25,0
"26_2","A",0,1,0,50,0
"26_2","B",1,1,0,50,1
"26_3","A",0,1,0,50,0
"26_3","B",1,1,0,50,1
"26_4","A",0,0,1,25,1
"26_4","B",0,0,1,50,0
"26_5","A",0,1,0,25,1
"26_5","B",0,0,0,50,0
"26_6","A",1,0,0,50,0
"26_6","B",0,1,1,50,1
"26_7","A",0,0,0,25,0
"26_7","B",1,0,1,50,1
"26_8","A",0,1,1,25,0
"26_8","B",1,1,0,25,1
"27_1","A",0,0,1,50,0
"27_1","B",1,1,1,50,1
"27_2","A",1,0,0,25,0
"27_2","B",1,1,1,50,1
"27_3","A",1,0,0,25,1
"27_3","B",0,0,1,50,0
"27_4","A",1,0,0,25,1
"27_4","B",0,0,1,25,0
"27_5","A",1,0,1,50,0
"27_5","B",1,0,0,25,1
"27_6","A",0,0,1,25,0
"27_6","B",1,0,1,25,1
"27_7","A",1,1,1,25,1
"27_7","B",0,1,1,25,0
"27_8","A",1,0,0,50,0
"27_8","B",1,1,0,25,1
"28_1","A",1,0,1,50,0
"28_1","B",1,0,0,25,1
"28_2","A",1,0,1,50,1
"28_2","B",0,1,0,50,0
"28_3","A",1,1,0,25,1
"28_3","B",0,0,1,50,0
"28_4","A",0,1,1,25,0
"28_4","B",1,0,1,25,1
"28_5","A",0,0,0,25,1
"28_5","B",1,0,0,50,0
"28_6","A",0,1,1,25,1
"28_6","B",1,0,0,25,0
"28_7","A",0,1,1,25,1
"28_7","B",1,0,1,25,0
"28_8","A",1,1,1,25,1
"28_8","B",0,0,0,25,0
"29_1","A",0,1,0,50,1
"29_1","B",1,0,1,50,0
"29_2","A",0,1,0,25,0
"29_2","B",1,0,1,25,1
"29_3","A",1,1,0,50,1
"29_3","B",0,0,0,50,0
"29_4","A",0,1,0,50,0
"29_4","B",1,1,0,25,1
"29_5","A",0,0,1,50,0
"29_5","B",1,1,1,25,1
"29_6","A",1,1,1,50,1
"29_6","B",0,1,1,50,0
"29_7","A",1,0,0,25,0
"29_7","B",1,0,1,50,1
"29_8","A",0,1,1,25,1
"29_8","B",1,0,0,50,0
"2_1","A",0,0,0,25,0
"2_1","B",1,0,1,25,1
"2_2","A",1,1,1,50,1
"2_2","B",1,0,0,50,0
"2_3","A",0,0,1,50,0
"2_3","B",1,0,1,50,1
"2_4","A",1,0,1,25,1
"2_4","B",0,0,1,25,0
"2_5","A",1,1,0,50,0
"2_5","B",0,1,1,25,1
"2_6","A",1,0,1,50,1
"2_6","B",0,0,1,25,0
"2_7","A",1,1,1,50,1
"2_7","B",1,0,1,25,0
"2_8","A",1,0,0,25,1
"2_8","B",0,0,1,50,0
"30_1","A",1,0,0,50,1
"30_1","B",0,1,0,50,0
"30_2","A",0,0,0,25,0
"30_2","B",0,1,0,25,1
"30_3","A",0,0,0,50,0
"30_3","B",0,0,1,25,1
"30_4","A",1,1,1,50,1
"30_4","B",0,1,1,50,0
"30_5","A",1,1,1,50,1
"30_5","B",0,1,0,25,0
"30_6","A",1,0,0,25,1
"30_6","B",0,1,1,50,0
"30_7","A",0,0,1,25,0
"30_7","B",1,0,0,25,1
"30_8","A",1,1,1,25,1
"30_8","B",0,0,1,25,0
"31_1","A",0,0,0,25,0
"31_1","B",0,1,0,50,1
"31_2","A",0,0,1,50,0
"31_2","B",1,0,1,25,1
"31_3","A",1,0,1,50,1
"31_3","B",0,0,1,25,0
"31_4","A",1,0,0,25,1
"31_4","B",0,0,0,25,0
"31_5","A",0,0,0,25,0
"31_5","B",1,1,0,50,1
"31_6","A",1,1,0,25,1
"31_6","B",1,0,0,25,0
"31_7","A",0,0,0,50,0
"31_7","B",0,0,1,25,1
"31_8","A",0,1,1,25,1
"31_8","B",0,1,0,25,0
"32_1","A",0,1,1,50,0
"32_1","B",1,1,1,25,1
"32_2","A",1,1,1,25,1
"32_2","B",0,0,0,25,0
"32_3","A",1,0,1,50,0
"32_3","B",1,1,0,25,1
"32_4","A",1,0,1,25,1
"32_4","B",1,0,0,50,0
"32_5","A",0,1,0,25,1
"32_5","B",1,0,1,50,0
"32_6","A",1,0,0,25,1
"32_6","B",0,0,0,50,0
"32_7","A",0,1,1,25,1
"32_7","B",0,1,0,25,0
"32_8","A",0,0,0,25,0
"32_8","B",1,1,0,25,1
"33_1","A",0,1,0,25,1
"33_1","B",0,1,0,50,0
"33_2","A",0,1,0,25,0
"33_2","B",1,1,1,50,1
"33_3","A",1,0,1,25,1
"33_3","B",1,0,0,50,0
"33_4","A",0,0,0,25,1
"33_4","B",0,0,0,50,0
"33_5","A",0,1,1,25,1
"33_5","B",1,1,0,50,0
"33_6","A",0,1,1,25,0
"33_6","B",1,1,1,50,1
"33_7","A",0,1,0,25,1
"33_7","B",1,0,1,25,0
"33_8","A",1,0,0,50,0
"33_8","B",1,0,1,50,1
"34_1","A",0,1,1,25,0
"34_1","B",1,1,0,25,1
"34_2","A",0,1,1,25,0
"34_2","B",1,1,0,25,1
"34_3","A",0,1,0,50,1
"34_3","B",1,0,0,50,0
"34_4","A",1,1,1,50,1
"34_4","B",0,0,0,50,0
"34_5","A",1,0,1,25,1
"34_5","B",0,1,0,50,0
"34_6","A",1,0,0,25,1
"34_6","B",0,1,0,50,0
"34_7","A",0,0,1,50,0
"34_7","B",1,0,0,50,1
"34_8","A",0,1,0,25,1
"34_8","B",1,0,1,25,0
"35_1","A",1,1,1,50,1
"35_1","B",0,0,0,50,0
"35_2","A",1,1,1,50,1
"35_2","B",0,1,0,25,0
"35_3","A",1,1,0,50,0
"35_3","B",1,1,1,25,1
"35_4","A",1,1,0,25,1
"35_4","B",0,0,1,50,0
"35_5","A",0,1,0,25,1
"35_5","B",1,0,1,50,0
"35_6","A",1,1,0,25,1
"35_6","B",1,0,1,50,0
"35_7","A",1,0,1,50,1
"35_7","B",0,0,1,50,0
"35_8","A",0,0,0,50,0
"35_8","B",1,1,1,50,1
"36_1","A",1,1,0,25,1
"36_1","B",0,1,1,50,0
"36_2","A",0,0,0,25,0
"36_2","B",1,0,1,50,1
"36_3","A",0,1,0,50,0
"36_3","B",1,1,1,25,1
"36_4","A",1,0,0,50,0
"36_4","B",1,0,1,50,1
"36_5","A",1,1,1,50,1
"36_5","B",0,1,1,25,0
"36_6","A",1,0,0,25,0
"36_6","B",0,1,0,25,1
"36_7","A",0,1,1,25,1
"36_7","B",0,1,1,50,0
"36_8","A",1,1,0,50,0
"36_8","B",1,1,1,25,1
"37_1","A",1,1,0,25,1
"37_1","B",1,1,0,50,0
"37_2","A",0,0,0,50,0
"37_2","B",0,0,0,25,1
"37_3","A",1,1,1,50,1
"37_3","B",1,0,1,25,0
"37_4","A",0,1,0,25,0
"37_4","B",0,1,1,25,1
"37_5","A",1,0,1,50,1
"37_5","B",0,1,0,50,0
"37_6","A",0,0,0,50,0
"37_6","B",1,1,1,25,1
"37_7","A",1,1,1,50,1
"37_7","B",1,0,1,50,0
"37_8","A",1,1,1,50,1
"37_8","B",1,0,0,25,0
"38_1","A",0,0,1,50,0
"38_1","B",1,1,0,25,1
"38_2","A",0,1,1,25,1
"38_2","B",0,0,1,25,0
"38_3","A",1,1,1,50,1
"38_3","B",0,1,0,50,0
"38_4","A",1,0,1,25,1
"38_4","B",0,0,1,50,0
"38_5","A",0,0,0,50,0
"38_5","B",0,1,1,50,1
"38_6","A",0,0,0,25,0
"38_6","B",0,1,0,50,1
"38_7","A",1,1,1,25,1
"38_7","B",0,1,0,25,0
"38_8","A",0,1,1,25,1
"38_8","B",1,0,1,25,0
"39_1","A",0,1,0,50,0
"39_1","B",0,1,1,50,1
"39_2","A",0,1,1,25,1
"39_2","B",1,1,0,50,0
"39_3","A",1,1,1,25,1
"39_3","B",0,1,1,50,0
"39_4","A",0,0,0,50,0
"39_4","B",0,1,0,50,1
"39_5","A",0,0,0,25,0
"39_5","B",0,1,1,25,1
"39_6","A",1,0,1,50,0
"39_6","B",1,1,0,25,1
"39_7","A",1,1,0,25,1
"39_7","B",0,0,0,25,0
"39_8","A",0,0,0,25,0
"39_8","B",1,0,0,50,1
"3_1","A",0,0,0,25,0
"3_1","B",1,0,1,50,1
"3_2","A",0,1,0,25,0
"3_2","B",0,1,1,25,1
"3_3","A",0,0,0,25,0
"3_3","B",1,1,0,50,1
"3_4","A",0,0,0,25,0
"3_4","B",1,1,1,25,1
"3_5","A",1,0,0,25,0
"3_5","B",0,1,1,25,1
"3_6","A",0,1,0,50,0
"3_6","B",1,0,0,50,1
"3_7","A",0,0,1,25,0
"3_7","B",1,1,1,50,1
"3_8","A",0,0,0,25,0
"3_8","B",0,1,0,50,1
"40_1","A",1,0,1,50,1
"40_1","B",0,0,0,50,0
"40_2","A",0,0,1,25,0
"40_2","B",1,0,1,50,1
"40_3","A",1,1,0,50,0
"40_3","B",1,1,0,25,1
"40_4","A",1,0,1,25,0
"40_4","B",1,1,1,50,1
"40_5","A",0,0,1,50,0
"40_5","B",0,1,1,50,1
"40_6","A",0,0,0,50,0
"40_6","B",0,0,1,25,1
"40_7","A",1,1,0,50,1
"40_7","B",0,1,0,50,0
"40_8","A",0,1,0,25,0
"40_8","B",1,1,1,25,1
"41_1","A",1,1,1,25,1
"41_1","B",0,0,0,50,0
"41_2","A",1,1,1,50,1
"41_2","B",1,0,0,50,0
"41_3","A",1,1,0,50,0
"41_3","B",1,1,0,25,1
"41_4","A",0,0,0,50,0
"41_4","B",0,1,0,25,1
"41_5","A",1,0,0,25,0
"41_5","B",1,1,1,25,1
"41_6","A",0,0,0,25,0
"41_6","B",1,0,1,50,1
"41_7","A",0,0,1,50,0
"41_7","B",1,1,1,50,1
"41_8","A",0,0,1,25,0
"41_8","B",0,1,1,50,1
"42_1","A",1,1,1,50,1
"42_1","B",0,1,0,25,0
"42_2","A",1,0,1,25,1
"42_2","B",1,0,1,50,0
"42_3","A",1,1,1,25,1
"42_3","B",1,0,1,50,0
"42_4","A",1,0,0,50,0
"42_4","B",1,1,0,25,1
"42_5","A",0,1,1,25,1
"42_5","B",0,1,1,50,0
"42_6","A",0,1,1,50,0
"42_6","B",1,0,1,50,1
"42_7","A",0,1,1,50,0
"42_7","B",1,1,1,25,1
"42_8","A",0,1,1,50,1
"42_8","B",1,0,0,50,0
"43_1","A",0,0,0,50,0
"43_1","B",0,1,1,50,1
"43_2","A",1,1,1,50,1
"43_2","B",1,0,1,25,0
"43_3","A",1,1,0,50,1
"43_3","B",0,0,0,25,0
"43_4","A",0,0,1,50,0
"43_4","B",0,1,1,25,1
"43_5","A",0,0,0,50,0
"43_5","B",0,0,1,50,1
"43_6","A",0,1,0,25,1
"43_6","B",1,0,0,25,0
"43_7","A",0,1,1,25,1
"43_7","B",0,0,0,25,0
"43_8","A",0,0,0,25,0
"43_8","B",1,1,0,25,1
"44_1","A",1,0,0,50,0
"44_1","B",1,0,0,25,1
"44_2","A",0,1,1,25,1
"44_2","B",0,0,1,25,0
"44_3","A",0,1,0,25,0
"44_3","B",0,1,1,25,1
"44_4","A",1,0,1,50,0
"44_4","B",1,0,0,25,1
"44_5","A",1,0,1,50,1
"44_5","B",0,0,0,25,0
"44_6","A",0,0,1,50,0
"44_6","B",0,0,0,25,1
"44_7","A",0,0,1,50,0
"44_7","B",1,1,0,25,1
"44_8","A",0,1,1,50,1
"44_8","B",1,0,0,50,0
"45_1","A",1,1,0,25,0
"45_1","B",1,1,1,25,1
"45_2","A",1,1,1,50,1
"45_2","B",1,0,0,25,0
"45_3","A",1,1,0,25,1
"45_3","B",0,0,1,25,0
"45_4","A",0,0,1,50,0
"45_4","B",0,1,1,25,1
"45_5","A",1,1,1,25,1
"45_5","B",1,0,1,25,0
"45_6","A",1,1,0,50,1
"45_6","B",1,0,1,50,0
"45_7","A",0,0,1,50,0
"45_7","B",0,1,0,25,1
"45_8","A",0,1,1,25,1
"45_8","B",1,0,0,25,0
"46_1","A",1,0,0,50,0
"46_1","B",0,1,0,25,1
"46_2","A",0,0,0,25,0
"46_2","B",0,1,0,50,1
"46_3","A",1,1,1,50,1
"46_3","B",0,0,0,25,0
"46_4","A",0,0,1,50,0
"46_4","B",1,0,1,25,1
"46_5","A",1,0,0,50,0
"46_5","B",1,0,1,50,1
"46_6","A",0,1,1,25,1
"46_6","B",0,1,0,50,0
"46_7","A",1,0,1,50,0
"46_7","B",0,0,1,25,1
"46_8","A",0,0,0,50,0
"46_8","B",1,1,0,25,1
"47_1","A",0,1,0,50,1
"47_1","B",0,0,1,50,0
"47_2","A",0,0,1,50,0
"47_2","B",0,1,1,25,1
"47_3","A",0,1,0,50,0
"47_3","B",1,1,1,50,1
"47_4","A",1,0,0,50,0
"47_4","B",1,1,1,25,1
"47_5","A",0,0,1,25,0
"47_5","B",1,1,0,25,1
"47_6","A",0,1,1,50,1
"47_6","B",0,0,0,25,0
"47_7","A",0,1,0,50,1
"47_7","B",1,0,0,50,0
"47_8","A",0,0,1,25,1
"47_8","B",1,0,0,50,0
"48_1","A",1,1,0,50,0
"48_1","B",1,1,1,25,1
"48_2","A",1,1,0,25,1
"48_2","B",0,0,0,25,0
"48_3","A",1,0,0,25,0
"48_3","B",1,1,0,50,1
"48_4","A",0,1,1,25,1
"48_4","B",0,1,1,50,0
"48_5","A",0,0,1,50,0
"48_5","B",1,1,0,25,1
"48_6","A",0,1,1,25,0
"48_6","B",1,1,0,25,1
"48_7","A",1,0,0,25,0
"48_7","B",1,1,1,25,1
"48_8","A",0,0,0,50,0
"48_8","B",1,0,0,50,1
"49_1","A",1,0,1,25,0
"49_1","B",1,1,1,25,1
"49_2","A",0,1,1,25,1
"49_2","B",0,0,0,25,0
"49_3","A",0,1,0,50,0
"49_3","B",1,1,0,25,1
"49_4","A",1,0,1,25,1
"49_4","B",0,0,1,25,0
"49_5","A",0,0,0,50,0
"49_5","B",0,1,0,25,1
"49_6","A",1,0,1,25,1
"49_6","B",0,0,0,50,0
"49_7","A",1,0,0,50,0
"49_7","B",0,1,0,25,1
"49_8","A",0,1,0,25,0
"49_8","B",1,1,1,25,1
"4_1","A",1,1,1,25,1
"4_1","B",1,0,1,25,0
"4_2","A",1,1,0,50,0
"4_2","B",1,1,0,25,1
"4_3","A",1,0,1,25,1
"4_3","B",1,0,0,25,0
"4_4","A",0,1,0,25,1
"4_4","B",0,0,1,50,0
"4_5","A",1,1,0,50,1
"4_5","B",1,0,0,50,0
"4_6","A",1,1,0,50,1
"4_6","B",0,1,1,50,0
"4_7","A",1,1,0,25,1
"4_7","B",1,1,0,50,0
"4_8","A",1,1,0,50,1
"4_8","B",1,0,0,50,0
"50_1","A",1,1,0,50,1
"50_1","B",0,0,0,50,0
"50_2","A",1,1,1,25,1
"50_2","B",1,0,0,25,0
"50_3","A",0,1,1,25,1
"50_3","B",0,1,1,50,0
"50_4","A",0,0,1,50,0
"50_4","B",0,1,0,50,1
"50_5","A",0,0,0,50,0
"50_5","B",0,1,1,50,1
"50_6","A",1,0,0,25,1
"50_6","B",1,0,0,50,0
"50_7","A",0,0,0,25,0
"50_7","B",0,1,1,50,1
"50_8","A",1,0,0,50,1
"50_8","B",0,0,0,50,0
"51_1","A",0,0,0,50,0
"51_1","B",0,1,0,25,1
"51_2","A",1,0,1,50,0
"51_2","B",1,0,0,25,1
"51_3","A",1,0,1,25,1
"51_3","B",0,1,0,25,0
"51_4","A",0,1,1,25,1
"51_4","B",1,0,0,50,0
"51_5","A",0,0,1,50,0
"51_5","B",0,1,0,50,1
"51_6","A",1,0,0,50,0
"51_6","B",0,1,0,25,1
"51_7","A",1,0,0,25,1
"51_7","B",0,0,0,25,0
"51_8","A",1,0,1,25,1
"51_8","B",0,0,1,50,0
"52_1","A",0,0,0,50,0
"52_1","B",1,1,0,25,1
"52_2","A",1,0,1,25,1
"52_2","B",1,0,0,50,0
"52_3","A",1,0,0,25,0
"52_3","B",1,1,0,25,1
"52_4","A",0,1,1,50,1
"52_4","B",0,0,1,50,0
"52_5","A",0,1,1,25,0
"52_5","B",1,1,1,50,1
"52_6","A",1,1,0,25,1
"52_6","B",0,1,0,50,0
"52_7","A",0,1,0,50,0
"52_7","B",1,1,1,50,1
"52_8","A",1,1,0,25,1
"52_8","B",0,0,1,50,0
"53_1","A",1,0,0,25,1
"53_1","B",0,1,1,50,0
"53_2","A",1,1,1,25,1
"53_2","B",0,0,1,50,0
"53_3","A",1,1,0,50,1
"53_3","B",0,0,0,50,0
"53_4","A",1,1,0,25,1
"53_4","B",0,0,1,25,0
"53_5","A",0,1,0,25,0
"53_5","B",1,1,1,25,1
"53_6","A",0,1,1,50,0
"53_6","B",1,1,1,25,1
"53_7","A",0,0,0,25,0
"53_7","B",0,0,1,25,1
"53_8","A",1,0,0,25,1
"53_8","B",1,0,1,50,0
"54_1","A",1,0,1,25,1
"54_1","B",1,0,0,25,0
"54_2","A",0,0,1,50,0
"54_2","B",1,0,1,25,1
"54_3","A",0,1,1,50,0
"54_3","B",1,1,1,25,1
"54_4","A",0,1,0,25,1
"54_4","B",0,1,1,50,0
"54_5","A",0,0,1,25,1
"54_5","B",0,1,0,50,0
"54_6","A",1,0,0,25,1
"54_6","B",1,0,0,50,0
"54_7","A",0,0,1,25,0
"54_7","B",0,1,1,25,1
"54_8","A",0,1,0,25,0
"54_8","B",1,1,1,25,1
"55_1","A",1,0,1,25,1
"55_1","B",0,1,1,50,0
"55_2","A",1,1,1,25,1
"55_2","B",0,1,0,25,0
"55_3","A",0,1,0,50,1
"55_3","B",0,0,0,50,0
"55_4","A",0,1,0,25,1
"55_4","B",0,1,0,50,0
"55_5","A",1,0,1,25,0
"55_5","B",0,1,1,25,1
"55_6","A",0,0,1,25,0
"55_6","B",1,0,1,25,1
"55_7","A",0,1,1,50,0
"55_7","B",1,1,1,25,1
"55_8","A",0,1,1,50,0
"55_8","B",0,1,1,25,1
"56_1","A",1,1,0,25,1
"56_1","B",0,1,0,25,0
"56_2","A",1,1,1,50,1
