"choice_set","alternative","appt_1week","travel_10min","portal_full","copay","choice"
"19_5","B",0,1,0,60,0
"19_6","A",1,0,0,30,1
"19_6","B",0,1,1,30,0
"19_7","A",0,1,0,30,1
"19_7","B",1,0,0,30,0
"19_8","A",1,1,1,30,1
"19_8","B",0,0,1,60,0
"19_9","A",1,0,0,60,0
"19_9","B",0,0,1,30,1
"1_1","A",0,0,1,60,0
"1_1","B",0,1,0,30,1
"1_10","A",0,0,0,30,0
"1_10","B",0,0,1,30,1
"1_2","A",1,0,0,60,0
"1_2","B",0,1,1,60,1
"1_3","A",1,0,1,60,0
"1_3","B",0,1,1,60,1
"1_4","A",1,0,0,60,1
"1_4","B",0,1,0,60,0
"1_5","A",0,1,0,30,1
"1_5","B",0,0,1,30,0
"1_6","A",1,0,0,60,0
"1_6","B",1,1,1,30,1
"1_7","A",1,0,1,60,1
"1_7","B",0,0,0,60,0
"1_8","A",0,0,1,30,0
"1_8","B",1,1,1,60,1
"1_9","A",1,1,0,60,1
"1_9","B",1,0,1,60,0
"20_1","A",0,1,1,60,0
"20_1","B",1,0,1,30,1
"20_10","A",0,0,0,30,0
"20_10","B",1,1,1,60,1
"20_2","A",0,0,0,30,0
"20_2","B",1,1,1,60,1
"20_3","A",1,1,1,30,1
"20_3","B",0,0,0,30,0
"20_4","A",1,0,1,30,1
"20_4","B",0,0,1,30,0
"20_5","A",0,1,1,30,1
"20_5","B",0,1,0,30,0
"20_6","A",0,0,0,30,0
"20_6","B",1,1,1,30,1
"20_7","A",0,0,0,30,0
"20_7","B",1,1,0,60,1
"20_8","A",0,1,1,30,1
"20_8","B",1,1,0,60,0
"20_9","A",0,1,1,60,1
"20_9","B",0,1,0,60,0
"21_1","A",0,0,0,30,0
"21_1","B",1,1,0,30,1
"21_10","A",1,0,1,30,0
"21_10","B",1,1,0,30,1
"21_2","A",0,1,1,60,0
"21_2","B",0,1,0,30,1
"21_3","A",1,1,1,60,0
"21_3","B",1,0,1,30,1
"21_4","A",0,0,1,60,0
"21_4","B",0,1,0,60,1
"21_5","A",1,1,0,60,0
"21_5","B",1,1,1,30,1
"21_6","A",0,0,0,30,1
"21_6","B",0,0,1,60,0
"21_7","A",1,0,0,60,0
"21_7","B",1,1,1,30,1
"21_8","A",1,1,1,60,1
"21_8","B",1,0,0,60,0
"21_9","A",0,0,0,30,0
"21_9","B",0,1,1,30,1
"22_1","A",1,1,0,60,1
"22_1","B",0,1,1,60,0
"22_10","A",0,1,1,60,0
"22_10","B",1,1,1,30,1
"22_2","A",0,1,1,30,1
"22_2","B",1,0,1,60,0
"22_3","A",1,0,0,30,0
"22_3","B",1,1,1,30,1
"22_4","A",1,1,0,30,0
"22_4","B",1,1,1,30,1
"22_5","A",0,0,0,30,1
"22_5","B",0,0,1,60,0
"22_6","A",1,1,1,30,1
"22_6","B",0,0,1,30,0
"22_7","A",1,1,1,30,1
"22_7","B",0,0,1,60,0
"22_8","A",0,0,0,30,0
"22_8","B",0,1,0,30,1
"22_9","A",1,1,1,30,1
"22_9","B",0,0,1,30,0
"23_1","A",0,1,0,30,0
"23_1","B",1,1,0,60,1
"23_10","A",1,0,0,30,0
"23_10","B",1,0,1,30,1
"23_2","A",0,1,0,60,1
"23_2","B",0,0,1,60,0
"23_3","A",1,1,0,60,0
"23_3","B",1,1,0,30,1
"23_4","A",1,1,0,60,0
"23_4","B",0,0,1,30,1
"23_5","A",0,1,1,30,1
"23_5","B",0,1,1,60,0
"23_6","A",1,0,1,30,1
"23_6","B",0,0,1,60,0
"23_7","A",0,1,1,60,1
"23_7","B",0,0,0,30,0
"23_8","A",0,0,1,30,1
"23_8","B",0,0,0,60,0
"23_9","A",1,1,0,30,1
"23_9","B",0,1,0,30,0
"24_1","A",1,0,1,30,1
"24_1","B",0,0,1,30,0
"24_10","A",1,1,1,30,1
"24_10","B",0,0,0,60,0
"24_2","A",0,1,0,60,0
"24_2","B",1,1,0,30,1
"24_3","A",1,0,0,30,1
"24_3","B",1,0,1,30,0
"24_4","A",0,0,1,60,0
"24_4","B",0,0,0,30,1
"24_5","A",1,0,1,60,1
"24_5","B",1,0,0,60,0
"24_6","A",0,1,1,60,0
"24_6","B",1,0,1,60,1
"24_7","A",1,1,1,60,1
"24_7","B",0,0,1,30,0
"24_8","A",1,1,1,60,0
"24_8","B",1,0,1,30,1
"24_9","A",1,1,0,30,1
"24_9","B",0,0,0,60,0
"25_1","A",0,0,0,30,0
"25_1","B",1,0,0,60,1
"25_10","A",1,1,1,60,0
"25_10","B",0,1,1,30,1
"25_2","A",1,1,0,30,1
"25_2","B",1,0,0,30,0
"25_3","A",1,0,1,30,1
"25_3","B",1,0,0,60,0
"25_4","A",0,0,1,60,0
"25_4","B",1,0,0,60,1
"25_5","A",0,0,1,30,0
"25_5","B",1,1,1,60,1
"25_6","A",0,0,1,30,0
"25_6","B",0,1,0,30,1
"25_7","A",0,1,0,60,0
"25_7","B",0,1,1,60,1
"25_8","A",0,1,1,60,0
"25_8","B",1,0,0,30,1
"25_9","A",1,1,1,30,1
"25_9","B",0,1,1,60,0
"26_1","A",1,0,0,30,1
"26_1","B",0,0,1,30,0
"26_10","A",0,1,0,30,1
"26_10","B",0,0,0,60,0
"26_2","A",0,1,1,30,1
"26_2","B",1,0,1,60,0
"26_3","A",1,1,1,30,1
"26_3","B",0,0,1,60,0
"26_4","A",0,1,0,30,1
"26_4","B",0,0,0,60,0
"26_5","A",1,1,0,60,1
"26_5","B",0,0,0,60,0
"26_6","A",1,0,1,30,1
"26_6","B",0,0,1,60,0
"26_7","A",1,0,0,30,0
"26_7","B",1,0,1,60,1
"26_8","A",1,0,0,60,1
"26_8","B",0,1,1,60,0
"26_9","A",1,0,1,30,0
"26_9","B",1,1,1,30,1
"27_1","A",1,1,1,60,0
"27_1","B",1,1,0,30,1
"27_10","A",1,0,0,30,0
"27_10","B",0,1,1,30,1
"27_2","A",0,1,0,60,0
"27_2","B",0,0,1,30,1
"27_3","A",0,0,1,60,0
"27_3","B",1,1,1,30,1
"27_4","A",0,1,0,30,0
"27_4","B",1,1,0,60,1
"27_5","A",1,1,1,30,1
"27_5","B",1,0,1,60,0
"27_6","A",0,1,1,30,0
"27_6","B",0,1,1,60,1
"27_7","A",0,1,1,60,1
"27_7","B",0,0,1,60,0
"27_8","A",0,1,1,60,0
"27_8","B",0,0,1,30,1
"27_9","A",1,1,1,60,1
"27_9","B",0,1,1,60,0
"28_1","A",0,0,0,60,0
"28_1","B",1,1,1,30,1
"28_10","A",0,1,1,60,1
"28_10","B",0,0,1,60,0
"28_2","A",1,1,0,60,1
"28_2","B",0,0,0,30,0
"28_3","A",1,1,0,30,1
"28_3","B",1,0,0,60,0
"28_4","A",1,0,1,60,1
"28_4","B",1,0,0,60,0
"28_5","A",1,0,0,30,1
"28_5","B",0,1,0,30,0
"28_6","A",1,1,0,30,1
"28_6","B",0,0,0,30,0
"28_7","A",1,0,1,60,1
"28_7","B",0,0,1,60,0
"28_8","A",0,0,1,30,1
"28_8","B",0,0,0,60,0
"28_9","A",0,1,0,30,1
"28_9","B",1,1,0,60,0
"29_1","A",0,1,1,30,1
"29_1","B",1,0,1,60,0
"29_10","A",0,1,1,60,0
"29_10","B",1,0,0,30,1
"29_2","A",1,0,1,30,1
"29_2","B",0,1,0,30,0
"29_3","A",0,1,0,60,0
"29_3","B",0,0,1,30,1
"29_4","A",1,1,1,60,1
"29_4","B",1,0,0,30,0
"29_5","A",1,0,0,30,0
"29_5","B",1,1,0,30,1
"29_6","A",1,0,0,30,1
"29_6","B",1,0,1,60,0
"29_7","A",1,0,0,30,1
"29_7","B",0,0,1,60,0
"29_8","A",1,0,1,30,0
"29_8","B",1,1,1,30,1
"29_9","A",0,0,1,60,0
"29_9","B",0,1,1,60,1
"2_1","A",1,0,0,30,0
"2_1","B",1,1,0,60,1
"2_10","A",1,0,1,60,0
"2_10","B",1,1,0,60,1
"2_2","A",0,0,1,60,0
"2_2","B",0,1,0,30,1
"2_3","A",0,1,1,30,0
"2_3","B",1,0,1,30,1
"2_4","A",0,0,1,60,0
"2_4","B",0,1,0,30,1
"2_5","A",1,1,0,60,0
"2_5","B",1,1,0,30,1
"2_6","A",0,1,0,30,1
"2_6","B",0,0,0,60,0
"2_7","A",0,0,0,60,1
"2_7","B",0,0,0,30,0
"2_8","A",1,0,1,30,1
"2_8","B",0,1,1,60,0
"2_9","A",1,1,1,60,1
"2_9","B",0,0,0,60,0
"30_1","A",1,0,0,30,0
"30_1","B",1,1,1,30,1
"30_10","A",0,0,0,30,1
"30_10","B",1,1,0,60,0
"30_2","A",1,0,0,30,1
"30_2","B",1,0,1,60,0
"30_3","A",1,1,0,30,1
"30_3","B",1,1,1,60,0
"30_4","A",1,0,1,30,1
"30_4","B",0,0,0,30,0
"30_5","A",1,1,0,60,1
"30_5","B",0,0,1,30,0
"30_6","A",0,0,0,60,0
"30_6","B",0,1,1,30,1
"30_7","A",1,1,1,60,1
"30_7","B",0,0,1,60,0
"30_8","A",1,1,1,60,0
"30_8","B",1,1,1,30,1
"30_9","A",0,0,1,60,0
"30_9","B",1,0,0,60,1
"31_1","A",0,0,0,60,0
"31_1","B",0,0,1,60,1
"31_10","A",0,1,1,30,0
"31_10","B",1,1,0,30,1
"31_2","A",1,0,1,30,1
"31_2","B",0,0,1,30,0
"31_3","A",0,0,1,60,0
"31_3","B",1,0,0,60,1
"31_4","A",1,1,0,30,1
"31_4","B",1,1,1,60,0
"31_5","A",0,0,1,30,0
"31_5","B",1,0,1,30,1
"31_6","A",0,1,0,60,0
"31_6","B",1,1,0,30,1
"31_7","A",1,0,1,60,1
"31_7","B",0,0,0,30,0
"31_8","A",1,0,0,60,0
"31_8","B",1,1,0,30,1
"31_9","A",0,0,1,60,0
"31_9","B",1,1,0,60,1
"32_1","A",0,0,0,30,0
"32_1","B",1,0,0,30,1
"32_10","A",1,0,0,60,0
"32_10","B",0,1,0,30,1
"32_2","A",1,1,1,30,1
"32_2","B",1,0,0,60,0
"32_3","A",0,0,1,30,1
"32_3","B",1,0,1,60,0
"32_4","A",1,1,0,30,1
"32_4","B",1,0,1,60,0
"32_5","A",1,1,0,60,1
"32_5","B",1,1,0,30,0
"32_6","A",0,0,0,30,0
"32_6","B",1,1,0,60,1
"32_7","A",1,1,0,30,1
"32_7","B",1,0,0,60,0
"32_8","A",1,1,1,60,1
"32_8","B",0,1,1,60,0
"32_9","A",0,0,1,60,0
"32_9","B",0,1,0,60,1
"33_1","A",0,0,0,30,0
"33_1","B",0,1,1,60,1
"33_10","A",0,1,1,60,0
"33_10","B",0,0,1,60,1
"33_2","A",1,1,1,30,1
"33_2","B",0,1,0,60,0
"33_3","A",0,1,0,60,0
"33_3","B",1,1,0,30,1
"33_4","A",1,1,1,60,1
"33_4","B",1,0,1,60,0
"33_5","A",1,0,1,60,1
"33_5","B",0,1,1,60,0
"33_6","A",0,1,0,60,0
"33_6","B",0,0,1,30,1
"33_7","A",0,1,0,30,0
"33_7","B",0,1,1,30,1
"33_8","A",0,0,0,60,0
"33_8","B",0,1,1,30,1
"33_9","A",0,1,1,30,1
"33_9","B",1,0,0,30,0
"34_1","A",0,1,1,30,1
"34_1","B",1,1,0,60,0
"34_10","A",1,0,1,60,0
"34_10","B",0,1,0,30,1
"34_2","A",1,1,0,30,1
"34_2","B",0,1,1,30,0
"34_3","A",1,0,1,60,1
"34_3","B",0,0,0,60,0
"34_4","A",1,0,1,30,1
"34_4","B",0,0,1,30,0
"34_5","A",0,1,0,60,0
"34_5","B",1,0,1,60,1
"34_6","A",0,1,0,30,1
"34_6","B",0,1,1,30,0
"34_7","A",1,1,0,30,1
"34_7","B",1,0,0,30,0
"34_8","A",0,1,0,30,0
"34_8","B",1,1,1,60,1
"34_9","A",0,1,0,60,0
"34_9","B",1,1,0,30,1
"35_1","A",0,1,1,60,0
"35_1","B",1,1,0,60,1
"35_10","A",1,1,1,60,1
"35_10","B",0,0,1,60,0
"35_2","A",0,1,0,60,0
"35_2","B",0,0,0,30,1
"35_3","A",1,0,0,60,1
"35_3","B",0,1,0,60,0
"35_4","A",0,1,1,30,1
"35_4","B",0,0,1,60,0
"35_5","A",1,0,1,30,1
"35_5","B",0,1,0,30,0
"35_6","A",0,0,0,30,1
"35_6","B",0,0,0,60,0
"35_7","A",0,1,1,60,0
"35_7","B",1,1,0,60,1
"35_8","A",0,0,0,30,0
"35_8","B",1,1,1,30,1
"35_9","A",0,1,1,60,0
"35_9","B",1,1,0,60,1
"36_1","A",1,1,0,30,1
"36_1","B",0,1,1,30,0
"36_10","A",1,1,1,60,1
"36_10","B",0,0,1,60,0
"36_2","A",0,0,1,30,1
"36_2","B",0,0,0,60,0
"36_3","A",0,1,1,60,1
"36_3","B",0,0,1,60,0
"36_4","A",0,0,1,60,0
"36_4","B",0,1,0,60,1
"36_5","A",1,0,1,60,0
"36_5","B",1,1,0,30,1
"36_6","A",1,1,0,60,1
"36_6","B",0,0,0,60,0
"36_7","A",0,1,1,30,0
"36_7","B",1,1,0,30,1
"36_8","A",0,0,0,30,0
"36_8","B",0,1,0,30,1
"36_9","A",0,1,1,30,1
"36_9","B",1,0,1,60,0
"37_1","A",1,0,0,60,0
"37_1","B",0,0,1,30,1
"37_10","A",0,1,0,60,0
"37_10","B",1,1,1,30,1
"37_2","A",0,1,0,30,0
"37_2","B",0,1,1,30,1
"37_3","A",0,1,0,30,0
"37_3","B",0,1,1,30,1
"37_4","A",0,0,0,30,0
"37_4","B",1,1,1,60,1
"37_5","A",0,0,0,30,0
"37_5","B",0,1,1,60,1
"37_6","A",1,1,1,60,1
"37_6","B",0,0,1,60,0
"37_7","A",0,0,1,60,0
"37_7","B",0,1,0,30,1
"37_8","A",1,1,1,30,1
"37_8","B",0,0,0,60,0
"37_9","A",0,0,0,30,1
"37_9","B",0,0,0,60,0
"38_1","A",1,1,1,60,1
"38_1","B",0,1,1,30,0
"38_10","A",1,1,1,60,0
"38_10","B",1,1,1,30,1
"38_2","A",1,0,0,30,0
"38_2","B",0,1,1,30,1
"38_3","A",1,0,1,30,1
"38_3","B",0,1,1,60,0
"38_4","A",1,1,0,60,1
"38_4","B",0,0,1,30,0
"38_5","A",1,0,1,30,1
"38_5","B",1,0,1,60,0
"38_6","A",0,0,1,60,0
"38_6","B",0,0,1,30,1
"38_7","A",1,0,1,30,1
"38_7","B",0,1,0,30,0
"38_8","A",1,0,1,30,1
"38_8","B",1,1,0,60,0
"38_9","A",0,0,0,60,0
"38_9","B",0,0,1,30,1
"39_1","A",0,0,1,30,1
"39_1","B",0,0,1,60,0
"39_10","A",0,1,0,30,0
"39_10","B",1,1,1,60,1
"39_2","A",1,1,1,60,1
"39_2","B",0,0,1,60,0
"39_3","A",0,1,1,30,1
"39_3","B",0,1,0,30,0
"39_4","A",0,0,1,60,0
"39_4","B",1,0,1,30,1
"39_5","A",1,1,0,60,0
"39_5","B",1,0,0,30,1
"39_6","A",1,0,0,60,0
"39_6","B",1,1,1,30,1
"39_7","A",1,1,1,30,1
"39_7","B",0,0,0,30,0
"39_8","A",1,0,1,60,0
"39_8","B",1,1,0,30,1
"39_9","A",1,1,0,30,1
"39_9","B",0,1,0,60,0
"3_1","A",0,0,1,60,0
"3_1","B",0,1,1,60,1
"3_10","A",0,1,0,60,1
"3_10","B",0,0,0,60,0
"3_2","A",0,1,0,60,1
"3_2","B",0,0,1,60,0
"3_3","A",1,0,1,60,1
"3_3","B",0,1,0,60,0
"3_4","A",1,1,1,30,1
"3_4","B",0,0,0,30,0
"3_5","A",1,0,1,60,0
"3_5","B",0,0,1,30,1
"3_6","A",1,0,0,60,0
"3_6","B",1,1,0,60,1
"3_7","A",0,1,0,30,1
"3_7","B",0,1,1,60,0
"3_8","A",1,0,1,60,1
"3_8","B",0,0,1,60,0
"3_9","A",0,1,0,60,0
"3_9","B",1,0,0,30,1
"40_1","A",0,1,1,60,0
"40_1","B",1,1,1,30,1
"40_10","A",1,1,1,30,1
"40_10","B",0,0,0,60,0
"40_2","A",0,1,1,60,0
"40_2","B",1,0,0,60,1
"40_3","A",0,0,0,30,0
"40_3","B",1,0,1,60,1
"40_4","A",1,1,0,30,0
"40_4","B",1,1,1,60,1
"40_5","A",0,0,0,60,0
"40_5","B",1,0,1,30,1
"40_6","A",0,0,0,60,0
"40_6","B",1,0,0,60,1
"40_7","A",1,1,0,30,1
"40_7","B",1,1,1,60,0
"40_8","A",0,0,0,60,0
"40_8","B",0,1,0,60,1
"40_9","A",0,0,1,60,0
"40_9","B",1,1,1,60,1
"41_1","A",0,0,0,60,0
"41_1","B",1,1,0,60,1
"41_10","A",1,0,1,60,0
"41_10","B",0,0,1,30,1
"41_2","A",0,0,0,30,1
"41_2","B",1,1,0,60,0
"41_3","A",1,1,0,30,1
"41_3","B",1,0,1,30,0
"41_4","A",1,1,1,30,1
"41_4","B",0,0,1,60,0
"41_5","A",1,0,1,30,1
"41_5","B",0,1,1,60,0
"41_6","A",0,0,0,30,0
"41_6","B",0,1,0,60,1
"41_7","A",0,0,1,60,0
"41_7","B",1,0,0,30,1
"41_8","A",0,0,1,60,0
"41_8","B",1,1,1,30,1
"41_9","A",0,0,0,60,0
"41_9","B",1,1,0,30,1
"42_1","A",0,1,1,60,0
"42_1","B",1,0,0,30,1
"42_10","A",0,0,0,60,0
"42_10","B",0,1,1,60,1
"42_2","A",1,1,0,60,0
"42_2","B",0,1,0,30,1
"42_3","A",0,0,0,60,0
"42_3","B",0,0,0,30,1
"42_4","A",1,1,0,30,1
"42_4","B",0,0,1,30,0
"42_5","A",0,1,1,60,0
"42_5","B",0,1,1,30,1
"42_6","A",1,1,0,60,0
"42_6","B",1,1,1,30,1
"42_7","A",0,1,1,60,0
"42_7","B",0,0,1,30,1
"42_8","A",1,0,0,30,1
"42_8","B",0,1,0,60,0
"42_9","A",1,1,0,30,1
"42_9","B",1,1,0,60,0
"43_1","A",1,1,1,30,1
"43_1","B",0,1,0,30,0
"43_10","A",1,1,1,60,1
"43_10","B",0,0,1,60,0
"43_2","A",1,1,1,60,1
"43_2","B",1,0,0,60,0
"43_3","A",0,0,0,60,0
"43_3","B",1,0,0,30,1
"43_4","A",0,1,0,30,1
"43_4","B",0,0,0,30,0
"43_5","A",1,0,1,60,0
"43_5","B",1,1,1,60,1
"43_6","A",0,0,0,60,0
"43_6","B",1,0,0,30,1
"43_7","A",0,0,1,60,0
"43_7","B",1,0,1,60,1
"43_8","A",1,1,0,30,1
"43_8","B",1,0,1,30,0
"43_9","A",0,0,1,60,0
"43_9","B",1,1,0,60,1
"44_1","A",0,0,0,30,0
"44_1","B",0,1,1,60,1
"44_10","A",1,0,1,60,1
"44_10","B",0,0,1,30,0
"44_2","A",0,1,1,60,1
"44_2","B",0,0,0,30,0
"44_3","A",1,0,1,30,1
"44_3","B",1,1,1,60,0
"44_4","A",0,0,0,30,0
"44_4","B",0,1,1,30,1
"44_5","A",0,1,1,30,1
"44_5","B",0,0,0,30,0
"44_6","A",0,0,1,30,1
"44_6","B",0,1,0,60,0
"44_7","A",0,0,1,60,0
"44_7","B",1,1,1,60,1
"44_8","A",0,1,0,30,0
"44_8","B",1,1,1,60,1
"44_9","A",1,0,0,30,1
"44_9","B",0,1,1,60,0
"45_1","A",1,1,0,60,0
"45_1","B",1,1,1,60,1
"45_10","A",0,1,0,30,1
"45_10","B",0,0,1,60,0
"45_2","A",1,1,1,30,1
"45_2","B",0,1,1,30,0
"45_3","A",0,0,0,30,1
"45_3","B",0,1,0,60,0
"45_4","A",1,1,1,30,1
"45_4","B",1,0,1,60,0
"45_5","A",1,1,0,30,1
"45_5","B",0,0,0,30,0
"45_6","A",1,0,0,30,1
"45_6","B",0,0,1,30,0
"45_7","A",0,0,1,30,0
"45_7","B",1,1,0,30,1
"45_8","A",0,0,0,60,0
"45_8","B",0,0,1,60,1
"45_9","A",0,0,0,60,1
"45_9","B",0,1,0,60,0
"46_1","A",1,1,0,30,1
"46_1","B",0,1,0,30,0
"46_10","A",1,0,0,30,1
"46_10","B",0,0,0,60,0
"46_2","A",0,1,0,30,1
"46_2","B",0,1,0,60,0
"46_3","A",0,1,1,60,0
"46_3","B",0,1,0,30,1
"46_4","A",0,1,0,30,1
"46_4","B",0,1,1,30,0
"46_5","A",0,0,1,30,0
"46_5","B",0,0,0,30,1
"46_6","A",1,1,0,30,1
"46_6","B",0,0,0,60,0
"46_7","A",1,0,1,60,0
"46_7","B",0,1,1,30,1
"46_8","A",0,1,0,30,0
"46_8","B",1,0,0,30,1
"46_9","A",1,0,1,60,0
