"","nurse_id","task","period","nurse_effect","fixed","performance"
"29",14,"Patient Care","Beginning",-1.60365673658625,88,86.8666520090918
"30",15,"Patient Care","Beginning",1.23968235151703,88,88.8853206438082
"31",1,"Documentation","Middle",-2.97867109520692,82,76.8668547552709
"32",2,"Documentation","Middle",-5.93565557514815,82,80.774794713238
"33",3,"Documentation","Middle",-5.10500504589153,82,73.5655536935674
"34",4,"Documentation","Middle",-1.5120873436749,82,82.9347908838449
"35",5,"Documentation","Middle",-5.79746260249607,82,82.1523924523547
"36",6,"Documentation","Middle",1.16181740694657,82,78.5091612883603
"37",7,"Documentation","Middle",-3.1647830760283,82,75.6555115566002
"38",8,"Documentation","Middle",3.82500734791764,82,82.3026758820367
"39",9,"Documentation","Middle",3.62727552632861,82,85.67406190102
"40",10,"Documentation","Middle",0.750390424746719,82,81.1607121090388
"41",11,"Documentation","Middle",1.27720442061226,82,85.8651543301936
"42",12,"Documentation","Middle",0.885300628972144,82,86.4588374937688
"43",13,"Documentation","Middle",-1.21248979112697,82,85.8128495866063
"44",14,"Documentation","Middle",-1.60365673658625,82,79.0799223893756
"45",15,"Documentation","Middle",1.23968235151703,82,82.9692834669742
"46",1,"Patient Care","Middle",-2.97867109520692,85,81.9505943244889
"47",2,"Patient Care","Middle",-5.93565557514815,85,75.5893144877947
"48",3,"Patient Care","Middle",-5.10500504589153,85,75.8462714156652
"49",4,"Patient Care","Middle",-1.5120873436749,85,79.8176210642828
"50",5,"Patient Care","Middle",-5.79746260249607,85,78.618087450491
"51",6,"Patient Care","Middle",1.16181740694657,85,85.1236285342166
"52",7,"Patient Care","Middle",-3.1647830760283,85,82.1390584369706
"53",8,"Patient Care","Middle",3.82500734791764,85,88.0471609488148
"54",9,"Patient Care","Middle",3.62727552632861,85,85.0608320929521
"55",10,"Patient Care","Middle",0.750390424746719,85,79.9496450671115
"56",11,"Patient Care","Middle",1.27720442061226,85,82.8977276658634
"57",12,"Patient Care","Middle",0.885300628972144,85,87.9063948800404
"58",13,"Patient Care","Middle",-1.21248979112697,85,79.4158355341484
"59",14,"Patient Care","Middle",-1.60365673658625,85,84.2862764896775
"60",15,"Patient Care","Middle",1.23968235151703,85,84.5249419284036
"61",1,"Documentation","End",-2.97867109520692,70,65.687217788255
"62",2,"Documentation","End",-5.93565557514815,70,65.8609633238544
"63",3,"Documentation","End",-5.10500504589153,70,63.4264459892173
"64",4,"Documentation","End",-1.5120873436749,70,70.4101583495778
"65",5,"Documentation","End",-5.79746260249607,70,68.2810912554525
"66",6,"Documentation","End",1.16181740694657,70,74.679702241851
"67",7,"Documentation","End",-3.1647830760283,70,63.9330355851202
"68",8,"Documentation","End",3.82500734791764,70,74.3963466527817
"69",9,"Documentation","End",3.62727552632861,70,74.3283686588837
"70",10,"Documentation","End",0.750390424746719,70,67.0640135622811
"71",11,"Documentation","End",1.27720442061226,70,70.1055507407558
"72",12,"Documentation","End",0.885300628972144,70,73.7812118609327
"73",13,"Documentation","End",-1.21248979112697,70,71.1250691535989
"74",14,"Documentation","End",-1.60365673658625,70,69.0516349953199
"75",15,"Documentation","End",1.23968235151703,70,72.1323386149139
"76",1,"Patient Care","End",-2.97867109520692,80,75.2719880766593
"77",2,"Patient Care","End",-5.93565557514815,80,75.6459796485194
"78",3,"Patient Care","End",-5.10500504589153,80,76.0184936101951
"79",4,"Patient Care","End",-1.5120873436749,80,78.9593072169553
"80",5,"Patient Care","End",-5.79746260249607,80,77.89529125847
"81",6,"Patient Care","End",1.16181740694657,80,79.5900250350324
"82",7,"Patient Care","End",-3.1647830760283,80,74.1585685800362
"83",8,"Patient Care","End",3.82500734791764,80,84.0364405707721
"84",9,"Patient Care","End",3.62727552632861,80,81.8229956683583
"85",10,"Patient Care","End",0.750390424746719,80,77.233989783608
"86",11,"Patient Care","End",1.27720442061226,80,76.2394968385342
"87",12,"Patient Care","End",0.885300628972144,80,80.3986325714056
"88",13,"Patient Care","End",-1.21248979112697,80,82.6987749064966
"89",14,"Patient Care","End",-1.60365673658625,80,80.0674842645563
"90",15,"Patient Care","End",1.23968235151703,80,83.2195680430885
