respondent_id,wait_5min,video_hd,specialist,visit_cost,rating
6,0,1,0,25,5
6,1,1,0,25,7
6,0,0,1,25,6
6,1,0,1,25,8
6,0,1,1,25,8
6,1,1,1,25,9
6,0,0,0,75,3
6,1,0,0,75,4
6,0,1,0,75,4
6,1,1,0,75,5
6,0,0,1,75,6
6,1,0,1,75,6
6,0,1,1,75,5
6,1,1,1,75,8
7,0,0,0,25,4
7,1,0,0,25,5
7,0,1,0,25,4
7,1,1,0,25,7
7,0,0,1,25,6
7,1,0,1,25,8
7,0,1,1,25,7
7,1,1,1,25,7
7,0,0,0,75,3
7,1,0,0,75,6
7,0,1,0,75,4
7,1,1,0,75,5
7,0,0,1,75,5
7,1,0,1,75,8
7,0,1,1,75,5
7,1,1,1,75,8
8,0,0,0,25,4
8,1,0,0,25,6
8,0,1,0,25,5
8,1,1,0,25,7
8,0,0,1,25,7
8,1,0,1,25,9
8,0,1,1,25,8
8,1,1,1,25,10
8,0,0,0,75,3
8,1,0,0,75,2
8,0,1,0,75,4
8,1,1,0,75,5
8,0,0,1,75,5
8,1,0,1,75,8
8,0,1,1,75,5
8,1,1,1,75,7
9,0,0,0,25,5
9,1,0,0,25,7
9,0,1,0,25,6
9,1,1,0,25,8
9,0,0,1,25,7
9,1,0,1,25,9
9,0,1,1,25,7
9,1,1,1,25,10
9,0,0,0,75,2
9,1,0,0,75,6
9,0,1,0,75,5
9,1,1,0,75,8
9,0,0,1,75,6
9,1,0,1,75,7
9,0,1,1,75,7
9,1,1,1,75,8
10,0,0,0,25,5
10,1,0,0,25,6
10,0,1,0,25,6
10,1,1,0,25,6
10,0,0,1,25,8
10,1,0,1,25,7
10,0,1,1,25,7
10,1,1,1,25,9
10,0,0,0,75,3
10,1,0,0,75,5
10,0,1,0,75,6
10,1,1,0,75,5
10,0,0,1,75,5
10,1,0,1,75,8
10,0,1,1,75,6
10,1,1,1,75,7
11,0,0,0,25,5
11,1,0,0,25,7
11,0,1,0,25,5
11,1,1,0,25,7
11,0,0,1,25,6
11,1,0,1,25,7
11,0,1,1,25,7
11,1,1,1,25,10
11,0,0,0,75,4
11,1,0,0,75,4
11,0,1,0,75,5
11,1,1,0,75,6
11,0,0,1,75,5
11,1,0,1,75,8
11,0,1,1,75,7
11,1,1,1,75,8
12,0,0,0,25,5
12,1,0,0,25,5
12,0,1,0,25,5
12,1,1,0,25,6
12,0,0,1,25,7
12,1,0,1,25,9
12,0,1,1,25,6
12,1,1,1,25,9
12,0,0,0,75,4
12,1,0,0,75,5
12,0,1,0,75,3
12,1,1,0,75,5
12,0,0,1,75,6
12,1,0,1,75,6
12,0,1,1,75,7
12,1,1,1,75,7
13,0,0,0,25,6
13,1,0,0,25,7
13,0,1,0,25,6
13,1,1,0,25,8
13,0,0,1,25,6
13,1,0,1,25,8
13,0,1,1,25,7
13,1,1,1,25,9
13,0,0,0,75,3
13,1,0,0,75,5
13,0,1,0,75,4
13,1,1,0,75,7
13,0,0,1,75,5
13,1,0,1,75,6
13,0,1,1,75,5
13,1,1,1,75,9
14,0,0,0,25,5
14,1,0,0,25,7
14,0,1,0,25,4
14,1,1,0,25,7
14,0,0,1,25,8
14,1,0,1,25,9
14,0,1,1,25,6
14,1,1,1,25,7
14,0,0,0,75,2
14,1,0,0,75,4
14,0,1,0,75,5
14,1,1,0,75,6
14,0,0,1,75,7
14,1,0,1,75,7
14,0,1,1,75,6
14,1,1,1,75,9
15,0,0,0,25,5
15,1,0,0,25,6
15,0,1,0,25,6
15,1,1,0,25,6
15,0,0,1,25,6
15,1,0,1,25,8
15,0,1,1,25,5
15,1,1,1,25,8
15,0,0,0,75,2
15,1,0,0,75,3
15,0,1,0,75,3
15,1,1,0,75,5
15,0,0,1,75,4
15,1,0,1,75,5
15,0,1,1,75,6
15,1,1,1,75,7
16,0,0,0,25,6
16,1,0,0,25,7
16,0,1,0,25,7
16,1,1,0,25,7
16,0,0,1,25,7
16,1,0,1,25,9
16,0,1,1,25,9
16,1,1,1,25,10
16,0,0,0,75,4
16,1,0,0,75,6
16,0,1,0,75,6
16,1,1,0,75,6
16,0,0,1,75,8
16,1,0,1,75,7
16,0,1,1,75,5
16,1,1,1,75,8
17,0,0,0,25,5
17,1,0,0,25,6
17,0,1,0,25,5
17,1,1,0,25,7
17,0,0,1,25,8
17,1,0,1,25,7
17,0,1,1,25,6
17,1,1,1,25,8
17,0,0,0,75,5
17,1,0,0,75,6
17,0,1,0,75,4
17,1,1,0,75,6
17,0,0,1,75,6
17,1,0,1,75,8
17,0,1,1,75,7
17,1,1,1,75,8
18,0,0,0,25,5
18,1,0,0,25,5
18,0,1,0,25,8
18,1,1,0,25,7
18,0,0,1,25,7
18,1,0,1,25,7
18,0,1,1,25,7
18,1,1,1,25,10
18,0,0,0,75,4
18,1,0,0,75,5
18,0,1,0,75,3
18,1,1,0,75,6
18,0,0,1,75,5
18,1,0,1,75,6
18,0,1,1,75,7
18,1,1,1,75,8
19,0,0,0,25,4
19,1,0,0,25,6
19,0,1,0,25,4
19,1,1,0,25,9
19,0,0,1,25,4
19,1,0,1,25,8
19,0,1,1,25,7
19,1,1,1,25,8
19,0,0,0,75,4
19,1,0,0,75,4
19,0,1,0,75,5
19,1,1,0,75,5
19,0,0,1,75,6
19,1,0,1,75,7
19,0,1,1,75,5
19,1,1,1,75,7
20,0,0,0,25,4
20,1,0,0,25,5
20,0,1,0,25,8
20,1,1,0,25,9
20,0,0,1,25,7
20,1,0,1,25,7
20,0,1,1,25,8
20,1,1,1,25,8
20,0,0,0,75,4
20,1,0,0,75,6
20,0,1,0,75,5
20,1,1,0,75,6
20,0,0,1,75,7
20,1,0,1,75,8
20,0,1,1,75,7
20,1,1,1,75,8
21,0,0,0,25,6
21,1,0,0,25,6
21,0,1,0,25,7
21,1,1,0,25,6
21,0,0,1,25,6
21,1,0,1,25,9
21,0,1,1,25,7
21,1,1,1,25,7
21,0,0,0,75,4
21,1,0,0,75,4
21,0,1,0,75,4
21,1,1,0,75,6
21,0,0,1,75,7
21,1,0,1,75,7
21,0,1,1,75,7
21,1,1,1,75,6
22,0,0,0,25,5
22,1,0,0,25,5
22,0,1,0,25,4
22,1,1,0,25,8
22,0,0,1,25,7
22,1,0,1,25,9
22,0,1,1,25,7
22,1,1,1,25,8
22,0,0,0,75,4
22,1,0,0,75,4
22,0,1,0,75,7
22,1,1,0,75,6
22,0,0,1,75,6
22,1,0,1,75,5
22,0,1,1,75,7
22,1,1,1,75,9
23,0,0,0,25,5
23,1,0,0,25,6
23,0,1,0,25,7
23,1,1,0,25,7
23,0,0,1,25,7
23,1,0,1,25,9
23,0,1,1,25,7
23,1,1,1,25,10
23,0,0,0,75,3
23,1,0,0,75,6
23,0,1,0,75,5
23,1,1,0,75,6
23,0,0,1,75,6
23,1,0,1,75,7
23,0,1,1,75,4
23,1,1,1,75,6
24,0,0,0,25,8
24,1,0,0,25,9
24,0,1,0,25,6
24,1,1,0,25,5
24,0,0,1,25,7
24,1,0,1,25,7
24,0,1,1,25,7
24,1,1,1,25,10
24,0,0,0,75,4
24,1,0,0,75,7
24,0,1,0,75,4
24,1,1,0,75,6
24,0,0,1,75,7
24,1,0,1,75,9
24,0,1,1,75,7
24,1,1,1,75,7
25,0,0,0,25,7
25,1,0,0,25,8
25,0,1,0,25,7
25,1,1,0,25,8
25,0,0,1,25,6
25,1,0,1,25,6
25,0,1,1,25,9
25,1,1,1,25,9
25,0,0,0,75,3
25,1,0,0,75,7
25,0,1,0,75,4
25,1,1,0,75,6
25,0,0,1,75,6
25,1,0,1,75,6
25,0,1,1,75,6
25,1,1,1,75,7
26,0,0,0,25,7
26,1,0,0,25,7
26,0,1,0,25,6
26,1,1,0,25,9
26,0,0,1,25,7
26,1,0,1,25,9
26,0,1,1,25,8
26,1,1,1,25,9
26,0,0,0,75,4
26,1,0,0,75,7
26,0,1,0,75,5
26,1,1,0,75,8
26,0,0,1,75,6
26,1,0,1,75,7
26,0,1,1,75,8
26,1,1,1,75,7
27,0,0,0,25,4
27,1,0,0,25,8
27,0,1,0,25,6
27,1,1,0,25,7
27,0,0,1,25,7
27,1,0,1,25,10
27,0,1,1,25,8
27,1,1,1,25,10
27,0,0,0,75,4
27,1,0,0,75,6
27,0,1,0,75,5
27,1,1,0,75,7
27,0,0,1,75,6
27,1,0,1,75,9
27,0,1,1,75,7
27,1,1,1,75,7
28,0,0,0,25,6
28,1,0,0,25,6
28,0,1,0,25,6
28,1,1,0,25,8
28,0,0,1,25,7
28,1,0,1,25,10
28,0,1,1,25,7
28,1,1,1,25,9
28,0,0,0,75,4
28,1,0,0,75,6
28,0,1,0,75,5
28,1,1,0,75,6
28,0,0,1,75,4
28,1,0,1,75,7
28,0,1,1,75,6
28,1,1,1,75,7
29,0,0,0,25,5
29,1,0,0,25,6
29,0,1,0,25,7
29,1,1,0,25,8
29,0,0,1,25,7
29,1,0,1,25,8
29,0,1,1,25,7
29,1,1,1,25,10
29,0,0,0,75,3
29,1,0,0,75,5
29,0,1,0,75,4
29,1,1,0,75,8
29,0,0,1,75,6
29,1,0,1,75,8
29,0,1,1,75,6
29,1,1,1,75,8
30,0,0,0,25,5
30,1,0,0,25,8
30,0,1,0,25,6
30,1,1,0,25,8
30,0,0,1,25,7
30,1,0,1,25,9
30,0,1,1,25,10
30,1,1,1,25,9
30,0,0,0,75,5
30,1,0,0,75,7
30,0,1,0,75,7
30,1,1,0,75,7
30,0,0,1,75,6
30,1,0,1,75,8
30,0,1,1,75,8
30,1,1,1,75,9
31,0,0,0,25,4
31,1,0,0,25,7
31,0,1,0,25,6
31,1,1,0,25,8
31,0,0,1,25,9
31,1,0,1,25,8
31,0,1,1,25,7
31,1,1,1,25,9
31,0,0,0,75,3
31,1,0,0,75,4
31,0,1,0,75,4
31,1,1,0,75,6
31,0,0,1,75,6
31,1,0,1,75,7
31,0,1,1,75,5
31,1,1,1,75,7
32,0,0,0,25,4
32,1,0,0,25,6
32,0,1,0,25,5
32,1,1,0,25,6
32,0,0,1,25,8
32,1,0,1,25,8
32,0,1,1,25,8
32,1,1,1,25,10
32,0,0,0,75,3
32,1,0,0,75,5
32,0,1,0,75,4
32,1,1,0,75,6
32,0,0,1,75,5
32,1,0,1,75,8
32,0,1,1,75,7
32,1,1,1,75,7
33,0,0,0,25,6
33,1,0,0,25,6
33,0,1,0,25,5
33,1,1,0,25,6
33,0,0,1,25,7
33,1,0,1,25,7
33,0,1,1,25,8
33,1,1,1,25,9
33,0,0,0,75,4
33,1,0,0,75,4
33,0,1,0,75,3
33,1,1,0,75,6
33,0,0,1,75,6
33,1,0,1,75,8
33,0,1,1,75,6
33,1,1,1,75,8
34,0,0,0,25,5
34,1,0,0,25,6
34,0,1,0,25,4
34,1,1,0,25,7
34,0,0,1,25,7
34,1,0,1,25,8
34,0,1,1,25,6
34,1,1,1,25,9
34,0,0,0,75,3
34,1,0,0,75,6
34,0,1,0,75,5
34,1,1,0,75,6
34,0,0,1,75,6
34,1,0,1,75,6
34,0,1,1,75,7
34,1,1,1,75,7
35,0,0,0,25,3
35,1,0,0,25,6
35,0,1,0,25,5
35,1,1,0,25,7
35,0,0,1,25,6
35,1,0,1,25,8
35,0,1,1,25,8
35,1,1,1,25,9
35,0,0,0,75,4
35,1,0,0,75,4
35,0,1,0,75,5
35,1,1,0,75,7
35,0,0,1,75,5
35,1,0,1,75,9
35,0,1,1,75,7
35,1,1,1,75,7
36,0,0,0,25,4
36,1,0,0,25,7
36,0,1,0,25,6
36,1,1,0,25,7
36,0,0,1,25,7
36,1,0,1,25,9
36,0,1,1,25,8
36,1,1,1,25,9
36,0,0,0,75,4
36,1,0,0,75,5
36,0,1,0,75,3
36,1,1,0,75,6
36,0,0,1,75,5
36,1,0,1,75,7
36,0,1,1,75,6
36,1,1,1,75,9
37,0,0,0,25,4
37,1,0,0,25,8
37,0,1,0,25,5
37,1,1,0,25,8
37,0,0,1,25,9
37,1,0,1,25,8
37,0,1,1,25,7
37,1,1,1,25,9
37,0,0,0,75,4
37,1,0,0,75,6
37,0,1,0,75,3
37,1,1,0,75,5
37,0,0,1,75,4
37,1,0,1,75,8
37,0,1,1,75,7
37,1,1,1,75,7
38,0,0,0,25,4
38,1,0,0,25,5
38,0,1,0,25,6
38,1,1,0,25,6
38,0,0,1,25,7
38,1,0,1,25,10
38,0,1,1,25,8
38,1,1,1,25,8
38,0,0,0,75,4
38,1,0,0,75,4
38,0,1,0,75,4
38,1,1,0,75,6
38,0,0,1,75,6
38,1,0,1,75,7
38,0,1,1,75,6
38,1,1,1,75,8
39,0,0,0,25,3
39,1,0,0,25,6
39,0,1,0,25,6
39,1,1,0,25,8
39,0,0,1,25,7
39,1,0,1,25,10
39,0,1,1,25,8
39,1,1,1,25,9
39,0,0,0,75,4
39,1,0,0,75,7
39,0,1,0,75,4
39,1,1,0,75,7
39,0,0,1,75,7
39,1,0,1,75,6
39,0,1,1,75,8
39,1,1,1,75,8
40,0,0,0,25,5
40,1,0,0,25,4
40,0,1,0,25,5
40,1,1,0,25,6
40,0,0,1,25,7
40,1,0,1,25,8
40,0,1,1,25,7
40,1,1,1,25,9
40,0,0,0,75,4
40,1,0,0,75,6
40,0,1,0,75,5
40,1,1,0,75,5
40,0,0,1,75,4
40,1,0,1,75,8
40,0,1,1,75,6
40,1,1,1,75,8
41,0,0,0,25,5
41,1,0,0,25,7
41,0,1,0,25,5
41,1,1,0,25,6
41,0,0,1,25,7
41,1,0,1,25,7
41,0,1,1,25,7
41,1,1,1,25,8
41,0,0,0,75,2
41,1,0,0,75,5
41,0,1,0,75,4
41,1,1,0,75,6
41,0,0,1,75,5
41,1,0,1,75,6
41,0,1,1,75,6
41,1,1,1,75,6
42,0,0,0,25,6
42,1,0,0,25,8
42,0,1,0,25,7
42,1,1,0,25,8
42,0,0,1,25,7
42,1,0,1,25,8
42,0,1,1,25,8
42,1,1,1,25,9
42,0,0,0,75,5
42,1,0,0,75,6
42,0,1,0,75,5
42,1,1,0,75,6
42,0,0,1,75,6
42,1,0,1,75,8
42,0,1,1,75,8
42,1,1,1,75,7
43,0,0,0,25,4
43,1,0,0,25,7
43,0,1,0,25,5
43,1,1,0,25,8
43,0,0,1,25,5
43,1,0,1,25,9
43,0,1,1,25,6
43,1,1,1,25,8
43,0,0,0,75,3
43,1,0,0,75,4
43,0,1,0,75,3
43,1,1,0,75,4
43,0,0,1,75,5
43,1,0,1,75,5
43,0,1,1,75,7
43,1,1,1,75,8
44,0,0,0,25,4
44,1,0,0,25,5
44,0,1,0,25,4
44,1,1,0,25,8
44,0,0,1,25,6
44,1,0,1,25,9
44,0,1,1,25,7
44,1,1,1,25,8
44,0,0,0,75,3
44,1,0,0,75,5
44,0,1,0,75,6
44,1,1,0,75,6
44,0,0,1,75,4
44,1,0,1,75,7
44,0,1,1,75,5
44,1,1,1,75,7
45,0,0,0,25,5
45,1,0,0,25,6
45,0,1,0,25,6
45,1,1,0,25,7
45,0,0,1,25,6
45,1,0,1,25,9
45,0,1,1,25,7
45,1,1,1,25,9
45,0,0,0,75,6
45,1,0,0,75,4
45,0,1,0,75,6
45,1,1,0,75,4
45,0,0,1,75,5
45,1,0,1,75,6
45,0,1,1,75,5
45,1,1,1,75,7
46,0,0,0,25,8
46,1,0,0,25,7
46,0,1,0,25,6
46,1,1,0,25,9
46,0,0,1,25,7
46,1,0,1,25,9
46,0,1,1,25,8
46,1,1,1,25,9
46,0,0,0,75,4
46,1,0,0,75,7
46,0,1,0,75,5
46,1,1,0,75,8
46,0,0,1,75,6
46,1,0,1,75,7
46,0,1,1,75,6
46,1,1,1,75,6
47,0,0,0,25,3
47,1,0,0,25,7
47,0,1,0,25,5
47,1,1,0,25,9
47,0,0,1,25,7
47,1,0,1,25,8
47,0,1,1,25,9
47,1,1,1,25,9
47,0,0,0,75,4
47,1,0,0,75,6
47,0,1,0,75,5
47,1,1,0,75,6
47,0,0,1,75,5
47,1,0,1,75,7
47,0,1,1,75,8
47,1,1,1,75,8
48,0,0,0,25,4
48,1,0,0,25,6
48,0,1,0,25,5
48,1,1,0,25,7
48,0,0,1,25,6
48,1,0,1,25,8
48,0,1,1,25,8
48,1,1,1,25,6
48,0,0,0,75,3
48,1,0,0,75,7
48,0,1,0,75,4
48,1,1,0,75,6
48,0,0,1,75,6
48,1,0,1,75,7
48,0,1,1,75,5
48,1,1,1,75,8
49,0,0,0,25,6
49,1,0,0,25,7
49,0,1,0,25,6
49,1,1,0,25,7
49,0,0,1,25,6
49,1,0,1,25,8
49,0,1,1,25,8
49,1,1,1,25,9
49,0,0,0,75,4
49,1,0,0,75,6
49,0,1,0,75,6
49,1,1,0,75,5
49,0,0,1,75,6
49,1,0,1,75,8
49,0,1,1,75,7
49,1,1,1,75,6
50,0,0,0,25,5
50,1,0,0,25,8
50,0,1,0,25,5
50,1,1,0,25,7
50,0,0,1,25,6
50,1,0,1,25,9
50,0,1,1,25,9
50,1,1,1,25,9
50,0,0,0,75,4
50,1,0,0,75,5
50,0,1,0,75,7
50,1,1,0,75,7
50,0,0,1,75,4
50,1,0,1,75,6
50,0,1,1,75,6
50,1,1,1,75,8
51,0,0,0,25,5
51,1,0,0,25,6
51,0,1,0,25,5
51,1,1,0,25,8
51,0,0,1,25,7
51,1,0,1,25,8
51,0,1,1,25,7
51,1,1,1,25,9
51,0,0,0,75,2
51,1,0,0,75,3
51,0,1,0,75,5
51,1,1,0,75,5
51,0,0,1,75,5
51,1,0,1,75,8
51,0,1,1,75,5
51,1,1,1,75,6
52,0,0,0,25,2
52,1,0,0,25,6
52,0,1,0,25,5
52,1,1,0,25,8
52,0,0,1,25,6
52,1,0,1,25,8
52,0,1,1,25,7
52,1,1,1,25,9
52,0,0,0,75,4
52,1,0,0,75,4
52,0,1,0,75,5
52,1,1,0,75,6
52,0,0,1,75,5
52,1,0,1,75,8
52,0,1,1,75,5
52,1,1,1,75,8
53,0,0,0,25,6
53,1,0,0,25,5
53,0,1,0,25,5
53,1,1,0,25,6
53,0,0,1,25,6
53,1,0,1,25,8
53,0,1,1,25,7
53,1,1,1,25,10
53,0,0,0,75,3
53,1,0,0,75,4
53,0,1,0,75,3
53,1,1,0,75,5
53,0,0,1,75,5
53,1,0,1,75,7
53,0,1,1,75,5
53,1,1,1,75,8
54,0,0,0,25,5
54,1,0,0,25,6
54,0,1,0,25,6
54,1,1,0,25,7
54,0,0,1,25,7
54,1,0,1,25,10
54,0,1,1,25,8
54,1,1,1,25,9
54,0,0,0,75,2
54,1,0,0,75,6
54,0,1,0,75,4
54,1,1,0,75,7
54,0,0,1,75,4
54,1,0,1,75,6
54,0,1,1,75,6
54,1,1,1,75,8
55,0,0,0,25,4
55,1,0,0,25,6
55,0,1,0,25,8
55,1,1,0,25,7
55,0,0,1,25,7
55,1,0,1,25,7
55,0,1,1,25,8
55,1,1,1,25,8
55,0,0,0,75,3
55,1,0,0,75,5
55,0,1,0,75,5
55,1,1,0,75,6
55,0,0,1,75,6
55,1,0,1,75,5
55,0,1,1,75,5
55,1,1,1,75,7
56,0,0,0,25,6
56,1,0,0,25,6
56,0,1,0,25,5
56,1,1,0,25,7
56,0,0,1,25,6
56,1,0,1,25,7
56,0,1,1,25,8
56,1,1,1,25,8
56,0,0,0,75,4
56,1,0,0,75,4
56,0,1,0,75,4
56,1,1,0,75,6
56,0,0,1,75,4
56,1,0,1,75,7
56,0,1,1,75,6
56,1,1,1,75,9
57,0,0,0,25,4
57,1,0,0,25,6
57,0,1,0,25,6
57,1,1,0,25,9
57,0,0,1,25,8
57,1,0,1,25,8
57,0,1,1,25,8
57,1,1,1,25,8
57,0,0,0,75,4
57,1,0,0,75,4
57,0,1,0,75,5
57,1,1,0,75,6
57,0,0,1,75,4
57,1,0,1,75,7
57,0,1,1,75,7
57,1,1,1,75,8
58,0,0,0,25,3
58,1,0,0,25,5
58,0,1,0,25,5
58,1,1,0,25,6
58,0,0,1,25,6
58,1,0,1,25,8
58,0,1,1,25,7
58,1,1,1,25,7
58,0,0,0,75,3
58,1,0,0,75,4
58,0,1,0,75,3
58,1,1,0,75,6
58,0,0,1,75,5
58,1,0,1,75,7
58,0,1,1,75,6
58,1,1,1,75,8
59,0,0,0,25,4
59,1,0,0,25,9
59,0,1,0,25,5
59,1,1,0,25,7
59,0,0,1,25,7
59,1,0,1,25,8
59,0,1,1,25,9
59,1,1,1,25,9
59,0,0,0,75,3
59,1,0,0,75,7
59,0,1,0,75,5
59,1,1,0,75,6
59,0,0,1,75,4
59,1,0,1,75,7
59,0,1,1,75,6
59,1,1,1,75,6
60,0,0,0,25,4
60,1,0,0,25,5
60,0,1,0,25,4
60,1,1,0,25,7
60,0,0,1,25,6
60,1,0,1,25,8
60,0,1,1,25,8
60,1,1,1,25,8
60,0,0,0,75,3
60,1,0,0,75,5
60,0,1,0,75,5
60,1,1,0,75,5
60,0,0,1,75,5
60,1,0,1,75,7
60,0,1,1,75,5
60,1,1,1,75,6
61,0,0,0,25,6
61,1,0,0,25,7
61,0,1,0,25,5
61,1,1,0,25,7
61,0,0,1,25,6
61,1,0,1,25,7
61,0,1,1,25,8
61,1,1,1,25,8
61,0,0,0,75,4
61,1,0,0,75,6
61,0,1,0,75,5
61,1,1,0,75,5
61,0,0,1,75,7
61,1,0,1,75,9
61,0,1,1,75,6
61,1,1,1,75,7
62,0,0,0,25,4
62,1,0,0,25,6
62,0,1,0,25,6
62,1,1,0,25,8
62,0,0,1,25,7
62,1,0,1,25,7
62,0,1,1,25,7
62,1,1,1,25,10
62,0,0,0,75,2
62,1,0,0,75,5
62,0,1,0,75,4
62,1,1,0,75,7
62,0,0,1,75,6
62,1,0,1,75,7
62,0,1,1,75,5
62,1,1,1,75,8
63,0,0,0,25,4
63,1,0,0,25,6
63,0,1,0,25,7
63,1,1,0,25,9
63,0,0,1,25,8
63,1,0,1,25,8
63,0,1,1,25,7
63,1,1,1,25,9
63,0,0,0,75,4
63,1,0,0,75,6
63,0,1,0,75,3
63,1,1,0,75,5
63,0,0,1,75,5
63,1,0,1,75,7
63,0,1,1,75,5
63,1,1,1,75,8
64,0,0,0,25,3
64,1,0,0,25,7
64,0,1,0,25,5
64,1,1,0,25,7
64,0,0,1,25,8
64,1,0,1,25,8
64,0,1,1,25,7
64,1,1,1,25,9
64,0,0,0,75,4
64,1,0,0,75,6
64,0,1,0,75,3
64,1,1,0,75,6
64,0,0,1,75,4
64,1,0,1,75,8
64,0,1,1,75,7
64,1,1,1,75,9
65,0,0,0,25,4
65,1,0,0,25,6
65,0,1,0,25,6
65,1,1,0,25,7
65,0,0,1,25,7
65,1,0,1,25,9
65,0,1,1,25,7
65,1,1,1,25,8
65,0,0,0,75,3
65,1,0,0,75,4
65,0,1,0,75,2
65,1,1,0,75,5
65,0,0,1,75,6
65,1,0,1,75,8
65,0,1,1,75,5
65,1,1,1,75,6
66,0,0,0,25,3
66,1,0,0,25,7
66,0,1,0,25,5
66,1,1,0,25,6
66,0,0,1,25,6
66,1,0,1,25,7
66,0,1,1,25,8
66,1,1,1,25,9
66,0,0,0,75,4
66,1,0,0,75,6
66,0,1,0,75,5
66,1,1,0,75,4
66,0,0,1,75,6
66,1,0,1,75,7
66,0,1,1,75,6
66,1,1,1,75,7
67,0,0,0,25,4
67,1,0,0,25,6
67,0,1,0,25,4
67,1,1,0,25,8
67,0,0,1,25,5
67,1,0,1,25,7
67,0,1,1,25,8
67,1,1,1,25,7
67,0,0,0,75,4
67,1,0,0,75,4
67,0,1,0,75,3
67,1,1,0,75,3
67,0,0,1,75,4
67,1,0,1,75,7
67,0,1,1,75,5
67,1,1,1,75,8
68,0,0,0,25,5
68,1,0,0,25,7
68,0,1,0,25,6
68,1,1,0,25,8
68,0,0,1,25,8
68,1,0,1,25,9
68,0,1,1,25,9
68,1,1,1,25,10
68,0,0,0,75,4
68,1,0,0,75,6
68,0,1,0,75,7
68,1,1,0,75,6
68,0,0,1,75,7
68,1,0,1,75,8
68,0,1,1,75,9
68,1,1,1,75,10
69,0,0,0,25,5
69,1,0,0,25,7
69,0,1,0,25,3
69,1,1,0,25,7
69,0,0,1,25,7
69,1,0,1,25,10
69,0,1,1,25,7
69,1,1,1,25,9
69,0,0,0,75,3
69,1,0,0,75,4
69,0,1,0,75,4
69,1,1,0,75,6
69,0,0,1,75,5
69,1,0,1,75,7
69,0,1,1,75,6
69,1,1,1,75,7
70,0,0,0,25,6
70,1,0,0,25,5
70,0,1,0,25,6
70,1,1,0,25,7
70,0,0,1,25,4
70,1,0,1,25,8
70,0,1,1,25,9
70,1,1,1,25,7
70,0,0,0,75,5
70,1,0,0,75,6
70,0,1,0,75,6
70,1,1,0,75,6
70,0,0,1,75,5
70,1,0,1,75,6
70,0,1,1,75,6
70,1,1,1,75,8
71,0,0,0,25,7
71,1,0,0,25,7
71,0,1,0,25,5
71,1,1,0,25,8
71,0,0,1,25,8
71,1,0,1,25,8
71,0,1,1,25,8
71,1,1,1,25,9
71,0,0,0,75,3
71,1,0,0,75,5
71,0,1,0,75,4
71,1,1,0,75,5
71,0,0,1,75,6
71,1,0,1,75,8
71,0,1,1,75,6
71,1,1,1,75,9
72,0,0,0,25,5
72,1,0,0,25,7
72,0,1,0,25,5
72,1,1,0,25,8
72,0,0,1,25,7
72,1,0,1,25,8
72,0,1,1,25,8
72,1,1,1,25,8
72,0,0,0,75,3
72,1,0,0,75,6
72,0,1,0,75,5
72,1,1,0,75,7
72,0,0,1,75,6
72,1,0,1,75,7
72,0,1,1,75,5
72,1,1,1,75,7
73,0,0,0,25,5
73,1,0,0,25,8
73,0,1,0,25,6
73,1,1,0,25,8
73,0,0,1,25,8
73,1,0,1,25,8
73,0,1,1,25,7
73,1,1,1,25,9
73,0,0,0,75,4
