"","hospital_id","wait_time_min","nurse_ratio","facility_age_years","satisfaction_score"
"91",91,24,3.51,13,76.1
"92",92,54,2.17,33,55.1
"93",93,56,3.84,15,69.5
"94",94,29,2.36,21,71.6
"95",95,43,2.8,26,61.7
"96",96,47,2.6,21,65.5
"97",97,50,3.92,12,73.3
"98",98,57,3.25,36,59.1
"99",99,53,1.7,19,56
"100",100,46,2.3,27,64.4
"101",101,85,2.03,10,47.8
"102",102,44,2.42,25,71.5
"103",103,19,3.68,10,79.5
"104",104,31,2.88,26,65.5
"105",105,39,2.21,18,65.2
"106",106,58,3.94,10,73.1
"107",107,24,3.69,8,77.7
"108",108,25,2.45,34,68.8
"109",109,41,2.13,13,70.6
"110",110,54,1.83,29,64.1
"111",111,56,3.73,40,61.2
"112",112,40,2.44,6,72.9
"113",113,32,2.38,25,68.5
"114",114,78,3.96,10,64.6
"115",115,52,2.72,14,67.7
"116",116,46,1.78,20,65.8
"117",117,54,3.1,22,66.3
"118",118,34,2.11,21,66.1
"119",119,48,1.77,31,62.3
"120",120,52,3.04,35,64
"121",121,34,2.71,27,70.9
"122",122,41,2.99,17,68.3
"123",123,53,2.77,20,66.3
"124",124,22,3.33,31,72.3
"125",125,62,3.73,8,68.9
"126",126,42,3.18,30,63.3
"127",127,36,1.87,19,76.4
"128",128,33,2.67,13,72.6
"129",129,69,3.75,36,59.7
"130",130,40,3.95,13,68
"131",131,46,2.66,24,65.3
"132",132,36,2.02,29,66.5
"133",133,31,2.39,28,69.9
"134",134,54,3.22,32,63.2
"135",135,44,3.56,23,69
"136",136,48,1.59,26,63
"137",137,35,3.05,30,73.5
"138",138,60,3.07,26,59.3
"139",139,53,3.53,39,62.6
"140",140,51,1.61,16,57.2
"141",141,52,3.87,30,64.6
"142",142,63,1.59,10,53.8
"143",143,57,2.7,7,62.6
"144",144,37,1.93,31,69.7
"145",145,51,1.6,27,64.3
"146",146,46,2.21,9,64.6
"147",147,71,2.26,17,59.3
"148",148,25,3.55,24,76.2
"149",149,49,2.54,24,74.9
"150",150,33,3.53,13,68.6
"151",151,19,2.83,14,74.9
"152",152,38,1.97,15,68.7
"153",153,30,1.65,36,60.7
"154",154,46,1.74,23,62.5
"155",155,51,2.1,22,57.8
"156",156,47,3.01,38,62.9
"157",157,45,2.3,29,68.7
"158",158,55,1.67,17,60.9
"159",159,38,2.53,17,69.4
"160",160,10,1.55,8,76.9
"161",161,62,2.16,40,51.2
"162",162,43,2.09,12,55.5
"163",163,56,2.26,21,63.6
"164",164,53,2.84,15,61.3
"165",165,43,3.9,29,56.7
"166",166,55,3.99,18,67.9
"167",167,26,2.57,18,67.2
"168",168,52,3.83,23,68.3
"169",169,64,1.74,16,57
"170",170,68,3.45,24,62.4
"171",171,38,1.85,23,70.4
"172",172,41,2.75,30,61.3
"173",173,61,2.78,36,62.7
"174",174,37,1.58,7,67.4
"175",175,53,3.92,38,62.1
"176",176,41,2.32,26,62.3
"177",177,35,3.32,20,69.5
"178",178,46,2.82,22,63.5
"179",179,43,1.75,23,57.1
"180",180,39,3.67,21,69
"181",181,36,2.7,36,68.8
"182",182,56,1.97,32,57
"183",183,72,2.05,38,49.2
"184",184,39,3.56,15,75
"185",185,27,1.81,17,65.3
"186",186,31,2.18,38,62.2
"187",187,48,2.84,20,67.8
"188",188,45,3.69,6,70.6
"189",189,29,3.98,36,73.5
"190",190,48,3.91,23,64
"191",191,44,3.8,28,66.3
"192",192,50,1.74,14,68.2
"193",193,43,1.7,12,65
"194",194,23,3.37,20,80
"195",195,66,3.14,32,54.6
"196",196,66,2.54,12,56.9
"197",197,46,3.32,5,71.4
"198",198,68,3.41,38,63.3
"199",199,59,3.54,34,58.5
"200",200,30,3.95,26,71.8
