"","hospital_id","hospital_type","bed_count","avg_patient_severity","nurse_per_patient","readmission_rate"
"140",140,"Teaching",340,1.71,2.21,16.8
"141",141,"Teaching",448,1.07,2.5,16.3
"142",142,"Teaching",484,2.88,2.77,15.5
"143",143,"Teaching",488,2.97,3.28,17.2
"144",144,"Critical Access",31,2.1,3.38,22.6
"145",145,"Community",319,2.09,4.51,17.3
"146",146,"Community",68,2.12,4.83,15.4
"147",147,"Teaching",440,2.67,3.49,16.3
"148",148,"Community",169,1.27,4.13,12.4
"149",149,"Community",213,1.07,3.59,16.7
"150",150,"Community",109,1.79,3.09,18.6
"151",151,"Community",282,2.88,3.39,18.1
"152",152,"Teaching",390,1.64,4.82,15.7
"153",153,"Teaching",409,2.08,2.51,18.3
"154",154,"Community",119,2.08,4.2,13.9
"155",155,"Community",127,1.61,2.03,20.9
"156",156,"Teaching",400,1.22,4.61,11.3
"157",157,"Critical Access",39,1.54,3.9,21.5
"158",158,"Teaching",476,2.37,4.69,11.2
"159",159,"Teaching",540,1.92,2.51,15.3
"160",160,"Community",200,2.53,3.99,18.4
"161",161,"Community",213,1.41,2.01,16.2
"162",162,"Teaching",237,2.69,2.41,18.2
"163",163,"Community",191,1.51,3.27,14.3
"164",164,"Teaching",447,2.39,3.25,15.2
"165",165,"Community",60,1.07,2.42,13.7
"166",166,"Critical Access",37,2.16,4.48,20.1
"167",167,"Community",198,1.8,3.52,16.3
"168",168,"Community",307,2.47,2.46,19.1
"169",169,"Community",83,1.33,3.1,17.3
"170",170,"Community",261,1.82,2.31,16.7
"171",171,"Teaching",528,1.23,3.62,12.1
"172",172,"Community",202,2.63,3.89,18.4
"173",173,"Community",198,1.47,4.52,14.6
"174",174,"Community",219,1.24,3.71,16.9
"175",175,"Community",151,2.57,2.47,21.4
"176",176,"Community",223,2.5,2.71,23
"177",177,"Community",231,1.51,4.26,14.7
"178",178,"Critical Access",40,1.02,3.61,21.1
"179",179,"Critical Access",68,2.9,3.34,22.9
"180",180,"Teaching",300,2.73,4.61,11.7
"181",181,"Critical Access",21,2.97,2.79,20.3
"182",182,"Community",179,1.08,3.64,12.4
"183",183,"Community",247,1.12,2.76,13.3
"184",184,"Critical Access",23,1.2,2.83,19.2
"185",185,"Critical Access",41,1.57,2.9,22.9
"186",186,"Teaching",370,1.36,3.62,13.5
"187",187,"Critical Access",61,1.92,2.8,19.8
"188",188,"Community",276,2.1,3.49,16
"189",189,"Critical Access",46,1.46,2.28,22.7
"190",190,"Community",194,1.29,3.62,14.2
"191",191,"Teaching",492,2.82,2.84,18.9
"192",192,"Teaching",451,2.88,3.52,14.4
"193",193,"Community",44,2.12,4.04,15.9
"194",194,"Community",121,1.91,3.88,13.8
"195",195,"Critical Access",52,1.41,3.1,17.9
"196",196,"Teaching",432,1.46,4.39,14.9
"197",197,"Teaching",340,1.61,2.67,13.7
"198",198,"Community",70,2.05,2.8,19.2
"199",199,"Community",122,1.28,4.02,11.5
"200",200,"Community",317,2.29,2.65,17.9
"201",201,"Critical Access",52,1.63,2.55,19.9
"202",202,"Community",174,2.45,4.53,16.2
"203",203,"Community",245,2.72,2.72,20.7
"204",204,"Teaching",519,2.26,4.3,12.5
"205",205,"Community",197,1.34,3.79,16
"206",206,"Teaching",468,1.09,3.67,12.8
"207",207,"Critical Access",61,2.46,2.91,23.2
"208",208,"Teaching",365,1.99,3.11,17.1
"209",209,"Community",163,1.8,3.6,18.5
"210",210,"Community",240,2.7,3.82,21.1
"211",211,"Teaching",441,1.1,2.38,13.9
"212",212,"Community",228,1.67,2.4,15
"213",213,"Community",191,1.43,2.79,18.3
"214",214,"Teaching",407,2.82,3.73,20
"215",215,"Community",336,1.1,4.51,15
"216",216,"Community",150,2.43,2.32,17.9
"217",217,"Community",156,2.94,3.34,20.2
"218",218,"Community",86,1.58,4.13,14.6
"219",219,"Community",114,2.2,4.39,17.3
"220",220,"Teaching",481,1.91,4.25,14.3
"221",221,"Community",252,2.11,2.45,14.3
"222",222,"Teaching",358,1.29,3.13,16.6
"223",223,"Critical Access",21,2.01,2.5,22.3
"224",224,"Teaching",586,2.82,3.85,17.7
"225",225,"Community",252,2.19,3.41,16.8
"226",226,"Teaching",473,2.14,2.97,13.8
"227",227,"Critical Access",56,1.77,4.43,21.1
"228",228,"Critical Access",43,2.11,3.09,17.8
"229",229,"Community",103,1.69,2.58,19.5
"230",230,"Teaching",424,1.57,3.94,9.4
"231",231,"Community",237,1.38,2.86,17.1
"232",232,"Community",90,1.83,4.8,13.6
"233",233,"Community",249,1.86,4.38,14.3
"234",234,"Critical Access",23,2.89,4.28,20.1
"235",235,"Community",112,1.92,4.07,17
"236",236,"Critical Access",20,1.03,2.73,21.1
"237",237,"Critical Access",29,1.34,3.26,19.2
"238",238,"Critical Access",32,2.16,3.35,23
"239",239,"Teaching",275,2.12,3.36,16.1
"240",240,"Teaching",409,2.3,2.85,11
"241",241,"Community",204,1.18,4.3,14.9
"242",242,"Teaching",429,1.04,4.32,10.3
"243",243,"Community",194,2.19,4.9,18.8
"244",244,"Community",61,2.13,3.74,14.8
"245",245,"Community",125,1.95,3.61,15.5
"246",246,"Critical Access",29,1.23,4,17.5
"247",247,"Critical Access",76,2.64,4.09,23.3
"248",248,"Critical Access",43,1.31,2.26,19
"249",249,"Community",91,2,3.67,19.2
"250",250,"Teaching",139,2.76,3.75,17.9
