"","hospital_id","region","teaching_status","it_investment","avg_los","quality_score"
"106",106,"Northeast","Non-Teaching",193,4.6,51.8
"107",107,"West","Teaching",97,4.1,65.1
"108",108,"Midwest","Non-Teaching",86,3.6,54.2
"109",109,"South","Teaching",75,6.1,54
"110",110,"Northeast","Teaching",401,4.9,74.1
"111",111,"South","Teaching",168,5,65.3
"112",112,"South","Teaching",355,3.2,75.1
"113",113,"West","Teaching",153,3.1,71.9
"114",114,"South","Non-Teaching",189,4.8,52
"115",115,"Midwest","Non-Teaching",54,5.4,58.2
"116",116,"Midwest","Non-Teaching",339,5.7,55.4
"117",117,"West","Teaching",497,4.2,83
"118",118,"South","Teaching",167,4.5,66
"119",119,"Midwest","Non-Teaching",184,3.2,49.4
"120",120,"Midwest","Non-Teaching",93,3.2,56.7
"121",121,"Northeast","Non-Teaching",100,3.3,63.8
"122",122,"West","Non-Teaching",149,4.4,53.7
"123",123,"South","Non-Teaching",147,5.6,41.3
"124",124,"Midwest","Non-Teaching",455,6,69.4
"125",125,"Northeast","Teaching",214,4.9,72.9
"126",126,"West","Non-Teaching",254,5.9,57.4
"127",127,"Midwest","Non-Teaching",363,4.6,57.1
"128",128,"South","Non-Teaching",327,2.3,62.3
"129",129,"South","Teaching",77,5.9,58.4
"130",130,"South","Teaching",72,4.2,58.9
"131",131,"Midwest","Teaching",63,4,54.6
"132",132,"West","Non-Teaching",59,3,46.6
"133",133,"Midwest","Non-Teaching",484,5.3,64
"134",134,"Midwest","Teaching",216,5.6,71.7
"135",135,"Midwest","Teaching",489,4.6,84.5
"136",136,"Northeast","Teaching",388,4.6,87.5
"137",137,"South","Teaching",309,7,67.2
"138",138,"Midwest","Non-Teaching",153,2.2,57.5
"139",139,"Midwest","Non-Teaching",429,2,64.8
"140",140,"Northeast","Teaching",282,4.6,62.6
"141",141,"South","Teaching",340,4.2,72.4
"142",142,"South","Non-Teaching",261,4.3,59.9
"143",143,"South","Teaching",256,4.6,65.1
"144",144,"South","Teaching",200,5.1,64.1
"145",145,"West","Teaching",451,3.2,76.2
"146",146,"West","Teaching",79,6,63.4
"147",147,"Midwest","Teaching",394,5.3,80.2
"148",148,"West","Teaching",422,3.3,85.7
"149",149,"Northeast","Non-Teaching",475,3,70
"150",150,"South","Non-Teaching",328,4.4,57.3
"151",151,"South","Non-Teaching",355,3.7,56.9
"152",152,"Northeast","Teaching",283,3.7,76.1
"153",153,"South","Non-Teaching",162,3.1,55.8
"154",154,"Midwest","Non-Teaching",223,5.2,56.6
"155",155,"South","Teaching",199,3.9,69.9
"156",156,"Northeast","Non-Teaching",105,4.3,54.2
"157",157,"South","Teaching",437,3.1,85.3
"158",158,"West","Non-Teaching",443,5.1,61.7
"159",159,"Midwest","Teaching",239,4,64.9
"160",160,"West","Non-Teaching",211,4,65.7
"161",161,"West","Non-Teaching",175,3.7,64.8
"162",162,"Midwest","Teaching",268,4.2,76.8
"163",163,"South","Teaching",386,2.7,73.7
"164",164,"West","Non-Teaching",92,4.8,67.5
"165",165,"Midwest","Teaching",361,6,64.5
"166",166,"South","Non-Teaching",345,3.1,58.9
"167",167,"Midwest","Teaching",354,4.5,76.3
"168",168,"Midwest","Teaching",385,5.1,76.5
"169",169,"Midwest","Non-Teaching",104,3.4,60.9
"170",170,"Midwest","Non-Teaching",433,3.9,67.3
"171",171,"South","Non-Teaching",221,6.2,52.9
"172",172,"Northeast","Teaching",278,4,75
"173",173,"West","Teaching",235,5.1,66
"174",174,"Midwest","Non-Teaching",425,4.8,69.2
"175",175,"South","Non-Teaching",114,3.7,46.6
"176",176,"Northeast","Non-Teaching",483,4.9,62.5
"177",177,"Northeast","Teaching",234,5.6,75.5
"178",178,"Midwest","Teaching",203,5.2,60.5
"179",179,"South","Non-Teaching",52,3.6,48.5
"180",180,"West","Non-Teaching",302,4.1,53.2
"181",181,"South","Teaching",376,3.3,75.5
"182",182,"Northeast","Non-Teaching",256,4.3,58.8
"183",183,"Midwest","Non-Teaching",249,3.7,52.3
"184",184,"Midwest","Non-Teaching",215,5,59.1
"185",185,"West","Non-Teaching",110,3.7,54.5
"186",186,"West","Non-Teaching",450,4.6,68.7
"187",187,"West","Teaching",446,4.3,76.9
"188",188,"Midwest","Non-Teaching",332,3.6,63.2
"189",189,"West","Non-Teaching",236,3.6,54.6
"190",190,"South","Teaching",361,5.7,79.8
"191",191,"West","Teaching",309,5,71.4
"192",192,"South","Teaching",174,3.2,61.6
"193",193,"South","Non-Teaching",457,4.2,61.8
"194",194,"South","Teaching",444,3.5,83.8
"195",195,"Midwest","Non-Teaching",414,3.3,64.4
"196",196,"Northeast","Non-Teaching",488,3.3,71
"197",197,"Northeast","Non-Teaching",79,6,56.4
"198",198,"Northeast","Non-Teaching",484,5,64.4
"199",199,"South","Non-Teaching",225,3.2,62.1
"200",200,"Midwest","Teaching",166,5.4,63.4
"201",201,"Midwest","Teaching",397,4,73
"202",202,"Northeast","Non-Teaching",367,6.3,60.8
"203",203,"South","Teaching",237,4.9,70.8
"204",204,"South","Teaching",84,5.6,59.6
"205",205,"West","Teaching",491,4.8,76.1
"206",206,"Northeast","Non-Teaching",165,4.1,58.6
"207",207,"West","Teaching",65,4.2,57.6
"208",208,"South","Teaching",420,5.7,69.8
"209",209,"Midwest","Teaching",186,2.8,70.4
"210",210,"South","Teaching",388,3.4,80.9
"211",211,"Northeast","Teaching",55,3.5,68.3
"212",212,"Midwest","Teaching",223,4.1,71.9
"213",213,"Midwest","Non-Teaching",494,5.6,64.2
"214",214,"Northeast","Teaching",401,5.9,75.4
"215",215,"South","Teaching",76,4,63.8
"216",216,"Northeast","Teaching",309,4.8,81.3
"217",217,"South","Non-Teaching",260,3.8,52.7
"218",218,"Midwest","Non-Teaching",274,5.6,52.8
"219",219,"Midwest","Non-Teaching",183,5.3,53.9
"220",220,"Northeast","Non-Teaching",309,6.2,55.9
"221",221,"Midwest","Teaching",317,3.1,72.6
"222",222,"South","Non-Teaching",271,3,61
"223",223,"Northeast","Non-Teaching",138,4.5,59
"224",224,"South","Non-Teaching",218,4.3,63.9
"225",225,"Northeast","Non-Teaching",142,5.1,51.7
"226",226,"South","Teaching",338,4.6,67.8
"227",227,"Midwest","Teaching",56,3.7,59.9
"228",228,"Northeast","Teaching",472,5.6,78.6
"229",229,"Midwest","Teaching",253,3.6,60.2
"230",230,"West","Non-Teaching",235,4.8,61.6
"231",231,"Northeast","Teaching",392,4.9,79.8
"232",232,"Northeast","Teaching",100,3.7,66.3
"233",233,"Northeast","Non-Teaching",448,4.1,65
"234",234,"Midwest","Non-Teaching",99,5.2,63.1
"235",235,"South","Teaching",278,5.6,57.5
"236",236,"South","Teaching",157,5.3,64.1
"237",237,"Northeast","Teaching",447,2.7,92.6
"238",238,"West","Teaching",167,5.4,55.6
"239",239,"Midwest","Non-Teaching",318,4.9,56.3
"240",240,"South","Non-Teaching",367,2,69
"241",241,"West","Teaching",478,4.4,86.9
"242",242,"Midwest","Non-Teaching",125,5.1,53.6
"243",243,"Northeast","Teaching",348,5.5,75.3
"244",244,"Midwest","Non-Teaching",188,4.6,58.9
"245",245,"South","Non-Teaching",422,4.6,62.5
"246",246,"South","Non-Teaching",347,5.4,57.4
"247",247,"Northeast","Teaching",414,3.7,78.2
"248",248,"South","Teaching",217,3.6,60.7
"249",249,"West","Teaching",80,5.4,61.5
"250",250,"South","Non-Teaching",452,5,62.3
"251",251,"Northeast","Teaching",173,4.2,71
"252",252,"Midwest","Teaching",60,2.3,59.5
"253",253,"Midwest","Non-Teaching",410,4.6,67.2
"254",254,"South","Non-Teaching",483,6.2,64.8
"255",255,"Northeast","Non-Teaching",390,4.4,64.6
"256",256,"South","Non-Teaching",460,4.3,63.5
"257",257,"South","Teaching",419,5,85
"258",258,"West","Non-Teaching",156,4.2,53.3
"259",259,"South","Non-Teaching",357,4.7,57.2
"260",260,"West","Teaching",151,4.8,65
"261",261,"Midwest","Non-Teaching",201,3.6,70.9
"262",262,"Midwest","Teaching",350,4.3,73.2
"263",263,"Midwest","Teaching",477,5,79.3
"264",264,"South","Non-Teaching",273,5.2,48.2
"265",265,"Northeast","Teaching",499,6,85.5
"266",266,"Northeast","Teaching",112,5.8,61.8
"267",267,"Midwest","Teaching",406,4.2,75.5
"268",268,"South","Non-Teaching",67,3.2,46.2
"269",269,"West","Non-Teaching",97,4.8,60.4
"270",270,"South","Teaching",361,5.6,70
"271",271,"South","Non-Teaching",462,5.6,56
"272",272,"South","Non-Teaching",154,3.3,49.8
"273",273,"Midwest","Non-Teaching",487,5,64.4
"274",274,"West","Non-Teaching",93,3,63.3
"275",275,"Northeast","Teaching",397,4.4,77.5
"276",276,"Midwest","Non-Teaching",376,6,62.6
"277",277,"South","Non-Teaching",483,4.6,64
"278",278,"South","Non-Teaching",159,5.1,53.3
"279",279,"South","Non-Teaching",449,5.3,54.3
"280",280,"Midwest","Non-Teaching",112,7.1,47.9
"281",281,"West","Non-Teaching",207,3.6,62.7
"282",282,"Northeast","Non-Teaching",176,3.7,65.6
"283",283,"South","Non-Teaching",323,3.4,54.6
"284",284,"Midwest","Non-Teaching",480,5.7,68
"285",285,"South","Non-Teaching",402,4.7,66.4
"286",286,"Midwest","Non-Teaching",482,3.8,57.1
"287",287,"Midwest","Teaching",111,4.8,49.2
"288",288,"South","Non-Teaching",481,4.8,55.7
"289",289,"South","Non-Teaching",66,4.9,45.1
"290",290,"South","Teaching",52,4.4,49.9
"291",291,"South","Teaching",217,3.2,69
"292",292,"Northeast","Non-Teaching",158,3.9,65.4
"293",293,"South","Non-Teaching",206,3.2,62.4
"294",294,"South","Non-Teaching",135,4.6,50.7
"295",295,"South","Teaching",205,3.1,69.3
"296",296,"West","Teaching",256,4.8,70.1
"297",297,"West","Teaching",336,6.3,73.3
"298",298,"Midwest","Teaching",212,2.9,70.4
"299",299,"Midwest","Non-Teaching",347,3.1,57.8
"300",300,"Northeast","Non-Teaching",479,4.6,62.4
"301",301,"Midwest","Non-Teaching",209,6.7,65.7
"302",302,"South","Teaching",212,4.1,56.1
"303",303,"South","Non-Teaching",373,4.2,62.8
"304",304,"Northeast","Teaching",362,4.7,77.7
"305",305,"West","Teaching",321,4.8,76.9
"306",306,"Midwest","Non-Teaching",95,3.5,54.7
"307",307,"Northeast","Teaching",260,5.2,67.6
"308",308,"South","Non-Teaching",406,3.6,55
"309",309,"South","Teaching",434,4.7,84.3
"310",310,"Midwest","Teaching",311,4.1,66.3
"311",311,"Midwest","Non-Teaching",484,5.6,63
"312",312,"South","Teaching",91,3.9,54.8
"313",313,"Northeast","Non-Teaching",138,4.3,60.4
"314",314,"South","Teaching",187,4.9,59.8
"315",315,"Midwest","Teaching",100,4.8,55.1
"316",316,"West","Non-Teaching",94,5.6,54.8
"317",317,"Midwest","Teaching",425,5.1,80.1
"318",318,"South","Non-Teaching",298,4.6,57.4
"319",319,"Northeast","Teaching",193,4.1,66.6
"320",320,"South","Teaching",134,4.8,56.7
"321",321,"South","Teaching",294,3.8,62.8
"322",322,"Northeast","Teaching",90,3.7,62.2
"323",323,"Northeast","Teaching",255,3.6,73.2
"324",324,"South","Non-Teaching",178,4.4,56.9
"325",325,"Midwest","Non-Teaching",464,5.4,54.3
"326",326,"South","Teaching",130,3.9,60.1
"327",327,"Northeast","Teaching",115,4.7,59.9
"328",328,"Midwest","Teaching",203,6.2,62.1
"329",329,"Midwest","Non-Teaching",471,4.8,67.9
"330",330,"South","Non-Teaching",240,4.7,54
"331",331,"West","Teaching",485,5.2,88.8
"332",332,"South","Teaching",157,5.4,47.8
"333",333,"Midwest","Teaching",294,4.5,77.1
"334",334,"Northeast","Teaching",286,4.7,67.8
"335",335,"South","Teaching",182,4,63.8
"336",336,"West","Non-Teaching",338,4.1,59.4
"337",337,"West","Teaching",476,6.9,68.7
"338",338,"West","Non-Teaching",254,5.1,70.4
"339",339,"South","Non-Teaching",463,3.4,64
"340",340,"Midwest","Non-Teaching",438,4.6,58.9
"341",341,"South","Teaching",231,4.7,66
"342",342,"West","Teaching",404,4.8,82
"343",343,"South","Teaching",306,7.6,63.3
"344",344,"Midwest","Teaching",486,4.8,79.4
"345",345,"Midwest","Non-Teaching",365,5.6,61
"346",346,"South","Teaching",267,2.6,71.7
"347",347,"South","Non-Teaching",160,5.3,45.6
"348",348,"South","Non-Teaching",213,5.6,48.9
"349",349,"West","Non-Teaching",130,3.9,57.6
"350",350,"Midwest","Teaching",213,7.5,52.9
