"","nurse_id","time","program","nurse_effect","fixed","score"
"41",41,"Pre","Blended",1.72542779202163,65,68.2840034418607
"42",42,"Pre","Blended",-5.5830760044289,65,60.0279395736505
"43",43,"Pre","Blended",3.80851719792769,65,69.6891947170772
"44",44,"Pre","Blended",-2.48481977316129,65,67.9697133123429
"45",45,"Pre","Blended",1.0541286867068,65,67.2825399787235
"46",46,"Pre","Blended",-3.77296087248993,65,56.022779483027
"47",47,"Pre","Blended",0.532667834040395,65,69.802362774641
"48",48,"Pre","Blended",0.194025333586816,65,58.3289607523901
"49",49,"Pre","Blended",-0.41541203541229,65,65.022076124776
"50",50,"Pre","Blended",-1.84389985110233,65,64.1377526480243
"51",51,"Pre","Blended",-5.79058394418854,65,58.4538430349773
"52",52,"Pre","Blended",10.4746182842254,65,72.3298503714621
"53",53,"Pre","Blended",-4.52056753186342,65,60.1490679490971
"54",54,"Pre","Blended",2.52881207670546,65,67.4076730213676
"55",55,"Pre","Blended",-3.54466413832042,65,60.5932408054706
"56",56,"Pre","Blended",-5.15231983890539,65,58.6405758167795
"57",57,"Pre","Blended",5.87609176102505,65,70.4799983606744
"58",58,"Pre","Blended",-1.94984217171936,65,58.3632895831252
"59",59,"Pre","Blended",-0.615342092717266,65,68.5261937565779
"60",60,"Pre","Blended",7.69264356540642,65,75.0215960277905
"61",1,"Post","Traditional",2.30699719145241,75,75.8435125736173
"62",2,"Post","Traditional",-5.01395300467824,75,68.2904081246046
"63",3,"Post","Traditional",-5.23664372075753,75,69.5634296138174
"64",4,"Post","Traditional",2.13876095684538,75,77.6652461797589
"65",5,"Post","Traditional",-1.39780545499153,75,73.9229530496693
"66",6,"Post","Traditional",-4.64243557610762,75,67.0858011647003
"67",7,"Post","Traditional",-3.73977868593719,75,73.5758588996841
"68",8,"Post","Traditional",-2.31520093973823,75,74.5247504327101
"69",9,"Post","Traditional",6.47518250285492,75,81.1779690480283
"70",10,"Post","Traditional",-4.99379975447611,75,70.1826532880704
"71",11,"Post","Traditional",1.36165771866931,75,76.1922321739425
"72",12,"Post","Traditional",-0.838315495003455,75,74.8727704210516
"73",13,"Post","Traditional",7.24355714680248,75,81.7902861964991
"74",14,"Post","Traditional",-5.28425077332193,75,73.5708454694556
"75",15,"Post","Traditional",-4.61297955273901,75,65.7815049681702
"76",16,"Post","Traditional",-2.90258094707682,75,74.2222418003686
"77",17,"Post","Traditional",-7.44264681133488,75,69.1945107281822
"78",18,"Post","Traditional",-1.71438772491263,75,71.4970151562328
"79",19,"Post","Traditional",-4.89185710731192,75,67.4002923947123
"80",20,"Post","Traditional",-3.07297672765588,75,71.9379346324698
"81",21,"Post","Simulation",5.43378283741216,84,90.5332808618739
"82",22,"Post","Simulation",0.241543825342896,84,87.2764224541938
"83",23,"Post","Simulation",4.35968516468691,84,87.760222840625
"84",24,"Post","Simulation",-0.204150057962973,84,85.8159956683773
"85",25,"Post","Simulation",-3.28407211443604,84,76.6000624670862
"86",26,"Post","Simulation",0.58266319606998,84,81.5932100843358
"87",27,"Post","Simulation",-1.11996573300658,84,81.1043031653196
"88",28,"Post","Simulation",2.6357844745384,84,85.8746609256762
"89",29,"Post","Simulation",-3.31821490704232,84,80.3873174661725
"90",30,"Post","Simulation",1.25621823373845,84,83.3633794177738
"91",31,"Post","Simulation",-3.75093279602108,84,81.3624229425534
"92",32,"Post","Simulation",2.11666563767071,84,89.9035941345312
"93",33,"Post","Simulation",-1.34610879615499,84,80.5259918833732
"94",34,"Post","Simulation",4.42238150533175,84,86.9410484665833
"95",35,"Post","Simulation",-0.307526787386083,84,77.9599680068639
"96",36,"Post","Simulation",1.91617638445552,84,84.7511000025263
"97",37,"Post","Simulation",5.01089171185694,84,90.8096669079337
"98",38,"Post","Simulation",2.68650052040675,84,84.741997508088
"99",39,"Post","Simulation",0.614573876832314,84,80.3311798087744
"100",40,"Post","Simulation",-4.76957279039573,84,75.2900808027812
"101",41,"Post","Blended",1.72542779202163,88,91.607777951148
"102",42,"Post","Blended",-5.5830760044289,88,85.7982565483041
"103",43,"Post","Blended",3.80851719792769,88,89.4055926355239
"104",44,"Post","Blended",-2.48481977316129,88,88.0452278033115
"105",45,"Post","Blended",1.0541286867068,88,86.9986093090856
"106",46,"Post","Blended",-3.77296087248993,88,81.45829072808
"107",47,"Post","Blended",0.532667834040395,88,91.8148385893068
"108",48,"Post","Blended",0.194025333586816,88,92.1314017160953
"109",49,"Post","Blended",-0.41541203541229,88,87.042353256747
"110",50,"Post","Blended",-1.84389985110233,88,82.1212588521048
"111",51,"Post","Blended",-5.79058394418854,88,82.665438219095
"112",52,"Post","Blended",10.4746182842254,88,94.5354061732938
"113",53,"Post","Blended",-4.52056753186342,88,84.1250968743585
"114",54,"Post","Blended",2.52881207670546,88,94.1527100441777
"115",55,"Post","Blended",-3.54466413832042,88,83.8305884248442
"116",56,"Post","Blended",-5.15231983890539,88,82.432856833283
"117",57,"Post","Blended",5.87609176102505,88,88.1364541005003
"118",58,"Post","Blended",-1.94984217171936,88,84.2907083730763
"119",59,"Post","Blended",-0.615342092717266,88,91.731674846105
"120",60,"Post","Blended",7.69264356540642,88,91.4181109602772
"121",1,"3 Months","Traditional",2.30699719145241,66,69.3089030780774
"122",2,"3 Months","Traditional",-5.01395300467824,66,58.4216053431489
"123",3,"3 Months","Traditional",-5.23664372075753,66,57.6959702039554
"124",4,"3 Months","Traditional",2.13876095684538,66,72.5147660453161
"125",5,"3 Months","Traditional",-1.39780545499153,66,58.186132020559
"126",6,"3 Months","Traditional",-4.64243557610762,66,66.3366069778026
"127",7,"3 Months","Traditional",-3.73977868593719,66,58.3689785386062
"128",8,"3 Months","Traditional",-2.31520093973823,66,59.2801449062731
"129",9,"3 Months","Traditional",6.47518250285492,66,73.3590370138045
"130",10,"3 Months","Traditional",-4.99379975447611,66,61.3854181229823
"131",11,"3 Months","Traditional",1.36165771866931,66,64.655501504879
"132",12,"3 Months","Traditional",-0.838315495003455,66,61.3044086171785
"133",13,"3 Months","Traditional",7.24355714680248,66,70.2223285782811
"134",14,"3 Months","Traditional",-5.28425077332193,66,64.0757310270398
"135",15,"3 Months","Traditional",-4.61297955273901,66,60.922269247936
"136",16,"3 Months","Traditional",-2.90258094707682,66,67.3466347313592
"137",17,"3 Months","Traditional",-7.44264681133488,66,60.6424091137639
"138",18,"3 Months","Traditional",-1.71438772491263,66,65.6725149016252
"139",19,"3 Months","Traditional",-4.89185710731192,66,64.4007378638903
"140",20,"3 Months","Traditional",-3.07297672765588,66,60.9954399082818
"141",21,"3 Months","Simulation",5.43378283741216,79,86.5443679278971
"142",22,"3 Months","Simulation",0.241543825342896,79,81.6604963983458
"143",23,"3 Months","Simulation",4.35968516468691,79,81.2876241797885
"144",24,"3 Months","Simulation",-0.204150057962973,79,85.5322069895779
"145",25,"3 Months","Simulation",-3.28407211443604,79,77.9081875737542
"146",26,"3 Months","Simulation",0.58266319606998,79,80.2461623449021
"147",27,"3 Months","Simulation",-1.11996573300658,79,79.0516463893414
"148",28,"3 Months","Simulation",2.6357844745384,79,82.2467573703484
"149",29,"3 Months","Simulation",-3.31821490704232,79,80.0082097686167
"150",30,"3 Months","Simulation",1.25621823373845,79,78.9888793010944
"151",31,"3 Months","Simulation",-3.75093279602108,79,77.2265602740347
"152",32,"3 Months","Simulation",2.11666563767071,79,78.3897528071484
"153",33,"3 Months","Simulation",-1.34610879615499,79,70.9380978146309
"154",34,"3 Months","Simulation",4.42238150533175,79,79.6713681105475
"155",35,"3 Months","Simulation",-0.307526787386083,79,82.6939047423058
"156",36,"3 Months","Simulation",1.91617638445552,79,84.1437270265932
"157",37,"3 Months","Simulation",5.01089171185694,79,83.2703035303269
"158",38,"3 Months","Simulation",2.68650052040675,79,82.5371187585203
"159",39,"3 Months","Simulation",0.614573876832314,79,75.0155753843237
"160",40,"3 Months","Simulation",-4.76957279039573,79,74.1508495246149
"161",41,"3 Months","Blended",1.72542779202163,85,87.0310783715439
"162",42,"3 Months","Blended",-5.5830760044289,85,76.9098677515506
"163",43,"3 Months","Blended",3.80851719792769,85,89.4043784498946
"164",44,"3 Months","Blended",-2.48481977316129,85,81.0069964258406
"165",45,"3 Months","Blended",1.0541286867068,85,85.598426195978
"166",46,"3 Months","Blended",-3.77296087248993,85,79.0642562008739
"167",47,"3 Months","Blended",0.532667834040395,85,85.8963540087861
"168",48,"3 Months","Blended",0.194025333586816,85,88.3168614079194
"169",49,"3 Months","Blended",-0.41541203541229,85,86.3358034981418
"170",50,"3 Months","Blended",-1.84389985110233,85,82.0266149297987
"171",51,"3 Months","Blended",-5.79058394418854,85,80.1607378740157
"172",52,"3 Months","Blended",10.4746182842254,85,94.0251731580574
"173",53,"3 Months","Blended",-4.52056753186342,85,75.2583129544202
"174",54,"3 Months","Blended",2.52881207670546,85,81.9667952992927
"175",55,"3 Months","Blended",-3.54466413832042,85,76.9866249166997
"176",56,"3 Months","Blended",-5.15231983890539,85,81.2838729669631
"177",57,"3 Months","Blended",5.87609176102505,85,94.7274798102164
"178",58,"3 Months","Blended",-1.94984217171936,85,82.7646590222149
"179",59,"3 Months","Blended",-0.615342092717266,85,82.1074163329181
"180",60,"3 Months","Blended",7.69264356540642,85,95.5116201006523
