"","hospital_id","ownership","nurse_ratio","patient_volume","avg_acuity","patient_satisfaction"
"96",96,"Non-Profit",4.86,554,2.65,81.6
"97",97,"Non-Profit",2.09,717,1.58,51.3
"98",98,"For-Profit",3.96,875,1.77,43.9
"99",99,"For-Profit",4.12,511,1.45,50.4
"100",100,"For-Profit",5.52,387,1.77,50.6
"101",101,"Non-Profit",5.27,524,2.39,79.7
"102",102,"For-Profit",3.1,320,1.48,47.9
"103",103,"For-Profit",3.71,524,1.48,44
"104",104,"For-Profit",5.62,485,2,49.6
"105",105,"For-Profit",4.11,602,2.88,45.8
"106",106,"Non-Profit",3.65,472,1.64,58.2
"107",107,"Non-Profit",4.05,553,1.3,69.3
"108",108,"For-Profit",2.14,727,1.52,40.6
"109",109,"For-Profit",4.37,470,2.6,55.4
"110",110,"For-Profit",3.34,440,1.94,54.3
"111",111,"Non-Profit",4.93,619,1.04,73.7
"112",112,"Non-Profit",4.65,240,2.71,71.6
"113",113,"Non-Profit",3.76,488,2.87,63.3
"114",114,"Non-Profit",3.26,221,1.12,65.8
"115",115,"For-Profit",2.1,401,1.89,44.6
"116",116,"For-Profit",3.25,818,2.52,45.6
"117",117,"For-Profit",5.73,725,1.04,53.6
"118",118,"Non-Profit",3.07,712,1.7,57.8
"119",119,"Non-Profit",2.88,691,1.14,58.4
"120",120,"Non-Profit",4.24,628,1.89,65.3
"121",121,"Non-Profit",3.24,282,1.87,58.1
"122",122,"Non-Profit",5.25,673,2.44,70.9
"123",123,"Non-Profit",3.3,530,2.92,62.5
"124",124,"For-Profit",5.96,339,2.93,60.3
"125",125,"For-Profit",4.35,673,1.54,42.9
"126",126,"Non-Profit",2.76,541,1.68,55.1
"127",127,"Non-Profit",3.82,505,1.87,72
"128",128,"Non-Profit",4.57,661,1.88,77.6
"129",129,"For-Profit",4.62,566,2.62,47.1
"130",130,"For-Profit",4.65,251,1.41,57.4
"131",131,"For-Profit",3.28,488,1.96,45.2
"132",132,"For-Profit",2.92,342,1.61,39.6
"133",133,"Non-Profit",4.09,716,1.78,67.8
"134",134,"Non-Profit",3.73,769,2.52,55.8
"135",135,"Non-Profit",4.43,320,1.94,72.6
"136",136,"Non-Profit",2.63,492,2.99,62.4
"137",137,"For-Profit",5.09,465,1.73,52.8
"138",138,"For-Profit",3.77,644,2.2,55.1
"139",139,"Non-Profit",3.16,471,2.14,58.7
"140",140,"Non-Profit",4.24,533,2.47,74
"141",141,"For-Profit",4.45,514,2.33,55.4
"142",142,"Non-Profit",2.36,246,2.45,58.8
"143",143,"Non-Profit",4.68,400,1.1,75.8
"144",144,"For-Profit",2.34,376,1.34,49
"145",145,"For-Profit",3.94,299,1.73,54.4
"146",146,"Non-Profit",3.86,448,1.32,67.2
"147",147,"For-Profit",3.59,314,1.39,49.9
"148",148,"For-Profit",5.01,666,2.67,58.2
"149",149,"For-Profit",5.43,490,2.39,48.7
"150",150,"For-Profit",4.85,495,2.27,56.9
"151",151,"Non-Profit",4.45,570,1.93,77.9
"152",152,"Non-Profit",4.56,443,1.68,62.9
"153",153,"For-Profit",2.01,596,1.18,41.2
"154",154,"Non-Profit",4.42,693,2.91,57.8
"155",155,"Non-Profit",3.73,422,2.29,64.5
"156",156,"For-Profit",5.39,369,1.18,56.3
"157",157,"For-Profit",3.33,806,1.03,53.2
"158",158,"For-Profit",3.96,479,1.94,57.2
"159",159,"For-Profit",4.33,565,2.63,57.8
"160",160,"Non-Profit",5.83,673,1.12,74.8
"161",161,"For-Profit",4.59,534,1.11,54.6
"162",162,"Non-Profit",5.33,294,2.29,74.4
"163",163,"For-Profit",4.62,364,2.92,45.7
"164",164,"Non-Profit",2.5,331,1.18,55.2
"165",165,"Non-Profit",5.06,356,1.54,68.5
"166",166,"For-Profit",3.34,776,2.68,43.2
"167",167,"For-Profit",2.55,442,1.66,46.5
"168",168,"Non-Profit",5.63,449,2.37,74.9
"169",169,"For-Profit",2.23,541,1.22,46.3
"170",170,"Non-Profit",2.42,314,2.72,51.1
"171",171,"For-Profit",3.77,403,1.07,44.4
"172",172,"For-Profit",3.95,488,2.04,45.2
"173",173,"For-Profit",3.55,351,2.17,54
"174",174,"Non-Profit",2.2,362,1.69,51.1
"175",175,"Non-Profit",5.07,185,1.13,79.1
"176",176,"For-Profit",5.88,242,2.61,54.5
"177",177,"For-Profit",5.58,595,2.53,51
"178",178,"Non-Profit",2.99,447,1.95,64.1
"179",179,"For-Profit",3.81,555,1.04,50.3
"180",180,"Non-Profit",4.07,100,1.75,74.3
"181",181,"For-Profit",2.16,416,1.47,54.7
"182",182,"For-Profit",2.89,648,2.94,49.2
"183",183,"For-Profit",5.64,370,2.41,51.2
"184",184,"Non-Profit",4.32,706,2.86,64.1
"185",185,"Non-Profit",4.64,478,1.82,71.4
"186",186,"Non-Profit",4.42,516,1.89,62.3
"187",187,"Non-Profit",3.71,493,2.46,61.1
"188",188,"Non-Profit",4.24,531,1.76,72.6
"189",189,"For-Profit",5.02,552,2.13,57
"190",190,"Non-Profit",3.55,374,2.36,64.8
"191",191,"Non-Profit",4.04,556,1.98,67.2
"192",192,"For-Profit",2.45,317,1.14,47.8
"193",193,"For-Profit",5.97,651,2.93,55.2
"194",194,"Non-Profit",5.22,701,1.49,74.1
"195",195,"Non-Profit",3.12,575,1.29,63.3
"196",196,"Non-Profit",5.96,330,2.14,84.2
"197",197,"Non-Profit",4.17,407,1.89,65.6
"198",198,"For-Profit",3.37,229,2.01,47.3
"199",199,"For-Profit",2.53,669,1.4,47.1
"200",200,"Non-Profit",4.76,442,2.5,66.3
"201",201,"For-Profit",2.3,562,1.39,41.2
"202",202,"For-Profit",4.44,452,1.52,45.8
"203",203,"Non-Profit",5.09,370,1.74,73.3
"204",204,"For-Profit",5.18,395,2.46,60.7
"205",205,"Non-Profit",5.61,523,1.33,79.4
"206",206,"Non-Profit",5.06,433,2.91,73.1
"207",207,"For-Profit",5.07,502,2.52,55.5
"208",208,"Non-Profit",5.87,414,1.49,72.4
"209",209,"Non-Profit",2.32,459,2.59,48.9
"210",210,"For-Profit",5.77,752,1.65,57.5
"211",211,"For-Profit",4.64,514,2.3,50.1
"212",212,"For-Profit",4.91,541,1.29,49.6
"213",213,"For-Profit",2.64,528,1.05,44.8
"214",214,"For-Profit",4.26,541,2.91,45.7
"215",215,"For-Profit",4.62,649,1.61,60.6
"216",216,"For-Profit",4.49,580,1.98,45.5
"217",217,"For-Profit",2.06,255,2.27,48.5
"218",218,"For-Profit",2.77,628,1.18,47.4
"219",219,"For-Profit",5.55,433,1.82,65.9
"220",220,"Non-Profit",2.62,573,2.4,49.9
"221",221,"Non-Profit",5.88,442,2.83,68.7
"222",222,"For-Profit",2.64,359,1.85,45.2
"223",223,"Non-Profit",4.25,424,1.65,59.9
"224",224,"For-Profit",2.35,390,1.3,47.1
"225",225,"For-Profit",5.63,481,1.85,50.4
"226",226,"Non-Profit",4.31,466,2.2,63.6
"227",227,"Non-Profit",2.91,332,2.17,68
"228",228,"For-Profit",2.36,609,2.63,43.4
"229",229,"For-Profit",3.69,604,2.32,53.5
"230",230,"For-Profit",4.22,461,1.49,53.3
"231",231,"Non-Profit",5.15,254,2.28,69.8
"232",232,"Non-Profit",2.34,364,2.05,58.8
"233",233,"Non-Profit",4.06,592,1.57,65.3
"234",234,"For-Profit",3.72,474,1.15,56.3
"235",235,"For-Profit",2.4,637,2.83,38.2
"236",236,"Non-Profit",2.78,422,1.2,64
"237",237,"Non-Profit",3.72,472,2.3,59.2
"238",238,"Non-Profit",3.84,282,1.59,71.2
"239",239,"Non-Profit",3.4,672,2.25,58.5
"240",240,"Non-Profit",2.61,498,2.48,62.5
"241",241,"For-Profit",3.3,500,1.3,50.6
"242",242,"For-Profit",5.71,253,1.05,63.8
"243",243,"Non-Profit",5.1,586,1.31,79.5
"244",244,"For-Profit",5.88,256,2.49,61
"245",245,"Non-Profit",5.74,930,1.48,73.6
"246",246,"Non-Profit",4.95,577,2.26,63.7
"247",247,"Non-Profit",4.34,314,1.49,73.4
"248",248,"For-Profit",2.76,433,2.84,38.5
"249",249,"Non-Profit",4.55,489,2.59,72.1
"250",250,"Non-Profit",4.16,509,2.89,61
"251",251,"For-Profit",5.02,529,2.6,53.3
"252",252,"For-Profit",2.23,492,2.97,38.1
"253",253,"Non-Profit",4,430,2.54,65.7
"254",254,"Non-Profit",3.5,544,2.24,62.3
"255",255,"For-Profit",5.95,510,1.89,56.6
"256",256,"Non-Profit",3.55,394,1.99,62.3
"257",257,"For-Profit",4.45,463,1.45,47.1
"258",258,"Non-Profit",4.58,515,2.73,79.9
"259",259,"For-Profit",4.49,449,1.11,50
"260",260,"For-Profit",2.03,393,1.64,50.4
"261",261,"Non-Profit",5.81,641,1.18,72.6
"262",262,"For-Profit",4.84,531,2.74,44.5
"263",263,"For-Profit",2.05,583,2.86,49.1
"264",264,"Non-Profit",3.8,590,1.34,63.5
"265",265,"For-Profit",4.71,675,1.4,52.4
"266",266,"Non-Profit",4.95,614,1.45,81.4
"267",267,"For-Profit",3.39,299,1.32,56.9
"268",268,"For-Profit",3.6,282,1.7,54.5
"269",269,"Non-Profit",3.16,463,1.54,60.6
"270",270,"Non-Profit",2.19,617,2.42,52.3
"271",271,"Non-Profit",3.76,581,1.32,64.6
"272",272,"Non-Profit",2.97,682,2.58,54.8
"273",273,"For-Profit",5.98,445,1.39,66.5
"274",274,"Non-Profit",2.14,348,2.45,55.9
"275",275,"For-Profit",4.67,306,2.92,48.3
"276",276,"Non-Profit",4.16,709,2.17,68.9
"277",277,"For-Profit",3.47,752,1.45,49.2
"278",278,"For-Profit",2.2,371,2.9,35
"279",279,"For-Profit",2.45,396,1.61,44
"280",280,"For-Profit",5.86,824,1.34,52.5
"281",281,"Non-Profit",5.91,359,1.92,80.3
"282",282,"For-Profit",5.4,360,2.86,50.1
"283",283,"For-Profit",2.67,333,2.95,45.7
"284",284,"Non-Profit",4.99,309,1.98,68.2
"285",285,"For-Profit",4.64,402,1.67,60.6
"286",286,"For-Profit",2.13,758,1.77,42.9
"287",287,"For-Profit",5.13,431,2.18,54.1
"288",288,"For-Profit",2.64,246,1.71,45.1
"289",289,"For-Profit",5.05,577,2.24,51
"290",290,"For-Profit",4.12,199,2.19,58
"291",291,"Non-Profit",3.01,386,1.74,58.4
"292",292,"Non-Profit",3.45,680,1.42,60.5
"293",293,"Non-Profit",2.79,470,1.03,61.2
"294",294,"For-Profit",2.09,134,1.67,39.5
"295",295,"Non-Profit",2.54,692,2.82,53.7
"296",296,"Non-Profit",2.5,278,1.9,49.4
"297",297,"For-Profit",4.5,475,1.84,61.4
"298",298,"For-Profit",3.26,552,1.05,50.7
"299",299,"For-Profit",4.45,280,2.33,51.1
"300",300,"Non-Profit",2.46,376,2.7,55.5
