"respondent_id","profile_id","premium","deductible","network","rating"
13,7,200,1500,"Small",4.5
13,8,300,1500,"Small",3.7
14,1,200,500,"Large",6.4
14,2,300,500,"Large",5.8
14,3,200,1500,"Large",4.5
14,4,300,1500,"Large",5.6
14,5,200,500,"Small",4.8
14,6,300,500,"Small",4.4
14,7,200,1500,"Small",3.9
14,8,300,1500,"Small",3.7
15,1,200,500,"Large",5.8
15,2,300,500,"Large",5.8
15,3,200,1500,"Large",4.9
15,4,300,1500,"Large",4.8
15,5,200,500,"Small",5.2
15,6,300,500,"Small",5.5
15,7,200,1500,"Small",5.8
15,8,300,1500,"Small",3.7
16,1,200,500,"Large",6.9
16,2,300,500,"Large",6.6
16,3,200,1500,"Large",5.4
16,4,300,1500,"Large",5.3
16,5,200,500,"Small",4.5
16,6,300,500,"Small",5.2
16,7,200,1500,"Small",4.4
16,8,300,1500,"Small",4.2
17,1,200,500,"Large",6.2
17,2,300,500,"Large",6.1
17,3,200,1500,"Large",5.2
17,4,300,1500,"Large",6.2
17,5,200,500,"Small",5.6
17,6,300,500,"Small",4.8
17,7,200,1500,"Small",4.9
17,8,300,1500,"Small",4.2
18,1,200,500,"Large",5.4
18,2,300,500,"Large",5.8
18,3,200,1500,"Large",5.7
18,4,300,1500,"Large",5
18,5,200,500,"Small",5.5
18,6,300,500,"Small",5
18,7,200,1500,"Small",5.1
18,8,300,1500,"Small",3.6
19,1,200,500,"Large",6.5
19,2,300,500,"Large",5.1
19,3,200,1500,"Large",5.4
19,4,300,1500,"Large",5.2
19,5,200,500,"Small",5.5
19,6,300,500,"Small",4.2
19,7,200,1500,"Small",4.7
19,8,300,1500,"Small",4.4
20,1,200,500,"Large",6.4
20,2,300,500,"Large",5.8
20,3,200,1500,"Large",5.5
20,4,300,1500,"Large",5.4
20,5,200,500,"Small",5
20,6,300,500,"Small",4.6
20,7,200,1500,"Small",4.6
20,8,300,1500,"Small",4.4
21,1,200,500,"Large",6.7
21,2,300,500,"Large",5.1
21,3,200,1500,"Large",4.8
21,4,300,1500,"Large",5.2
21,5,200,500,"Small",5.1
21,6,300,500,"Small",4.8
21,7,200,1500,"Small",5
21,8,300,1500,"Small",3.9
22,1,200,500,"Large",5.6
22,2,300,500,"Large",5.4
22,3,200,1500,"Large",5.1
22,4,300,1500,"Large",4.5
22,5,200,500,"Small",5.8
22,6,300,500,"Small",4.7
22,7,200,1500,"Small",4.7
22,8,300,1500,"Small",4.3
23,1,200,500,"Large",5
23,2,300,500,"Large",5.7
23,3,200,1500,"Large",6
23,4,300,1500,"Large",4.8
23,5,200,500,"Small",5
23,6,300,500,"Small",5.6
23,7,200,1500,"Small",4.8
23,8,300,1500,"Small",4.8
24,1,200,500,"Large",6.1
24,2,300,500,"Large",5.9
24,3,200,1500,"Large",6
24,4,300,1500,"Large",5.2
24,5,200,500,"Small",5.5
24,6,300,500,"Small",4.6
24,7,200,1500,"Small",4.9
24,8,300,1500,"Small",4
25,1,200,500,"Large",7
25,2,300,500,"Large",5.7
25,3,200,1500,"Large",4.9
25,4,300,1500,"Large",5.7
25,5,200,500,"Small",5.1
25,6,300,500,"Small",4.2
25,7,200,1500,"Small",4.1
25,8,300,1500,"Small",4.3
26,1,200,500,"Large",5.7
26,2,300,500,"Large",5.8
26,3,200,1500,"Large",5.1
26,4,300,1500,"Large",3.9
26,5,200,500,"Small",5.2
26,6,300,500,"Small",5.8
26,7,200,1500,"Small",4.4
26,8,300,1500,"Small",4
27,1,200,500,"Large",5.9
27,2,300,500,"Large",6.4
27,3,200,1500,"Large",4.8
27,4,300,1500,"Large",5.2
27,5,200,500,"Small",5
27,6,300,500,"Small",4.8
27,7,200,1500,"Small",4.5
27,8,300,1500,"Small",4.6
28,1,200,500,"Large",6.3
28,2,300,500,"Large",6.1
28,3,200,1500,"Large",5.8
28,4,300,1500,"Large",5.9
28,5,200,500,"Small",5.4
28,6,300,500,"Small",3.7
28,7,200,1500,"Small",4.4
28,8,300,1500,"Small",3.9
29,1,200,500,"Large",5.8
29,2,300,500,"Large",6.1
29,3,200,1500,"Large",5
29,4,300,1500,"Large",4.4
29,5,200,500,"Small",5.6
29,6,300,500,"Small",5.3
29,7,200,1500,"Small",4.5
29,8,300,1500,"Small",4.5
30,1,200,500,"Large",6.2
30,2,300,500,"Large",5.7
30,3,200,1500,"Large",5
30,4,300,1500,"Large",5.2
30,5,200,500,"Small",4.2
30,6,300,500,"Small",5.3
30,7,200,1500,"Small",4.9
30,8,300,1500,"Small",5.3
31,1,200,500,"Large",6.1
31,2,300,500,"Large",5.6
31,3,200,1500,"Large",5.8
31,4,300,1500,"Large",5.2
31,5,200,500,"Small",5.3
31,6,300,500,"Small",4.9
31,7,200,1500,"Small",4.7
31,8,300,1500,"Small",3.7
32,1,200,500,"Large",6.6
32,2,300,500,"Large",5.3
32,3,200,1500,"Large",5.1
32,4,300,1500,"Large",5.2
32,5,200,500,"Small",5.2
32,6,300,500,"Small",4.9
32,7,200,1500,"Small",5.4
32,8,300,1500,"Small",3.9
33,1,200,500,"Large",5.8
33,2,300,500,"Large",6.3
33,3,200,1500,"Large",5.1
33,4,300,1500,"Large",4.6
33,5,200,500,"Small",5.5
33,6,300,500,"Small",5.3
33,7,200,1500,"Small",4.3
33,8,300,1500,"Small",4.2
34,1,200,500,"Large",5.9
34,2,300,500,"Large",5.1
34,3,200,1500,"Large",5.3
34,4,300,1500,"Large",5.7
34,5,200,500,"Small",5.8
34,6,300,500,"Small",4.6
34,7,200,1500,"Small",4.8
34,8,300,1500,"Small",4.1
35,1,200,500,"Large",5.9
35,2,300,500,"Large",6
35,3,200,1500,"Large",5.6
35,4,300,1500,"Large",5.3
35,5,200,500,"Small",5.6
35,6,300,500,"Small",4.5
35,7,200,1500,"Small",4.4
35,8,300,1500,"Small",3.6
36,1,200,500,"Large",6.3
36,2,300,500,"Large",6.2
36,3,200,1500,"Large",4.4
36,4,300,1500,"Large",4.9
36,5,200,500,"Small",5.6
36,6,300,500,"Small",4.8
36,7,200,1500,"Small",4.2
36,8,300,1500,"Small",3.7
37,1,200,500,"Large",6.6
37,2,300,500,"Large",5.4
37,3,200,1500,"Large",5.8
37,4,300,1500,"Large",4.5
37,5,200,500,"Small",6
37,6,300,500,"Small",5.2
37,7,200,1500,"Small",4.7
37,8,300,1500,"Small",4.8
38,1,200,500,"Large",5.8
38,2,300,500,"Large",5.4
38,3,200,1500,"Large",5.2
38,4,300,1500,"Large",4.8
38,5,200,500,"Small",5.3
38,6,300,500,"Small",4.9
38,7,200,1500,"Small",4.2
38,8,300,1500,"Small",4.7
39,1,200,500,"Large",5.5
39,2,300,500,"Large",5.2
39,3,200,1500,"Large",4.8
39,4,300,1500,"Large",5.7
39,5,200,500,"Small",5.6
39,6,300,500,"Small",5.3
39,7,200,1500,"Small",3.7
39,8,300,1500,"Small",4.1
40,1,200,500,"Large",6.5
40,2,300,500,"Large",6.2
40,3,200,1500,"Large",4.2
40,4,300,1500,"Large",3.7
40,5,200,500,"Small",4.7
40,6,300,500,"Small",4.3
40,7,200,1500,"Small",5
40,8,300,1500,"Small",4.5
41,1,200,500,"Large",6.8
41,2,300,500,"Large",5.6
41,3,200,1500,"Large",5.1
41,4,300,1500,"Large",5.7
41,5,200,500,"Small",5.7
41,6,300,500,"Small",5.3
41,7,200,1500,"Small",5.2
41,8,300,1500,"Small",4.1
42,1,200,500,"Large",6.1
42,2,300,500,"Large",6.1
42,3,200,1500,"Large",4.3
42,4,300,1500,"Large",4.9
42,5,200,500,"Small",4.9
42,6,300,500,"Small",4.5
42,7,200,1500,"Small",4.3
42,8,300,1500,"Small",4.4
43,1,200,500,"Large",5.9
43,2,300,500,"Large",5
43,3,200,1500,"Large",5.5
43,4,300,1500,"Large",5.1
43,5,200,500,"Small",5.6
43,6,300,500,"Small",5.1
43,7,200,1500,"Small",5.3
43,8,300,1500,"Small",3.9
44,1,200,500,"Large",5.7
44,2,300,500,"Large",5.9
44,3,200,1500,"Large",5.6
44,4,300,1500,"Large",5.4
44,5,200,500,"Small",5.3
44,6,300,500,"Small",5.3
44,7,200,1500,"Small",5.2
44,8,300,1500,"Small",3.9
45,1,200,500,"Large",6.8
45,2,300,500,"Large",5.2
45,3,200,1500,"Large",4.4
45,4,300,1500,"Large",4.8
45,5,200,500,"Small",5.5
45,6,300,500,"Small",4.6
45,7,200,1500,"Small",4.1
45,8,300,1500,"Small",3.9
46,1,200,500,"Large",6.5
46,2,300,500,"Large",4.5
46,3,200,1500,"Large",4.2
46,4,300,1500,"Large",4.2
46,5,200,500,"Small",5.9
46,6,300,500,"Small",5.4
46,7,200,1500,"Small",4.2
46,8,300,1500,"Small",4.3
47,1,200,500,"Large",6.3
47,2,300,500,"Large",5.8
47,3,200,1500,"Large",5.5
47,4,300,1500,"Large",4.9
47,5,200,500,"Small",5.5
47,6,300,500,"Small",4.2
47,7,200,1500,"Small",5.7
47,8,300,1500,"Small",4.2
48,1,200,500,"Large",6.2
48,2,300,500,"Large",4.9
48,3,200,1500,"Large",5.1
48,4,300,1500,"Large",5.2
48,5,200,500,"Small",5.4
48,6,300,500,"Small",5.1
48,7,200,1500,"Small",4
48,8,300,1500,"Small",4.5
49,1,200,500,"Large",5.7
49,2,300,500,"Large",4.7
49,3,200,1500,"Large",5.6
49,4,300,1500,"Large",4.9
49,5,200,500,"Small",5
49,6,300,500,"Small",5.1
49,7,200,1500,"Small",3.7
49,8,300,1500,"Small",5.3
50,1,200,500,"Large",4.8
50,2,300,500,"Large",5.7
50,3,200,1500,"Large",5.1
50,4,300,1500,"Large",4.3
50,5,200,500,"Small",5.5
50,6,300,500,"Small",4.7
50,7,200,1500,"Small",5.4
50,8,300,1500,"Small",3.7
51,1,200,500,"Large",6.6
51,2,300,500,"Large",5.8
51,3,200,1500,"Large",4.7
51,4,300,1500,"Large",4.8
51,5,200,500,"Small",4.9
51,6,300,500,"Small",3.9
51,7,200,1500,"Small",5.6
51,8,300,1500,"Small",5
52,1,200,500,"Large",6
52,2,300,500,"Large",4.8
52,3,200,1500,"Large",5.5
52,4,300,1500,"Large",4.4
52,5,200,500,"Small",5.6
52,6,300,500,"Small",5.4
52,7,200,1500,"Small",4.7
52,8,300,1500,"Small",4.2
53,1,200,500,"Large",6.5
53,2,300,500,"Large",6.1
53,3,200,1500,"Large",5.5
53,4,300,1500,"Large",4.8
53,5,200,500,"Small",5.8
53,6,300,500,"Small",5.1
53,7,200,1500,"Small",5.4
53,8,300,1500,"Small",3.6
54,1,200,500,"Large",5.9
54,2,300,500,"Large",6.1
54,3,200,1500,"Large",4.9
54,4,300,1500,"Large",4
54,5,200,500,"Small",5.6
54,6,300,500,"Small",4.7
54,7,200,1500,"Small",4.4
54,8,300,1500,"Small",4.6
55,1,200,500,"Large",7
55,2,300,500,"Large",5.6
55,3,200,1500,"Large",5.7
55,4,300,1500,"Large",3.8
55,5,200,500,"Small",5.4
55,6,300,500,"Small",4.1
55,7,200,1500,"Small",3.8
55,8,300,1500,"Small",5
56,1,200,500,"Large",6.3
56,2,300,500,"Large",5.8
56,3,200,1500,"Large",5
56,4,300,1500,"Large",4.2
56,5,200,500,"Small",5.6
56,6,300,500,"Small",4.4
56,7,200,1500,"Small",5.9
56,8,300,1500,"Small",4.3
57,1,200,500,"Large",6.1
57,2,300,500,"Large",4.8
57,3,200,1500,"Large",5.5
57,4,300,1500,"Large",5.4
57,5,200,500,"Small",5.5
57,6,300,500,"Small",5
57,7,200,1500,"Small",5.4
57,8,300,1500,"Small",4.6
58,1,200,500,"Large",6.3
58,2,300,500,"Large",6.1
58,3,200,1500,"Large",5.4
58,4,300,1500,"Large",6.4
58,5,200,500,"Small",5.5
58,6,300,500,"Small",5.5
58,7,200,1500,"Small",5.1
58,8,300,1500,"Small",4.6
59,1,200,500,"Large",6.5
59,2,300,500,"Large",5.7
59,3,200,1500,"Large",4.3
59,4,300,1500,"Large",4.4
59,5,200,500,"Small",6.5
59,6,300,500,"Small",5.9
59,7,200,1500,"Small",4.6
59,8,300,1500,"Small",3
60,1,200,500,"Large",5.6
60,2,300,500,"Large",4.8
60,3,200,1500,"Large",4.4
60,4,300,1500,"Large",5.3
60,5,200,500,"Small",5.4
60,6,300,500,"Small",5.7
60,7,200,1500,"Small",4
60,8,300,1500,"Small",3.7
61,1,200,500,"Large",6.3
61,2,300,500,"Large",6.1
61,3,200,1500,"Large",5.2
61,4,300,1500,"Large",4.4
61,5,200,500,"Small",6.3
61,6,300,500,"Small",5.8
61,7,200,1500,"Small",5.2
61,8,300,1500,"Small",4.7
62,1,200,500,"Large",5.4
62,2,300,500,"Large",4.5
62,3,200,1500,"Large",6.3
62,4,300,1500,"Large",5
62,5,200,500,"Small",4.9
62,6,300,500,"Small",5.7
62,7,200,1500,"Small",4.3
62,8,300,1500,"Small",4
63,1,200,500,"Large",6.2
63,2,300,500,"Large",4.9
63,3,200,1500,"Large",5
63,4,300,1500,"Large",4.3
63,5,200,500,"Small",5.9
63,6,300,500,"Small",5.1
63,7,200,1500,"Small",4.5
63,8,300,1500,"Small",4.9
64,1,200,500,"Large",5.9
64,2,300,500,"Large",5.4
64,3,200,1500,"Large",5.3
64,4,300,1500,"Large",4.5
64,5,200,500,"Small",5.4
64,6,300,500,"Small",5.4
64,7,200,1500,"Small",4.8
64,8,300,1500,"Small",5.1
65,1,200,500,"Large",5.7
65,2,300,500,"Large",5.4
65,3,200,1500,"Large",5.9
65,4,300,1500,"Large",4.2
65,5,200,500,"Small",4.6
65,6,300,500,"Small",5.3
65,7,200,1500,"Small",4.4
65,8,300,1500,"Small",3.8
66,1,200,500,"Large",5.5
66,2,300,500,"Large",5.9
66,3,200,1500,"Large",4.9
66,4,300,1500,"Large",4.8
66,5,200,500,"Small",5
66,6,300,500,"Small",5.2
66,7,200,1500,"Small",4.3
66,8,300,1500,"Small",4.5
67,1,200,500,"Large",5.7
67,2,300,500,"Large",6.5
67,3,200,1500,"Large",5.5
67,4,300,1500,"Large",3.9
67,5,200,500,"Small",6
67,6,300,500,"Small",4.9
67,7,200,1500,"Small",4.8
67,8,300,1500,"Small",4.9
68,1,200,500,"Large",6.2
68,2,300,500,"Large",6.8
68,3,200,1500,"Large",5
68,4,300,1500,"Large",5
68,5,200,500,"Small",5.6
68,6,300,500,"Small",5.3
68,7,200,1500,"Small",5.1
68,8,300,1500,"Small",4.5
69,1,200,500,"Large",5.3
69,2,300,500,"Large",5.3
69,3,200,1500,"Large",5.3
69,4,300,1500,"Large",4.6
69,5,200,500,"Small",5.5
69,6,300,500,"Small",4.6
69,7,200,1500,"Small",5.1
69,8,300,1500,"Small",4.4
70,1,200,500,"Large",6.2
70,2,300,500,"Large",5.4
70,3,200,1500,"Large",4.9
70,4,300,1500,"Large",5.6
70,5,200,500,"Small",4.9
70,6,300,500,"Small",4.5
70,7,200,1500,"Small",4.3
70,8,300,1500,"Small",5.2
71,1,200,500,"Large",5.9
71,2,300,500,"Large",6.1
71,3,200,1500,"Large",4.7
71,4,300,1500,"Large",4.6
71,5,200,500,"Small",5.3
71,6,300,500,"Small",5.3
71,7,200,1500,"Small",4.5
71,8,300,1500,"Small",4.6
72,1,200,500,"Large",6
72,2,300,500,"Large",5.6
72,3,200,1500,"Large",6.3
72,4,300,1500,"Large",4.5
72,5,200,500,"Small",5.8
72,6,300,500,"Small",5.5
72,7,200,1500,"Small",5.5
72,8,300,1500,"Small",4.4
73,1,200,500,"Large",6.1
73,2,300,500,"Large",5.6
73,3,200,1500,"Large",5.6
73,4,300,1500,"Large",5.2
73,5,200,500,"Small",5.2
73,6,300,500,"Small",5.4
73,7,200,1500,"Small",4.9
73,8,300,1500,"Small",4.6
74,1,200,500,"Large",7.4
74,2,300,500,"Large",5.7
74,3,200,1500,"Large",5
74,4,300,1500,"Large",5.1
74,5,200,500,"Small",5.2
74,6,300,500,"Small",4.6
74,7,200,1500,"Small",4.5
74,8,300,1500,"Small",4.3
75,1,200,500,"Large",6.4
75,2,300,500,"Large",5.7
75,3,200,1500,"Large",4.8
75,4,300,1500,"Large",4.8
75,5,200,500,"Small",4.6
75,6,300,500,"Small",4.8
75,7,200,1500,"Small",4
75,8,300,1500,"Small",3.6
76,1,200,500,"Large",6.4
76,2,300,500,"Large",5.5
76,3,200,1500,"Large",5.3
76,4,300,1500,"Large",5.1
76,5,200,500,"Small",5.1
76,6,300,500,"Small",4.8
76,7,200,1500,"Small",4.4
76,8,300,1500,"Small",4.1
77,1,200,500,"Large",5.4
77,2,300,500,"Large",5.9
77,3,200,1500,"Large",5.6
77,4,300,1500,"Large",4.5
77,5,200,500,"Small",6.2
77,6,300,500,"Small",4.8
77,7,200,1500,"Small",4.5
77,8,300,1500,"Small",3.5
78,1,200,500,"Large",6
78,2,300,500,"Large",5.1
78,3,200,1500,"Large",5.4
78,4,300,1500,"Large",4.9
78,5,200,500,"Small",5.8
78,6,300,500,"Small",4.6
78,7,200,1500,"Small",3.8
78,8,300,1500,"Small",4.4
79,1,200,500,"Large",6.2
79,2,300,500,"Large",6.2
79,3,200,1500,"Large",5.2
79,4,300,1500,"Large",5.1
79,5,200,500,"Small",5.6
79,6,300,500,"Small",4.7
79,7,200,1500,"Small",3.9
79,8,300,1500,"Small",3.9
80,1,200,500,"Large",6
80,2,300,500,"Large",5.6
80,3,200,1500,"Large",4.6
80,4,300,1500,"Large",4.8
80,5,200,500,"Small",4.8
80,6,300,500,"Small",5.3
80,7,200,1500,"Small",4.7
80,8,300,1500,"Small",4
81,1,200,500,"Large",6.3
81,2,300,500,"Large",5.1
81,3,200,1500,"Large",5.8
81,4,300,1500,"Large",4.5
81,5,200,500,"Small",4.4
81,6,300,500,"Small",4.5
81,7,200,1500,"Small",4.5
81,8,300,1500,"Small",4.2
82,1,200,500,"Large",5.6
82,2,300,500,"Large",5.4
82,3,200,1500,"Large",5.4
82,4,300,1500,"Large",5
82,5,200,500,"Small",5.4
82,6,300,500,"Small",4.5
82,7,200,1500,"Small",4.8
82,8,300,1500,"Small",5
83,1,200,500,"Large",5.5
83,2,300,500,"Large",6.5
83,3,200,1500,"Large",5.7
83,4,300,1500,"Large",4.2
83,5,200,500,"Small",4.9
83,6,300,500,"Small",4.8
83,7,200,1500,"Small",4.6
83,8,300,1500,"Small",3.8
84,1,200,500,"Large",5.6
84,2,300,500,"Large",5.7
84,3,200,1500,"Large",5.4
84,4,300,1500,"Large",4.5
84,5,200,500,"Small",5.1
84,6,300,500,"Small",4.5
84,7,200,1500,"Small",3.3
84,8,300,1500,"Small",4
85,1,200,500,"Large",5.6
85,2,300,500,"Large",5.5
85,3,200,1500,"Large",4.8
85,4,300,1500,"Large",5.1
85,5,200,500,"Small",4.6
85,6,300,500,"Small",5.8
85,7,200,1500,"Small",4.1
85,8,300,1500,"Small",4.5
86,1,200,500,"Large",6.9
86,2,300,500,"Large",5.2
86,3,200,1500,"Large",5.1
86,4,300,1500,"Large",4.5
86,5,200,500,"Small",5.4
86,6,300,500,"Small",5.2
86,7,200,1500,"Small",3.9
86,8,300,1500,"Small",3.7
87,1,200,500,"Large",5.3
87,2,300,500,"Large",5.8
87,3,200,1500,"Large",5.4
87,4,300,1500,"Large",4.5
87,5,200,500,"Small",4.8
87,6,300,500,"Small",4.1
87,7,200,1500,"Small",5
87,8,300,1500,"Small",3.9
88,1,200,500,"Large",6.3
88,2,300,500,"Large",6.5
88,3,200,1500,"Large",5.9
88,4,300,1500,"Large",4.4
88,5,200,500,"Small",5.9
88,6,300,500,"Small",4.6
88,7,200,1500,"Small",4.8
88,8,300,1500,"Small",4.3
89,1,200,500,"Large",6.2
89,2,300,500,"Large",5.6
89,3,200,1500,"Large",5.4
89,4,300,1500,"Large",5.2
89,5,200,500,"Small",4.3
89,6,300,500,"Small",4.8
89,7,200,1500,"Small",4.8
89,8,300,1500,"Small",4.4
90,1,200,500,"Large",6
90,2,300,500,"Large",6.4
90,3,200,1500,"Large",5.2
90,4,300,1500,"Large",4.9
90,5,200,500,"Small",5.3
90,6,300,500,"Small",6.1
90,7,200,1500,"Small",4.3
90,8,300,1500,"Small",4.8
91,1,200,500,"Large",6.5
91,2,300,500,"Large",5.2
91,3,200,1500,"Large",5.9
91,4,300,1500,"Large",5.1
91,5,200,500,"Small",5.9
91,6,300,500,"Small",4.1
91,7,200,1500,"Small",4.3
91,8,300,1500,"Small",4.1
92,1,200,500,"Large",6
92,2,300,500,"Large",5.5
92,3,200,1500,"Large",5.2
92,4,300,1500,"Large",5.1
92,5,200,500,"Small",5.8
92,6,300,500,"Small",5.8
92,7,200,1500,"Small",5
92,8,300,1500,"Small",3.7
93,1,200,500,"Large",5.3
93,2,300,500,"Large",6.2
93,3,200,1500,"Large",5.1
93,4,300,1500,"Large",5
93,5,200,500,"Small",5.6
93,6,300,500,"Small",5.3
93,7,200,1500,"Small",4.4
93,8,300,1500,"Small",4.1
94,1,200,500,"Large",6.2
94,2,300,500,"Large",5.2
94,3,200,1500,"Large",5.1
94,4,300,1500,"Large",4.6
94,5,200,500,"Small",4.8
94,6,300,500,"Small",5
94,7,200,1500,"Small",4.9
94,8,300,1500,"Small",4.3
95,1,200,500,"Large",6.1
95,2,300,500,"Large",5.5
95,3,200,1500,"Large",5.2
95,4,300,1500,"Large",4.1
95,5,200,500,"Small",6
95,6,300,500,"Small",5.7
95,7,200,1500,"Small",5.1
95,8,300,1500,"Small",4.5
96,1,200,500,"Large",6
96,2,300,500,"Large",5.3
96,3,200,1500,"Large",5.3
96,4,300,1500,"Large",4.6
96,5,200,500,"Small",5.7
96,6,300,500,"Small",5.1
96,7,200,1500,"Small",4.7
96,8,300,1500,"Small",4.1
97,1,200,500,"Large",6.1
97,2,300,500,"Large",5.9
97,3,200,1500,"Large",6
97,4,300,1500,"Large",4.2
97,5,200,500,"Small",5.1
97,6,300,500,"Small",5.8
97,7,200,1500,"Small",4.6
97,8,300,1500,"Small",5.1
98,1,200,500,"Large",5.6
98,2,300,500,"Large",6.1
98,3,200,1500,"Large",4.8
98,4,300,1500,"Large",4.4
98,5,200,500,"Small",5.5
98,6,300,500,"Small",4.8
98,7,200,1500,"Small",4.1
98,8,300,1500,"Small",3.7
99,1,200,500,"Large",6.1
99,2,300,500,"Large",5
99,3,200,1500,"Large",5.8
99,4,300,1500,"Large",5.5
99,5,200,500,"Small",4.7
99,6,300,500,"Small",4.1
99,7,200,1500,"Small",3.6
99,8,300,1500,"Small",4.6
100,1,200,500,"Large",5.4
100,2,300,500,"Large",6.1
100,3,200,1500,"Large",5.1
100,4,300,1500,"Large",4.2
100,5,200,500,"Small",4.9
100,6,300,500,"Small",5
100,7,200,1500,"Small",5.7
100,8,300,1500,"Small",4.4
